.HEADER
..NAMES
Time,V U4.K9
.DATA
0.0e+000,1.0875
3.67e-011,1.0875
7.33e-011,1.0875
1.100e-010,1.0875
1.467e-010,1.0875
1.834e-010,1.0875
2.201e-010,1.0875
2.567e-010,1.0875
2.934e-010,1.0875
3.301e-010,1.0875
3.667e-010,1.0875
4.034e-010,1.0875
4.401e-010,1.0875
4.768e-010,1.0875
5.135e-010,1.0875
5.501e-010,1.0875
5.868e-010,1.0877
6.235e-010,1.0884
6.601e-010,1.0897
6.968e-010,1.0909
7.335e-010,1.0887
7.702e-010,1.0767
8.068e-010,1.0468
8.435e-010,0.9947
8.802e-010,0.9216
9.169e-010,0.8313
9.536e-010,0.7307
9.902e-010,0.6318
1.0269e-009,0.5484
1.0636e-009,0.4896
1.1003e-009,0.4572
1.1369e-009,0.4472
1.1736e-009,0.4518
1.2103e-009,0.4615
1.2469e-009,0.4685
1.2836e-009,0.4685
1.3203e-009,0.4610
1.3570e-009,0.4484
1.3936e-009,0.4348
1.4303e-009,0.4241
1.4670e-009,0.4179
1.5037e-009,0.4153
1.5403e-009,0.4130
1.5770e-009,0.4079
1.6137e-009,0.3975
1.6504e-009,0.3813
1.6871e-009,0.3616
1.7237e-009,0.3423
1.7604e-009,0.3279
1.7971e-009,0.3211
1.8338e-009,0.3222
1.8704e-009,0.3292
1.9071e-009,0.3388
1.9438e-009,0.3468
1.9805e-009,0.3494
2.0171e-009,0.3454
2.0538e-009,0.3360
2.0905e-009,0.3248
2.1272e-009,0.3155
2.1638e-009,0.3108
2.2005e-009,0.3112
2.2372e-009,0.3156
2.2738e-009,0.3216
2.3105e-009,0.3268
2.3472e-009,0.3290
2.3839e-009,0.3276
2.4205e-009,0.3232
2.4572e-009,0.3179
2.4939e-009,0.3142
2.5306e-009,0.3157
2.5672e-009,0.3263
2.6039e-009,0.3517
2.6406e-009,0.3967
2.6773e-009,0.4619
2.7139e-009,0.5432
2.7506e-009,0.6325
2.7873e-009,0.7219
2.8240e-009,0.8034
2.8606e-009,0.8682
2.8973e-009,0.9105
2.9340e-009,0.9314
2.9707e-009,0.9383
3.0073e-009,0.9390
3.0440e-009,0.9390
3.0807e-009,0.9418
3.1174e-009,0.9487
3.1540e-009,0.9590
3.1907e-009,0.9707
3.2274e-009,0.9813
3.2641e-009,0.9892
3.3007e-009,0.9942
3.3374e-009,0.9983
3.3741e-009,1.0043
3.4108e-009,1.0143
3.4475e-009,1.0291
3.4841e-009,1.0476
3.5208e-009,1.0656
3.5575e-009,1.0745
3.5942e-009,1.0625
3.6308e-009,1.0207
3.6675e-009,0.9500
3.7042e-009,0.8579
3.7408e-009,0.7529
3.7775e-009,0.6460
3.8142e-009,0.5539
3.8509e-009,0.4909
3.8875e-009,0.4597
3.9242e-009,0.4531
3.9609e-009,0.4607
3.9976e-009,0.4721
4.0342e-009,0.4793
4.0709e-009,0.4783
4.1076e-009,0.4692
4.1443e-009,0.4551
4.1809e-009,0.4409
4.2176e-009,0.4312
4.2543e-009,0.4278
4.2910e-009,0.4288
4.3276e-009,0.4297
4.3643e-009,0.4257
4.4010e-009,0.4145
4.4377e-009,0.3986
4.4743e-009,0.3862
4.5110e-009,0.3900
4.5477e-009,0.4219
4.5844e-009,0.4860
4.6211e-009,0.5755
4.6577e-009,0.6793
4.6944e-009,0.7852
4.7311e-009,0.8774
4.7678e-009,0.9398
4.8044e-009,0.9665
4.8411e-009,0.9648
4.8778e-009,0.9489
4.9145e-009,0.9320
4.9511e-009,0.9235
4.9878e-009,0.9272
5.0245e-009,0.9416
5.0612e-009,0.9613
5.0978e-009,0.9800
5.1345e-009,0.9924
5.1712e-009,0.9960
5.2079e-009,0.9926
5.2445e-009,0.9878
5.2812e-009,0.9880
5.3179e-009,0.9977
5.3546e-009,1.0179
5.3912e-009,1.0445
5.4279e-009,1.0681
5.4646e-009,1.0741
5.5013e-009,1.0494
5.5379e-009,0.9904
5.5746e-009,0.9032
5.6113e-009,0.7967
5.6480e-009,0.6830
5.6846e-009,0.5797
5.7213e-009,0.5039
5.7580e-009,0.4628
5.7947e-009,0.4509
5.8313e-009,0.4572
5.8680e-009,0.4696
5.9047e-009,0.4782
5.9414e-009,0.4779
5.9780e-009,0.4690
6.0147e-009,0.4548
6.0514e-009,0.4401
6.0881e-009,0.4298
6.1247e-009,0.4266
6.1614e-009,0.4291
6.1981e-009,0.4327
6.2348e-009,0.4317
6.2714e-009,0.4223
6.3081e-009,0.4039
6.3448e-009,0.3788
6.3815e-009,0.3521
6.4181e-009,0.3301
6.4548e-009,0.3172
6.4915e-009,0.3149
6.5282e-009,0.3214
6.5648e-009,0.3328
6.6015e-009,0.3444
6.6382e-009,0.3515
6.6749e-009,0.3510
6.7115e-009,0.3431
6.7482e-009,0.3311
6.7849e-009,0.3198
6.8215e-009,0.3130
6.8582e-009,0.3121
6.8949e-009,0.3159
6.9316e-009,0.3218
6.9682e-009,0.3270
7.0049e-009,0.3298
7.0416e-009,0.3289
7.0783e-009,0.3248
7.1149e-009,0.3189
7.1516e-009,0.3137
7.1883e-009,0.3111
7.2250e-009,0.3123
7.2616e-009,0.3168
7.2983e-009,0.3228
7.3350e-009,0.3284
7.3717e-009,0.3321
7.4083e-009,0.3335
7.4450e-009,0.3328
7.4817e-009,0.3306
7.5184e-009,0.3280
7.5550e-009,0.3261
7.5917e-009,0.3254
7.6284e-009,0.3261
7.6651e-009,0.3274
7.7018e-009,0.3285
7.7384e-009,0.3287
7.7751e-009,0.3277
7.8118e-009,0.3260
7.8484e-009,0.3243
7.8851e-009,0.3236
7.9218e-009,0.3241
7.9585e-009,0.3254
7.9952e-009,0.3271
8.0318e-009,0.3286
8.0685e-009,0.3295
8.1052e-009,0.3297
8.1418e-009,0.3291
8.1785e-009,0.3281
8.2152e-009,0.3271
8.2519e-009,0.3266
8.2886e-009,0.3268
8.3252e-009,0.3275
8.3619e-009,0.3282
8.3986e-009,0.3285
8.4352e-009,0.3284
8.4719e-009,0.3280
8.5086e-009,0.3274
8.5453e-009,0.3269
8.5820e-009,0.3267
8.6186e-009,0.3268
8.6553e-009,0.3274
8.6920e-009,0.3281
8.7286e-009,0.3288
8.7653e-009,0.3291
8.8020e-009,0.3288
8.8387e-009,0.3281
8.8754e-009,0.3273
8.9120e-009,0.3266
8.9487e-009,0.3265
8.9854e-009,0.3268
9.0220e-009,0.3274
9.0587e-009,0.3283
9.0954e-009,0.3304
9.1321e-009,0.3366
9.1688e-009,0.3522
9.2054e-009,0.3838
9.2421e-009,0.4355
9.2788e-009,0.5066
9.3154e-009,0.5912
9.3521e-009,0.6817
9.3888e-009,0.7695
9.4255e-009,0.8448
9.4622e-009,0.8984
9.4988e-009,0.9285
9.5355e-009,0.9403
9.5722e-009,0.9422
9.6088e-009,0.9408
9.6455e-009,0.9414
9.6822e-009,0.9466
9.7189e-009,0.9566
9.7556e-009,0.9691
9.7922e-009,0.9811
9.8289e-009,0.9901
9.8656e-009,0.9952
9.9022e-009,0.9978
9.9389e-009,1.0010
9.9756e-009,1.0076
1.00123e-008,1.0192
1.00490e-008,1.0353
1.00856e-008,1.0536
1.01223e-008,1.0708
1.01590e-008,1.0833
1.01956e-008,1.0890
1.02323e-008,1.0878
1.02690e-008,1.0822
1.03057e-008,1.0753
1.03424e-008,1.0703
1.03790e-008,1.0697
1.04157e-008,1.0743
1.04524e-008,1.0830
1.04890e-008,1.0926
1.05257e-008,1.0999
1.05624e-008,1.1028
1.05991e-008,1.1016
1.06358e-008,1.0976
1.06724e-008,1.0930
1.07091e-008,1.0897
1.07458e-008,1.0888
1.07824e-008,1.0908
1.08191e-008,1.0948
1.08558e-008,1.0994
1.08925e-008,1.1027
1.09292e-008,1.1037
1.09658e-008,1.1024
1.10025e-008,1.0991
1.10392e-008,1.0927
1.10758e-008,1.0784
1.11125e-008,1.0490
1.11492e-008,0.9993
1.11859e-008,0.9299
1.12226e-008,0.8441
1.12592e-008,0.7470
1.12959e-008,0.6484
1.13326e-008,0.5622
1.13693e-008,0.4993
1.14059e-008,0.4626
1.14426e-008,0.4490
1.14793e-008,0.4517
1.15159e-008,0.4616
1.15526e-008,0.4701
1.15893e-008,0.4719
1.16260e-008,0.4655
1.16627e-008,0.4528
1.16993e-008,0.4381
1.17360e-008,0.4256
1.17727e-008,0.4178
1.18093e-008,0.4141
1.18460e-008,0.4120
1.18827e-008,0.4081
1.19194e-008,0.4014
1.19561e-008,0.3951
1.19927e-008,0.3976
1.20294e-008,0.4202
1.20661e-008,0.4704
1.21027e-008,0.5473
1.21394e-008,0.6422
1.21761e-008,0.7446
1.22128e-008,0.8417
1.22495e-008,0.9175
