.HEADER
..NAMES
Time,V U2.M3
.DATA
0.0e+000,1.0887
3.67e-011,1.0887
7.33e-011,1.0887
1.100e-010,1.0887
1.467e-010,1.0887
1.834e-010,1.0887
2.201e-010,1.0887
2.567e-010,1.0887
2.934e-010,1.0887
3.301e-010,1.0887
3.667e-010,1.0887
4.034e-010,1.0887
4.401e-010,1.0887
4.768e-010,1.0887
5.135e-010,1.0887
5.501e-010,1.0887
5.868e-010,1.0887
6.235e-010,1.0887
6.601e-010,1.0887
6.968e-010,1.0887
7.335e-010,1.0887
7.702e-010,1.0888
8.068e-010,1.0890
8.435e-010,1.0895
8.802e-010,1.0901
9.169e-010,1.0899
9.536e-010,1.0866
9.902e-010,1.0761
1.0269e-009,1.0536
1.0636e-009,1.0144
1.1003e-009,0.9556
1.1369e-009,0.8777
1.1736e-009,0.7856
1.2103e-009,0.6876
1.2469e-009,0.5937
1.2836e-009,0.5134
1.3203e-009,0.4532
1.3570e-009,0.4151
1.3936e-009,0.3963
1.4303e-009,0.3910
1.4670e-009,0.3919
1.5037e-009,0.3928
1.5403e-009,0.3898
1.5770e-009,0.3822
1.6137e-009,0.3718
1.6504e-009,0.3613
1.6871e-009,0.3532
1.7237e-009,0.3490
1.7604e-009,0.3482
1.7971e-009,0.3490
1.8338e-009,0.3492
1.8704e-009,0.3473
1.9071e-009,0.3429
1.9438e-009,0.3371
1.9805e-009,0.3316
2.0171e-009,0.3283
2.0538e-009,0.3281
2.0905e-009,0.3307
2.1272e-009,0.3347
2.1638e-009,0.3381
2.2005e-009,0.3392
2.2372e-009,0.3373
2.2738e-009,0.3328
2.3105e-009,0.3271
2.3472e-009,0.3219
2.3839e-009,0.3185
2.4205e-009,0.3176
2.4572e-009,0.3188
2.4939e-009,0.3209
2.5306e-009,0.3228
2.5672e-009,0.3235
2.6039e-009,0.3227
2.6406e-009,0.3209
2.6773e-009,0.3189
2.7139e-009,0.3177
2.7506e-009,0.3177
2.7873e-009,0.3193
2.8240e-009,0.3220
2.8606e-009,0.3251
2.8973e-009,0.3281
2.9340e-009,0.3303
2.9707e-009,0.3316
3.0073e-009,0.3320
3.0440e-009,0.3320
3.0807e-009,0.3318
3.1174e-009,0.3317
3.1540e-009,0.3317
3.1907e-009,0.3315
3.2274e-009,0.3312
3.2641e-009,0.3306
3.3007e-009,0.3298
3.3374e-009,0.3291
3.3741e-009,0.3286
3.4108e-009,0.3285
3.4475e-009,0.3288
3.4841e-009,0.3294
3.5208e-009,0.3300
3.5575e-009,0.3304
3.5942e-009,0.3304
3.6308e-009,0.3305
3.6675e-009,0.3313
3.7042e-009,0.3347
3.7408e-009,0.3436
3.7775e-009,0.3621
3.8142e-009,0.3942
3.8509e-009,0.4431
3.8875e-009,0.5091
3.9242e-009,0.5893
3.9609e-009,0.6778
3.9976e-009,0.7662
4.0342e-009,0.8461
4.0709e-009,0.9112
4.1076e-009,0.9582
4.1443e-009,0.9877
4.1809e-009,1.0035
4.2176e-009,1.0112
4.2543e-009,1.0161
4.2910e-009,1.0218
4.3276e-009,1.0301
4.3643e-009,1.0403
4.4010e-009,1.0507
4.4377e-009,1.0591
4.4743e-009,1.0645
4.5110e-009,1.0669
4.5477e-009,1.0675
4.5844e-009,1.0679
4.6211e-009,1.0696
4.6577e-009,1.0732
4.6944e-009,1.0784
4.7311e-009,1.0837
4.7678e-009,1.0878
4.8044e-009,1.0894
4.8411e-009,1.0885
4.8778e-009,1.0859
4.9145e-009,1.0832
4.9511e-009,1.0818
4.9878e-009,1.0826
5.0245e-009,1.0857
5.0612e-009,1.0902
5.0978e-009,1.0948
5.1345e-009,1.0983
5.1712e-009,1.0999
5.2079e-009,1.0998
5.2445e-009,1.0985
5.2812e-009,1.0971
5.3179e-009,1.0963
5.3546e-009,1.0967
5.3912e-009,1.0980
5.4279e-009,1.0997
5.4646e-009,1.1011
5.5013e-009,1.1019
5.5379e-009,1.1017
5.5746e-009,1.1003
5.6113e-009,1.0969
5.6480e-009,1.0891
5.6846e-009,1.0730
5.7213e-009,1.0438
5.7580e-009,0.9975
5.7947e-009,0.9319
5.8313e-009,0.8487
5.8680e-009,0.7539
5.9047e-009,0.6566
5.9414e-009,0.5666
5.9780e-009,0.4928
6.0147e-009,0.4402
6.0514e-009,0.4092
6.0881e-009,0.3955
6.1247e-009,0.3927
6.1614e-009,0.3937
6.1981e-009,0.3929
6.2348e-009,0.3876
6.2714e-009,0.3784
6.3081e-009,0.3674
6.3448e-009,0.3576
6.3815e-009,0.3510
6.4181e-009,0.3484
6.4548e-009,0.3489
6.4915e-009,0.3513
6.5282e-009,0.3560
6.5648e-009,0.3655
6.6015e-009,0.3850
6.6382e-009,0.4204
6.6749e-009,0.4760
6.7115e-009,0.5521
6.7482e-009,0.6441
6.7849e-009,0.7425
6.8215e-009,0.8355
6.8582e-009,0.9125
6.8949e-009,0.9669
6.9316e-009,0.9975
6.9682e-009,1.0086
7.0049e-009,1.0082
7.0416e-009,1.0049
7.0783e-009,1.0051
7.1149e-009,1.0115
7.1516e-009,1.0234
7.1883e-009,1.0372
7.2250e-009,1.0490
7.2616e-009,1.0558
7.2983e-009,1.0573
7.3350e-009,1.0552
7.3717e-009,1.0525
7.4083e-009,1.0525
7.4450e-009,1.0568
7.4817e-009,1.0643
7.5184e-009,1.0707
7.5550e-009,1.0692
7.5917e-009,1.0522
7.6284e-009,1.0138
7.6651e-009,0.9516
7.7018e-009,0.8681
7.7384e-009,0.7709
7.7751e-009,0.6707
7.8118e-009,0.5784
7.8484e-009,0.5028
7.8851e-009,0.4490
7.9218e-009,0.4168
7.9585e-009,0.4020
7.9952e-009,0.3982
8.0318e-009,0.3986
8.0685e-009,0.3983
8.1052e-009,0.3945
8.1418e-009,0.3875
8.1785e-009,0.3789
8.2152e-009,0.3710
8.2519e-009,0.3653
8.2886e-009,0.3623
8.3252e-009,0.3612
8.3619e-009,0.3608
8.3986e-009,0.3613
8.4352e-009,0.3649
8.4719e-009,0.3767
8.5086e-009,0.4029
8.5453e-009,0.4489
8.5820e-009,0.5166
8.6186e-009,0.6032
8.6553e-009,0.7008
8.6920e-009,0.7979
8.7286e-009,0.8830
8.7653e-009,0.9478
8.8020e-009,0.9886
8.8387e-009,1.0078
8.8754e-009,1.0118
8.9120e-009,1.0091
8.9487e-009,1.0072
8.9854e-009,1.0103
9.0220e-009,1.0194
9.0587e-009,1.0320
9.0954e-009,1.0445
9.1321e-009,1.0535
9.1688e-009,1.0575
9.2054e-009,1.0571
9.2421e-009,1.0547
9.2788e-009,1.0534
9.3154e-009,1.0555
9.3521e-009,1.0613
9.3888e-009,1.0674
9.4255e-009,1.0676
9.4622e-009,1.0544
9.4988e-009,1.0208
9.5355e-009,0.9633
9.5722e-009,0.8831
9.6088e-009,0.7870
9.6455e-009,0.6854
9.6822e-009,0.5899
9.7189e-009,0.5104
9.7556e-009,0.4529
9.7922e-009,0.4182
9.8289e-009,0.4023
9.8656e-009,0.3984
9.9022e-009,0.3994
9.9389e-009,0.3996
9.9756e-009,0.3960
1.00123e-008,0.3885
1.00490e-008,0.3792
1.00856e-008,0.3706
1.01223e-008,0.3646
1.01590e-008,0.3617
1.01956e-008,0.3612
1.02323e-008,0.3610
1.02690e-008,0.3590
1.03057e-008,0.3543
1.03424e-008,0.3469
1.03790e-008,0.3384
1.04157e-008,0.3308
1.04524e-008,0.3261
1.04890e-008,0.3252
1.05257e-008,0.3276
1.05624e-008,0.3317
1.05991e-008,0.3355
1.06358e-008,0.3373
1.06724e-008,0.3362
1.07091e-008,0.3326
1.07458e-008,0.3276
1.07824e-008,0.3228
1.08191e-008,0.3196
1.08558e-008,0.3184
1.08925e-008,0.3190
1.09292e-008,0.3205
1.09658e-008,0.3220
1.10025e-008,0.3227
1.10392e-008,0.3221
1.10758e-008,0.3207
1.11125e-008,0.3190
1.11492e-008,0.3178
1.11859e-008,0.3176
1.12226e-008,0.3188
1.12592e-008,0.3212
1.12959e-008,0.3242
1.13326e-008,0.3272
1.13693e-008,0.3298
1.14059e-008,0.3315
1.14426e-008,0.3323
1.14793e-008,0.3325
1.15159e-008,0.3321
1.15526e-008,0.3317
1.15893e-008,0.3311
1.16260e-008,0.3306
1.16627e-008,0.3301
1.16993e-008,0.3296
1.17360e-008,0.3291
1.17727e-008,0.3287
1.18093e-008,0.3285
1.18460e-008,0.3286
1.18827e-008,0.3288
1.19194e-008,0.3291
1.19561e-008,0.3294
1.19927e-008,0.3296
1.20294e-008,0.3297
1.20661e-008,0.3296
1.21027e-008,0.3296
1.21394e-008,0.3296
1.21761e-008,0.3296
1.22128e-008,0.3297
1.22495e-008,0.3297
1.22861e-008,0.3296
1.23228e-008,0.3295
1.23595e-008,0.3293
1.23961e-008,0.3292
1.24328e-008,0.3291
1.24695e-008,0.3291
1.25062e-008,0.3293
1.25429e-008,0.3296
1.25795e-008,0.3299
1.26162e-008,0.3301
1.26529e-008,0.3301
1.26895e-008,0.3300
1.27262e-008,0.3297
1.27629e-008,0.3295
1.27996e-008,0.3293
1.28363e-008,0.3292
1.28729e-008,0.3293
1.29096e-008,0.3295
1.29463e-008,0.3297
1.29829e-008,0.3298
1.30196e-008,0.3302
1.30563e-008,0.3317
1.30930e-008,0.3362
1.31297e-008,0.3471
1.31663e-008,0.3685
1.32030e-008,0.4046
1.32397e-008,0.4579
1.32763e-008,0.5280
1.33130e-008,0.6113
1.33497e-008,0.7008
1.33864e-008,0.7878
1.34231e-008,0.8644
1.34597e-008,0.9247
1.34964e-008,0.9666
1.35331e-008,0.9919
1.35697e-008,1.0049
1.36064e-008,1.0115
1.36431e-008,1.0166
1.36798e-008,1.0233
1.37165e-008,1.0325
1.37531e-008,1.0431
1.37898e-008,1.0531
1.38265e-008,1.0606
1.38631e-008,1.0650
1.38998e-008,1.0667
1.39365e-008,1.0674
1.39732e-008,1.0688
1.40099e-008,1.0720
1.40465e-008,1.0762
1.40832e-008,1.0776
1.41199e-008,1.0703
1.41565e-008,1.0476
1.41932e-008,1.0042
1.42299e-008,0.9379
1.42666e-008,0.8514
1.43033e-008,0.7525
1.43399e-008,0.6520
1.43766e-008,0.5609
1.44133e-008,0.4882
1.44499e-008,0.4383
1.44866e-008,0.4107
1.45233e-008,0.4001
1.45600e-008,0.3992
1.45967e-008,0.4011
1.46333e-008,0.4005
1.46700e-008,0.3953
1.47067e-008,0.3864
1.47433e-008,0.3764
1.47800e-008,0.3678
1.48167e-008,0.3625
1.48534e-008,0.3606
1.48901e-008,0.3607
1.49267e-008,0.3614
1.49634e-008,0.3622
1.50001e-008,0.3655
1.50368e-008,0.3766
1.50734e-008,0.4020
1.51101e-008,0.4474
1.51468e-008,0.5149
1.51834e-008,0.6015
1.52201e-008,0.6991
1.52568e-008,0.7959
1.52935e-008,0.8805
1.53301e-008,0.9447
1.53668e-008,0.9850
1.54035e-008,1.0039
1.54402e-008,1.0083
1.54769e-008,1.0065
1.55135e-008,1.0057
1.55502e-008,1.0100
1.55869e-008,1.0197
1.56236e-008,1.0326
1.56602e-008,1.0448
1.56969e-008,1.0531
1.57336e-008,1.0564
1.57703e-008,1.0555
1.58069e-008,1.0529
1.58436e-008,1.0516
1.58803e-008,1.0539
1.59169e-008,1.0603
1.59536e-008,1.0695
1.59903e-008,1.0792
1.60270e-008,1.0867
1.60636e-008,1.0903
1.61003e-008,1.0900
1.61370e-008,1.0871
1.61737e-008,1.0839
1.62104e-008,1.0822
1.62470e-008,1.0834
1.62837e-008,1.0871
1.63204e-008,1.0922
1.63571e-008,1.0970
1.63937e-008,1.0999
1.64304e-008,1.1006
1.64671e-008,1.0993
1.65037e-008,1.0971
1.65404e-008,1.0955
1.65771e-008,1.0951
1.66138e-008,1.0962
1.66504e-008,1.0984
1.66871e-008,1.1007
1.67238e-008,1.1024
1.67605e-008,1.1029
1.67972e-008,1.1022
1.68338e-008,1.1002
1.68705e-008,1.0962
1.69072e-008,1.0877
1.69439e-008,1.0707
1.69805e-008,1.0406
1.70172e-008,0.9929
1.70539e-008,0.9260
1.70905e-008,0.8418
