.HEADER
..NAMES
Time,V U5.N8
.DATA
0.0e+000,0.3291
3.67e-011,0.3291
7.33e-011,0.3291
1.100e-010,0.3291
1.467e-010,0.3291
1.834e-010,0.3291
2.201e-010,0.3291
2.567e-010,0.3291
2.934e-010,0.3291
3.301e-010,0.3291
3.667e-010,0.3291
4.034e-010,0.3291
4.401e-010,0.3291
4.768e-010,0.3291
5.135e-010,0.3294
5.501e-010,0.3316
5.868e-010,0.3397
6.235e-010,0.3614
6.601e-010,0.4060
6.968e-010,0.4780
7.335e-010,0.5730
7.702e-010,0.6766
8.068e-010,0.7728
8.435e-010,0.8498
8.802e-010,0.9010
9.169e-010,0.9262
9.536e-010,0.9341
9.902e-010,0.9366
1.0269e-009,0.9418
1.0636e-009,0.9520
1.1003e-009,0.9652
1.1369e-009,0.9776
1.1736e-009,0.9864
1.2103e-009,0.9901
1.2469e-009,0.9896
1.2836e-009,0.9866
1.3203e-009,0.9839
1.3570e-009,0.9834
1.3936e-009,0.9858
1.4303e-009,0.9909
1.4670e-009,0.9984
1.5037e-009,1.0078
1.5403e-009,1.0158
1.5770e-009,1.0140
1.6137e-009,0.9897
1.6504e-009,0.9323
1.6871e-009,0.8451
1.7237e-009,0.7431
1.7604e-009,0.6424
1.7971e-009,0.5581
1.8338e-009,0.5025
1.8704e-009,0.4777
1.9071e-009,0.4738
1.9438e-009,0.4764
1.9805e-009,0.4753
2.0171e-009,0.4674
2.0538e-009,0.4554
2.0905e-009,0.4443
2.1272e-009,0.4380
2.1638e-009,0.4378
2.2005e-009,0.4425
2.2372e-009,0.4489
2.2738e-009,0.4534
2.3105e-009,0.4537
2.3472e-009,0.4499
2.3839e-009,0.4430
2.4205e-009,0.4351
2.4572e-009,0.4304
2.4939e-009,0.4374
2.5306e-009,0.4682
2.5672e-009,0.5317
2.6039e-009,0.6250
2.6406e-009,0.7308
2.6773e-009,0.8278
2.7139e-009,0.9005
2.7506e-009,0.9409
2.7873e-009,0.9498
2.8240e-009,0.9394
2.8606e-009,0.9275
2.8973e-009,0.9270
2.9340e-009,0.9405
2.9707e-009,0.9619
3.0073e-009,0.9818
3.0440e-009,0.9931
3.0807e-009,0.9940
3.1174e-009,0.9868
3.1540e-009,0.9763
3.1907e-009,0.9680
3.2274e-009,0.9654
3.2641e-009,0.9692
3.3007e-009,0.9779
3.3374e-009,0.9891
3.3741e-009,1.0016
3.4108e-009,1.0133
3.4475e-009,1.0184
3.4841e-009,1.0066
3.5208e-009,0.9658
3.5575e-009,0.8932
3.5942e-009,0.7990
3.6308e-009,0.6979
3.6675e-009,0.6051
3.7042e-009,0.5347
3.7408e-009,0.4936
3.7775e-009,0.4774
3.8142e-009,0.4740
3.8509e-009,0.4719
3.8875e-009,0.4653
3.9242e-009,0.4548
3.9609e-009,0.4447
3.9976e-009,0.4387
4.0342e-009,0.4379
4.0709e-009,0.4413
4.1076e-009,0.4462
4.1443e-009,0.4494
4.1809e-009,0.4489
4.2176e-009,0.4446
4.2543e-009,0.4380
4.2910e-009,0.4310
4.3276e-009,0.4270
4.3643e-009,0.4326
4.4010e-009,0.4583
4.4377e-009,0.5144
4.4743e-009,0.6021
4.5110e-009,0.7077
4.5477e-009,0.8098
4.5844e-009,0.8913
4.6211e-009,0.9417
4.6577e-009,0.9583
4.6944e-009,0.9502
4.7311e-009,0.9347
4.7678e-009,0.9272
4.8044e-009,0.9341
4.8411e-009,0.9523
4.8778e-009,0.9733
4.9145e-009,0.9887
4.9511e-009,0.9942
4.9878e-009,0.9904
5.0245e-009,0.9810
5.0612e-009,0.9715
5.0978e-009,0.9662
5.1345e-009,0.9671
5.1712e-009,0.9735
5.2079e-009,0.9836
5.2445e-009,0.9960
5.2812e-009,1.0086
5.3179e-009,1.0159
5.3546e-009,1.0078
5.3912e-009,0.9716
5.4279e-009,0.9025
5.4646e-009,0.8093
5.5013e-009,0.7072
5.5379e-009,0.6120
5.5746e-009,0.5386
5.6113e-009,0.4953
5.6480e-009,0.4787
5.6846e-009,0.4764
5.7213e-009,0.4755
5.7580e-009,0.4688
5.7947e-009,0.4566
5.8313e-009,0.4437
5.8680e-009,0.4352
5.9047e-009,0.4333
5.9414e-009,0.4375
5.9780e-009,0.4447
6.0147e-009,0.4509
6.0514e-009,0.4527
6.0881e-009,0.4495
6.1247e-009,0.4426
6.1614e-009,0.4340
6.1981e-009,0.4252
6.2348e-009,0.4170
6.2714e-009,0.4101
6.3081e-009,0.4046
6.3448e-009,0.4002
6.3815e-009,0.3957
6.4181e-009,0.3893
6.4548e-009,0.3790
6.4915e-009,0.3645
6.5282e-009,0.3473
6.5648e-009,0.3307
6.6015e-009,0.3181
6.6382e-009,0.3127
6.6749e-009,0.3152
6.7115e-009,0.3231
6.7482e-009,0.3319
6.7849e-009,0.3371
6.8215e-009,0.3364
6.8582e-009,0.3308
6.8949e-009,0.3230
6.9316e-009,0.3163
6.9682e-009,0.3127
7.0049e-009,0.3133
7.0416e-009,0.3170
7.0783e-009,0.3224
7.1149e-009,0.3295
7.1516e-009,0.3422
7.1883e-009,0.3694
7.2250e-009,0.4214
7.2616e-009,0.5016
7.2983e-009,0.6028
7.3350e-009,0.7087
7.3717e-009,0.8028
7.4083e-009,0.8737
7.4450e-009,0.9166
7.4817e-009,0.9338
7.5184e-009,0.9358
7.5550e-009,0.9348
7.5917e-009,0.9381
7.6284e-009,0.9471
7.6651e-009,0.9592
7.7018e-009,0.9711
7.7384e-009,0.9804
7.7751e-009,0.9860
7.8118e-009,0.9880
7.8484e-009,0.9873
7.8851e-009,0.9858
7.9218e-009,0.9850
7.9585e-009,0.9857
7.9952e-009,0.9887
8.0318e-009,0.9945
8.0685e-009,1.0027
8.1052e-009,1.0118
8.1418e-009,1.0202
8.1785e-009,1.0267
8.2152e-009,1.0320
8.2519e-009,1.0380
8.2886e-009,1.0466
8.3252e-009,1.0588
8.3619e-009,1.0737
8.3986e-009,1.0888
8.4352e-009,1.1007
8.4719e-009,1.1067
8.5086e-009,1.1062
8.5453e-009,1.1007
8.5820e-009,1.0939
8.6186e-009,1.0896
8.6553e-009,1.0897
8.6920e-009,1.0937
8.7286e-009,1.0997
8.7653e-009,1.1054
8.8020e-009,1.1091
8.8387e-009,1.1099
8.8754e-009,1.1081
8.9120e-009,1.1049
8.9487e-009,1.1017
8.9854e-009,1.0999
9.0220e-009,1.0996
9.0587e-009,1.0965
9.0954e-009,1.0821
9.1321e-009,1.0443
9.1688e-009,0.9756
9.2054e-009,0.8802
9.2421e-009,0.7702
9.2788e-009,0.6605
9.3154e-009,0.5675
9.3521e-009,0.5043
9.3888e-009,0.4731
9.4255e-009,0.4656
9.4622e-009,0.4695
9.4988e-009,0.4738
9.5355e-009,0.4721
9.5722e-009,0.4632
9.6088e-009,0.4503
9.6455e-009,0.4381
9.6822e-009,0.4305
9.7189e-009,0.4290
9.7556e-009,0.4321
9.7922e-009,0.4370
9.8289e-009,0.4408
9.8656e-009,0.4416
9.9022e-009,0.4388
9.9389e-009,0.4349
9.9756e-009,0.4366
1.00123e-008,0.4563
1.00490e-008,0.5064
1.00856e-008,0.5900
1.01223e-008,0.6962
1.01590e-008,0.8028
1.01956e-008,0.8900
1.02323e-008,0.9451
1.02690e-008,0.9647
1.03057e-008,0.9558
1.03424e-008,0.9358
1.03790e-008,0.9224
1.04157e-008,0.9245
1.04524e-008,0.9408
1.04890e-008,0.9634
1.05257e-008,0.9830
1.05624e-008,0.9935
1.05991e-008,0.9935
1.06358e-008,0.9855
1.06724e-008,0.9744
1.07091e-008,0.9658
1.07458e-008,0.9632
1.07824e-008,0.9673
1.08191e-008,0.9769
1.08558e-008,0.9904
1.08925e-008,1.0056
1.09292e-008,1.0182
1.09658e-008,1.0193
1.10025e-008,0.9969
1.10392e-008,0.9421
1.10758e-008,0.8586
1.11125e-008,0.7600
1.11492e-008,0.6612
1.11859e-008,0.5768
1.12226e-008,0.5185
1.12592e-008,0.4883
1.12959e-008,0.4776
1.13326e-008,0.4741
1.13693e-008,0.4689
1.14059e-008,0.4595
