.HEADER
..NAMES
Time,V U3.P3
.DATA
0.0e+000,1.0895
3.67e-011,1.0895
7.33e-011,1.0895
1.100e-010,1.0895
1.467e-010,1.0895
1.834e-010,1.0895
2.201e-010,1.0895
2.567e-010,1.0895
2.934e-010,1.0895
3.301e-010,1.0895
3.667e-010,1.0895
4.034e-010,1.0895
4.401e-010,1.0895
4.768e-010,1.0895
5.135e-010,1.0895
5.501e-010,1.0895
5.868e-010,1.0895
6.235e-010,1.0895
6.601e-010,1.0896
6.968e-010,1.0899
7.335e-010,1.0906
7.702e-010,1.0915
8.068e-010,1.0913
8.435e-010,1.0864
8.802e-010,1.0718
9.169e-010,1.0425
9.536e-010,0.9959
9.902e-010,0.9309
1.0269e-009,0.8485
1.0636e-009,0.7542
1.1003e-009,0.6567
1.1369e-009,0.5654
1.1736e-009,0.4900
1.2103e-009,0.4384
1.2469e-009,0.4133
1.2836e-009,0.4113
1.3203e-009,0.4243
1.3570e-009,0.4420
1.3936e-009,0.4545
1.4303e-009,0.4552
1.4670e-009,0.4413
1.5037e-009,0.4141
1.5403e-009,0.3789
1.5770e-009,0.3436
1.6137e-009,0.3159
1.6504e-009,0.3011
1.6871e-009,0.3012
1.7237e-009,0.3135
1.7604e-009,0.3322
1.7971e-009,0.3503
1.8338e-009,0.3623
1.8704e-009,0.3652
1.9071e-009,0.3593
1.9438e-009,0.3473
1.9805e-009,0.3334
2.0171e-009,0.3217
2.0538e-009,0.3150
2.0905e-009,0.3144
2.1272e-009,0.3190
2.1638e-009,0.3261
2.2005e-009,0.3326
2.2372e-009,0.3356
2.2738e-009,0.3338
2.3105e-009,0.3279
2.3472e-009,0.3198
2.3839e-009,0.3124
2.4205e-009,0.3080
2.4572e-009,0.3077
2.4939e-009,0.3112
2.5306e-009,0.3171
2.5672e-009,0.3236
2.6039e-009,0.3298
2.6406e-009,0.3365
2.6773e-009,0.3468
2.7139e-009,0.3660
2.7506e-009,0.3989
2.7873e-009,0.4489
2.8240e-009,0.5164
2.8606e-009,0.5987
2.8973e-009,0.6902
2.9340e-009,0.7822
2.9707e-009,0.8639
3.0073e-009,0.9267
3.0440e-009,0.9660
3.0807e-009,0.9814
3.1174e-009,0.9784
3.1540e-009,0.9665
3.1907e-009,0.9556
3.2274e-009,0.9533
3.2641e-009,0.9637
3.3007e-009,0.9868
3.3374e-009,1.0190
3.3741e-009,1.0543
3.4108e-009,1.0854
3.4475e-009,1.1059
3.4841e-009,1.1122
3.5208e-009,1.1053
3.5575e-009,1.0897
3.5942e-009,1.0718
3.6308e-009,1.0580
3.6675e-009,1.0522
3.7042e-009,1.0554
3.7408e-009,1.0657
3.7775e-009,1.0796
3.8142e-009,1.0931
3.8509e-009,1.1026
3.8875e-009,1.1063
3.9242e-009,1.1039
3.9609e-009,1.0973
3.9976e-009,1.0895
4.0342e-009,1.0836
4.0709e-009,1.0821
4.1076e-009,1.0856
4.1443e-009,1.0929
4.1809e-009,1.1014
4.2176e-009,1.1083
4.2543e-009,1.1117
4.2910e-009,1.1109
4.3276e-009,1.1065
4.3643e-009,1.1003
4.4010e-009,1.0940
4.4377e-009,1.0893
4.4743e-009,1.0871
4.5110e-009,1.0876
4.5477e-009,1.0904
4.5844e-009,1.0941
4.6211e-009,1.0969
4.6577e-009,1.0976
4.6944e-009,1.0957
4.7311e-009,1.0916
4.7678e-009,1.0869
4.8044e-009,1.0829
4.8411e-009,1.0810
4.8778e-009,1.0816
4.9145e-009,1.0843
4.9511e-009,1.0884
4.9878e-009,1.0928
5.0245e-009,1.0962
5.0612e-009,1.0979
5.0978e-009,1.0972
5.1345e-009,1.0944
5.1712e-009,1.0902
5.2079e-009,1.0859
5.2445e-009,1.0828
5.2812e-009,1.0817
5.3179e-009,1.0829
5.3546e-009,1.0860
5.3912e-009,1.0901
5.4279e-009,1.0944
5.4646e-009,1.0977
5.5013e-009,1.0978
5.5379e-009,1.0910
5.5746e-009,1.0722
5.6113e-009,1.0377
5.6480e-009,0.9861
5.6846e-009,0.9171
5.7213e-009,0.8327
5.7580e-009,0.7391
5.7947e-009,0.6444
5.8313e-009,0.5574
5.8680e-009,0.4867
5.9047e-009,0.4393
5.9414e-009,0.4168
5.9780e-009,0.4152
6.0147e-009,0.4269
6.0514e-009,0.4421
6.0881e-009,0.4519
6.1247e-009,0.4505
6.1614e-009,0.4357
6.1981e-009,0.4089
6.2348e-009,0.3754
6.2714e-009,0.3426
6.3081e-009,0.3172
6.3448e-009,0.3041
6.3815e-009,0.3047
6.4181e-009,0.3163
6.4548e-009,0.3334
6.4915e-009,0.3497
6.5282e-009,0.3603
6.5648e-009,0.3627
6.6015e-009,0.3571
6.6382e-009,0.3462
6.6749e-009,0.3337
6.7115e-009,0.3232
6.7482e-009,0.3171
6.7849e-009,0.3164
6.8215e-009,0.3202
6.8582e-009,0.3261
6.8949e-009,0.3314
6.9316e-009,0.3336
6.9682e-009,0.3318
7.0049e-009,0.3264
7.0416e-009,0.3194
7.0783e-009,0.3133
7.1149e-009,0.3098
7.1516e-009,0.3098
7.1883e-009,0.3130
7.2250e-009,0.3181
7.2616e-009,0.3234
7.2983e-009,0.3276
7.3350e-009,0.3297
7.3717e-009,0.3297
7.4083e-009,0.3278
7.4450e-009,0.3252
7.4817e-009,0.3233
7.5184e-009,0.3230
7.5550e-009,0.3248
7.5917e-009,0.3282
7.6284e-009,0.3321
7.6651e-009,0.3351
7.7018e-009,0.3364
7.7384e-009,0.3356
7.7751e-009,0.3329
7.8118e-009,0.3291
7.8484e-009,0.3252
7.8851e-009,0.3222
7.9218e-009,0.3208
7.9585e-009,0.3214
7.9952e-009,0.3238
8.0318e-009,0.3273
8.0685e-009,0.3310
8.1052e-009,0.3338
8.1418e-009,0.3350
8.1785e-009,0.3343
8.2152e-009,0.3324
8.2519e-009,0.3309
8.2886e-009,0.3331
8.3252e-009,0.3439
8.3619e-009,0.3684
8.3986e-009,0.4101
8.4352e-009,0.4697
8.4719e-009,0.5449
8.5086e-009,0.6313
8.5453e-009,0.7224
8.5820e-009,0.8090
8.6186e-009,0.8822
8.6553e-009,0.9358
8.6920e-009,0.9670
8.7286e-009,0.9774
8.7653e-009,0.9739
8.8020e-009,0.9654
8.8387e-009,0.9602
8.8754e-009,0.9638
8.9120e-009,0.9785
8.9487e-009,1.0028
8.9854e-009,1.0329
9.0220e-009,1.0634
9.0587e-009,1.0881
9.0954e-009,1.1024
9.1321e-009,1.1048
9.1688e-009,1.0975
9.2054e-009,1.0852
9.2421e-009,1.0719
9.2788e-009,1.0583
9.3154e-009,1.0405
9.3521e-009,1.0130
9.3888e-009,0.9717
9.4255e-009,0.9130
9.4622e-009,0.8352
9.4988e-009,0.7424
9.5355e-009,0.6439
9.5722e-009,0.5504
9.6088e-009,0.4731
9.6455e-009,0.4225
9.6822e-009,0.4023
9.7189e-009,0.4082
9.7556e-009,0.4303
9.7922e-009,0.4559
9.8289e-009,0.4730
9.8656e-009,0.4741
9.9022e-009,0.4567
9.9389e-009,0.4233
9.9756e-009,0.3814
1.00123e-008,0.3411
1.00490e-008,0.3116
1.00856e-008,0.2984
1.01223e-008,0.3025
1.01590e-008,0.3196
1.01956e-008,0.3420
1.02323e-008,0.3614
1.02690e-008,0.3717
1.03057e-008,0.3702
1.03424e-008,0.3584
1.03790e-008,0.3409
1.04157e-008,0.3232
1.04524e-008,0.3106
1.04890e-008,0.3060
1.05257e-008,0.3096
1.05624e-008,0.3192
1.05991e-008,0.3308
1.06358e-008,0.3401
1.06724e-008,0.3436
1.07091e-008,0.3401
1.07458e-008,0.3308
1.07824e-008,0.3188
1.08191e-008,0.3080
1.08558e-008,0.3016
1.08925e-008,0.3013
1.09292e-008,0.3064
1.09658e-008,0.3150
1.10025e-008,0.3246
1.10392e-008,0.3332
1.10758e-008,0.3409
1.11125e-008,0.3498
1.11492e-008,0.3653
1.11859e-008,0.3928
1.12226e-008,0.4370
1.12592e-008,0.4994
1.12959e-008,0.5783
1.13326e-008,0.6688
1.13693e-008,0.7624
1.14059e-008,0.8484
1.14426e-008,0.9169
1.14793e-008,0.9623
1.15159e-008,0.9828
1.15526e-008,0.9826
1.15893e-008,0.9707
1.16260e-008,0.9576
1.16627e-008,0.9518
1.16993e-008,0.9588
1.17360e-008,0.9795
1.17727e-008,1.0110
1.18093e-008,1.0474
1.18460e-008,1.0811
1.18827e-008,1.1049
1.19194e-008,1.1144
1.19561e-008,1.1096
1.19927e-008,1.0944
1.20294e-008,1.0753
1.20661e-008,1.0591
1.21027e-008,1.0509
1.21394e-008,1.0524
1.21761e-008,1.0622
1.22128e-008,1.0769
