.HEADER
..NAMES
Time,V U3.G2
.DATA
9.4895e-009,1.1785
9.5280e-009,1.1812
9.5666e-009,1.1711
9.6052e-009,1.1302
9.6437e-009,1.0449
9.6823e-009,0.9295
9.7209e-009,0.8111
9.7595e-009,0.7023
9.7981e-009,0.6059
9.8366e-009,0.5256
9.8752e-009,0.4634
9.9138e-009,0.4206
9.9524e-009,0.3911
9.9909e-009,0.3669
1.00295e-008,0.3489
1.00681e-008,0.3381
1.01066e-008,0.3301
1.01452e-008,0.3231
1.01838e-008,0.3190
1.02224e-008,0.3190
1.02610e-008,0.3223
1.02995e-008,0.3249
1.03381e-008,0.3251
1.03767e-008,0.3250
1.04152e-008,0.3258
1.04538e-008,0.3256
1.04924e-008,0.3244
1.05310e-008,0.3235
1.05695e-008,0.3234
1.06081e-008,0.3235
1.06467e-008,0.3231
1.06853e-008,0.3223
1.07239e-008,0.3220
1.07624e-008,0.3223
1.08010e-008,0.3220
1.08396e-008,0.3213
1.08781e-008,0.3210
1.09167e-008,0.3211
1.09553e-008,0.3212
1.09939e-008,0.3211
1.10324e-008,0.3209
1.10710e-008,0.3210
1.11096e-008,0.3212
1.11482e-008,0.3211
1.11868e-008,0.3209
1.12253e-008,0.3209
1.12639e-008,0.3210
1.13025e-008,0.3210
1.13410e-008,0.3223
1.13796e-008,0.3291
1.14182e-008,0.3506
1.14568e-008,0.4004
1.14953e-008,0.4865
1.15339e-008,0.6030
1.15725e-008,0.7234
1.16111e-008,0.8220
1.16497e-008,0.8950
1.16882e-008,0.9552
1.17268e-008,1.0082
1.17654e-008,1.0530
1.18039e-008,1.0985
1.18425e-008,1.1397
1.18811e-008,1.1656
1.19197e-008,1.1600
1.19583e-008,1.1149
1.19968e-008,1.0215
1.20354e-008,0.9015
1.20740e-008,0.7817
1.21126e-008,0.6698
1.21511e-008,0.5764
1.21897e-008,0.5042
1.22283e-008,0.4479
1.22668e-008,0.4093
1.23054e-008,0.3830
1.23440e-008,0.3604
1.23826e-008,0.3442
1.24212e-008,0.3342
1.24597e-008,0.3254
1.24983e-008,0.3199
1.25369e-008,0.3183
1.25755e-008,0.3189
1.26140e-008,0.3222
1.26526e-008,0.3250
1.26912e-008,0.3253
1.27297e-008,0.3254
1.27683e-008,0.3257
1.28069e-008,0.3248
1.28455e-008,0.3238
1.28841e-008,0.3234
1.29226e-008,0.3231
1.29612e-008,0.3231
1.29998e-008,0.3230
1.30383e-008,0.3223
1.30769e-008,0.3220
1.31155e-008,0.3220
1.31541e-008,0.3216
1.31926e-008,0.3213
1.32312e-008,0.3239
1.32698e-008,0.3347
1.33084e-008,0.3650
1.33470e-008,0.4281
1.33855e-008,0.5270
1.34241e-008,0.6488
1.34627e-008,0.7633
1.35012e-008,0.8512
1.35398e-008,0.9182
1.35784e-008,0.9755
1.36170e-008,1.0259
1.36555e-008,1.0667
1.36941e-008,1.0965
1.37327e-008,1.1173
1.37713e-008,1.1335
1.38099e-008,1.1451
1.38484e-008,1.1529
1.38870e-008,1.1602
1.39256e-008,1.1663
1.39641e-008,1.1682
1.40027e-008,1.1671
1.40413e-008,1.1661
1.40799e-008,1.1676
1.41185e-008,1.1709
1.41570e-008,1.1756
1.41956e-008,1.1802
1.42342e-008,1.1794
1.42728e-008,1.1591
1.43113e-008,1.0998
1.43499e-008,0.9985
1.43885e-008,0.8792
1.44270e-008,0.7641
1.44656e-008,0.6603
1.45042e-008,0.5703
1.45428e-008,0.4972
1.45814e-008,0.4433
1.46199e-008,0.4017
1.46585e-008,0.3727
1.46971e-008,0.3655
1.47357e-008,0.3962
1.47742e-008,0.4691
1.48128e-008,0.5791
1.48514e-008,0.7029
1.48899e-008,0.8110
1.49285e-008,0.8950
1.49671e-008,0.9601
1.50057e-008,1.0120
1.50443e-008,1.0561
1.50828e-008,1.0998
1.51214e-008,1.1404
1.51600e-008,1.1676
1.51985e-008,1.1651
1.52371e-008,1.1265
1.52757e-008,1.0386
1.53143e-008,0.9187
1.53528e-008,0.7960
1.53914e-008,0.6819
1.54300e-008,0.5861
1.54686e-008,0.5113
1.55071e-008,0.4529
1.55457e-008,0.4099
1.55843e-008,0.3785
1.56229e-008,0.3625
1.56615e-008,0.3792
1.57000e-008,0.4359
1.57386e-008,0.5349
1.57772e-008,0.6604
