.HEADER
..NAMES
Time,V U5.G2
.DATA
0.0e+000,0.3216
3.86e-011,0.3216
7.72e-011,0.3216
1.157e-010,0.3216
1.543e-010,0.3216
1.929e-010,0.3216
2.314e-010,0.3216
2.700e-010,0.3216
3.086e-010,0.3216
3.472e-010,0.3216
3.857e-010,0.3216
4.243e-010,0.3216
4.629e-010,0.3216
5.015e-010,0.3216
5.401e-010,0.3216
5.786e-010,0.3216
6.172e-010,0.3216
6.558e-010,0.3216
6.944e-010,0.3216
7.329e-010,0.3216
7.715e-010,0.3230
8.101e-010,0.3307
8.486e-010,0.3538
8.872e-010,0.4073
9.258e-010,0.4976
9.644e-010,0.6147
1.0029e-009,0.7329
1.0415e-009,0.8245
1.0801e-009,0.9005
1.1187e-009,0.9666
1.1572e-009,1.0202
1.1958e-009,1.0584
1.2344e-009,1.0941
1.2730e-009,1.1384
1.3115e-009,1.1504
1.3501e-009,1.1431
1.3887e-009,1.1040
1.4273e-009,1.0219
1.4658e-009,0.9156
1.5044e-009,0.8068
1.5430e-009,0.6988
1.5816e-009,0.5984
1.6202e-009,0.5148
1.6587e-009,0.4551
1.6973e-009,0.4129
1.7359e-009,0.3784
1.7745e-009,0.3720
1.8130e-009,0.3970
1.8516e-009,0.4604
1.8902e-009,0.5538
1.9288e-009,0.6659
1.9673e-009,0.7665
2.0059e-009,0.8473
2.0445e-009,0.9195
2.0830e-009,0.9832
2.1216e-009,1.0326
2.1602e-009,1.0664
2.1988e-009,1.0913
2.2374e-009,1.1117
2.2759e-009,1.1269
2.3145e-009,1.1357
2.3531e-009,1.1424
2.3916e-009,1.1503
2.4302e-009,1.1590
2.4688e-009,1.1671
2.5074e-009,1.1737
2.5459e-009,1.1761
2.5845e-009,1.1745
2.6231e-009,1.1741
2.6617e-009,1.1794
2.7003e-009,1.1837
2.7388e-009,1.1750
2.7774e-009,1.1394
2.8160e-009,1.0604
2.8545e-009,0.9494
2.8931e-009,0.8365
2.9317e-009,0.7267
2.9703e-009,0.6235
3.0089e-009,0.5366
3.0474e-009,0.4726
3.0860e-009,0.4295
3.1246e-009,0.3989
3.1631e-009,0.3760
3.2017e-009,0.3606
3.2403e-009,0.3526
3.2789e-009,0.3484
3.3175e-009,0.3444
3.3560e-009,0.3393
3.3946e-009,0.3313
3.4332e-009,0.3227
3.4717e-009,0.3185
3.5103e-009,0.3180
3.5489e-009,0.3181
3.5875e-009,0.3187
3.6260e-009,0.3208
3.6646e-009,0.3235
3.7032e-009,0.3250
3.7418e-009,0.3248
3.7803e-009,0.3242
3.8189e-009,0.3243
3.8575e-009,0.3244
3.8961e-009,0.3237
3.9346e-009,0.3230
3.9732e-009,0.3223
4.0118e-009,0.3215
4.0504e-009,0.3228
4.0890e-009,0.3302
4.1275e-009,0.3515
4.1661e-009,0.4009
4.2047e-009,0.4873
4.2433e-009,0.6021
4.2818e-009,0.7216
4.3204e-009,0.8155
4.3590e-009,0.8925
4.3975e-009,0.9600
4.4361e-009,1.0154
4.4747e-009,1.0552
4.5133e-009,1.0898
4.5519e-009,1.1353
4.5904e-009,1.1506
4.6290e-009,1.1453
4.6676e-009,1.1108
4.7062e-009,1.0328
4.7447e-009,0.9274
4.7833e-009,0.8185
4.8219e-009,0.7102
4.8604e-009,0.6086
4.8990e-009,0.5228
4.9376e-009,0.4606
4.9762e-009,0.4173
5.0147e-009,0.3813
5.0533e-009,0.3715
5.0919e-009,0.3927
5.1305e-009,0.4520
5.1691e-009,0.5426
5.2076e-009,0.6539
5.2462e-009,0.7570
5.2848e-009,0.8392
5.3234e-009,0.9122
5.3619e-009,0.9770
5.4005e-009,1.0282
5.4391e-009,1.0661
5.4776e-009,1.1126
5.5162e-009,1.1431
5.5548e-009,1.1481
5.5934e-009,1.1285
5.6320e-009,1.0662
5.6705e-009,0.9677
5.7091e-009,0.8582
5.7477e-009,0.7474
5.7863e-009,0.6416
5.8248e-009,0.5502
5.8634e-009,0.4803
5.9020e-009,0.4318
5.9405e-009,0.3922
5.9791e-009,0.3724
6.0177e-009,0.3833
6.0563e-009,0.4290
6.0948e-009,0.5104
6.1334e-009,0.6174
6.1720e-009,0.7270
6.2106e-009,0.8141
6.2492e-009,0.8894
6.2877e-009,0.9572
6.3263e-009,1.0133
6.3649e-009,1.0540
6.4035e-009,1.0974
6.4420e-009,1.1377
6.4806e-009,1.1482
6.5192e-009,1.1388
6.5577e-009,1.0909
6.5963e-009,1.0014
6.6349e-009,0.8929
6.6735e-009,0.7824
6.7121e-009,0.6741
6.7506e-009,0.5774
6.7892e-009,0.4999
6.8278e-009,0.4457
6.8664e-009,0.4099
6.9049e-009,0.3846
6.9435e-009,0.3654
6.9821e-009,0.3552
7.0206e-009,0.3511
7.0592e-009,0.3457
7.0978e-009,0.3403
7.1364e-009,0.3341
7.1749e-009,0.3263
7.2135e-009,0.3200
7.2521e-009,0.3175
7.2907e-009,0.3171
7.3293e-009,0.3181
7.3678e-009,0.3252
7.4064e-009,0.3484
7.4450e-009,0.3998
7.4835e-009,0.4857
7.5221e-009,0.5974
7.5607e-009,0.7165
7.5993e-009,0.8125
7.6379e-009,0.8893
7.6764e-009,0.9560
7.7150e-009,1.0115
7.7536e-009,1.0521
7.7922e-009,1.0799
7.8307e-009,1.1010
7.8693e-009,1.1170
7.9079e-009,1.1285
7.9464e-009,1.1365
7.9850e-009,1.1433
8.0236e-009,1.1513
8.0622e-009,1.1603
8.1008e-009,1.1690
8.1393e-009,1.1750
8.1779e-009,1.1756
8.2165e-009,1.1735
8.2550e-009,1.1729
8.2936e-009,1.1738
8.3322e-009,1.1741
8.3708e-009,1.1735
8.4093e-009,1.1737
8.4479e-009,1.1744
8.4865e-009,1.1749
8.5251e-009,1.1751
8.5637e-009,1.1754
8.6022e-009,1.1761
8.6408e-009,1.1767
8.6794e-009,1.1773
8.7179e-009,1.1774
8.7565e-009,1.1768
8.7951e-009,1.1760
8.8337e-009,1.1760
8.8722e-009,1.1765
8.9108e-009,1.1768
8.9494e-009,1.1767
8.9880e-009,1.1767
9.0266e-009,1.1769
9.0651e-009,1.1770
9.1037e-009,1.1769
9.1423e-009,1.1769
9.1808e-009,1.1769
9.2194e-009,1.1770
9.2580e-009,1.1771
9.2966e-009,1.1770
9.3352e-009,1.1769
9.3737e-009,1.1768
9.4123e-009,1.1769
9.4509e-009,1.1771
9.4895e-009,1.1771
9.5280e-009,1.1771
9.5666e-009,1.1770
9.6052e-009,1.1771
9.6437e-009,1.1772
9.6823e-009,1.1787
9.7209e-009,1.1828
9.7595e-009,1.1814
9.7981e-009,1.1598
9.8366e-009,1.0983
9.8752e-009,0.9950
9.9138e-009,0.8803
9.9524e-009,0.7699
9.9909e-009,0.6626
1.00295e-008,0.5678
1.00681e-008,0.4941
1.01066e-008,0.4437
1.01452e-008,0.4057
1.01838e-008,0.3749
1.02224e-008,0.3758
1.02610e-008,0.4071
1.02995e-008,0.4748
1.03381e-008,0.5752
1.03767e-008,0.6901
1.04152e-008,0.7848
1.04538e-008,0.8611
1.04924e-008,0.9322
1.05310e-008,0.9948
1.05695e-008,1.0412
1.06081e-008,1.0727
1.06467e-008,1.0969
1.06853e-008,1.1167
1.07239e-008,1.1302
1.07624e-008,1.1375
1.08010e-008,1.1442
1.08396e-008,1.1523
1.08781e-008,1.1607
1.09167e-008,1.1690
1.09553e-008,1.1757
1.09939e-008,1.1768
1.10324e-008,1.1744
1.10710e-008,1.1746
1.11096e-008,1.1811
1.11482e-008,1.1841
1.11868e-008,1.1722
1.12253e-008,1.1306
1.12639e-008,1.0449
1.13025e-008,0.9318
1.13410e-008,0.8195
1.13796e-008,0.7102
1.14182e-008,0.6091
1.14568e-008,0.5254
1.14953e-008,0.4651
1.15339e-008,0.4246
1.15725e-008,0.3952
1.16111e-008,0.3734
1.16497e-008,0.3592
1.16882e-008,0.3522
1.17268e-008,0.3482
1.17654e-008,0.3440
1.18039e-008,0.3385
1.18425e-008,0.3301
1.18811e-008,0.3220
1.19197e-008,0.3185
1.19583e-008,0.3182
1.19968e-008,0.3184
1.20354e-008,0.3192
1.20740e-008,0.3214
1.21126e-008,0.3241
1.21511e-008,0.3253
1.21897e-008,0.3249
1.22283e-008,0.3244
1.22668e-008,0.3245
1.23054e-008,0.3245
1.23440e-008,0.3238
1.23826e-008,0.3231
1.24212e-008,0.3223
1.24597e-008,0.3217
1.24983e-008,0.3235
1.25369e-008,0.3324
1.25755e-008,0.3569
1.26140e-008,0.4118
1.26526e-008,0.5033
1.26912e-008,0.6209
1.27297e-008,0.7378
1.27683e-008,0.8279
1.28069e-008,0.9034
1.28455e-008,0.9693
1.28841e-008,1.0225
1.29226e-008,1.0599
1.29612e-008,1.0858
1.29998e-008,1.1052
1.30383e-008,1.1196
1.30769e-008,1.1303
1.31155e-008,1.1380
1.31541e-008,1.1446
1.31926e-008,1.1525
1.32312e-008,1.1618
1.32698e-008,1.1709
1.33084e-008,1.1761
1.33470e-008,1.1753
1.33855e-008,1.1732
1.34241e-008,1.1732
1.34627e-008,1.1741
1.35012e-008,1.1740
1.35398e-008,1.1734
1.35784e-008,1.1737
1.36170e-008,1.1744
1.36555e-008,1.1749
