.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
9.0651e-009,-0.5952
9.1037e-009,-0.3990
9.1423e-009,-0.1802
9.1808e-009,0.0426
9.2194e-009,0.2538
9.2580e-009,0.4342
9.2966e-009,0.5741
9.3352e-009,0.6728
9.3737e-009,0.7505
9.4123e-009,0.7919
9.4509e-009,0.7904
9.4895e-009,0.7416
9.5280e-009,0.6234
9.5666e-009,0.4340
9.6052e-009,0.2152
9.6437e-009,-0.0088
9.6823e-009,-0.2235
9.7209e-009,-0.4094
9.7595e-009,-0.5556
9.7981e-009,-0.6588
9.8366e-009,-0.7373
9.8752e-009,-0.7858
9.9138e-009,-0.7902
9.9524e-009,-0.7502
9.9909e-009,-0.6448
1.00295e-008,-0.4658
1.00681e-008,-0.2501
1.01066e-008,-0.0276
1.01452e-008,0.1896
1.01838e-008,0.3812
1.02224e-008,0.5346
1.02610e-008,0.6449
1.02995e-008,0.7259
1.03381e-008,0.7827
1.03767e-008,0.7946
1.04152e-008,0.7628
1.04538e-008,0.6687
1.04924e-008,0.4992
1.05310e-008,0.2850
1.05695e-008,0.0623
1.06081e-008,-0.1577
1.06467e-008,-0.3545
1.06853e-008,-0.5141
1.07239e-008,-0.6304
1.07624e-008,-0.7143
1.08010e-008,-0.7760
1.08396e-008,-0.7934
1.08781e-008,-0.7688
1.09167e-008,-0.6866
1.09553e-008,-0.5291
1.09939e-008,-0.3195
1.10324e-008,-0.0983
1.10710e-008,0.1228
1.11096e-008,0.3243
1.11482e-008,0.4904
1.11868e-008,0.6144
1.12253e-008,0.7019
1.12639e-008,0.7699
1.13025e-008,0.7954
1.13410e-008,0.7784
1.13796e-008,0.7068
1.14182e-008,0.5602
1.14568e-008,0.3544
1.14953e-008,0.1331
1.15339e-008,-0.0897
1.15725e-008,-0.2959
1.16111e-008,-0.4682
1.16497e-008,-0.5983
1.16882e-008,-0.6896
1.17268e-008,-0.7614
1.17654e-008,-0.7924
1.18039e-008,-0.7817
1.18425e-008,-0.7205
1.18811e-008,-0.5868
1.19197e-008,-0.3882
1.19583e-008,-0.1689
1.19968e-008,0.0540
1.20354e-008,0.2639
1.20740e-008,0.4422
1.21126e-008,0.5800
1.21511e-008,0.6766
1.21897e-008,0.7524
1.22283e-008,0.7922
1.22668e-008,0.7888
1.23054e-008,0.7371
1.23440e-008,0.6149
1.23826e-008,0.4229
1.24212e-008,0.2037
1.24597e-008,-0.0201
1.24983e-008,-0.2338
1.25369e-008,-0.4180
1.25755e-008,-0.5620
1.26140e-008,-0.6635
1.26526e-008,-0.7422
1.26912e-008,-0.7876
1.27297e-008,-0.7897
1.27683e-008,-0.7470
1.28069e-008,-0.6377
1.28455e-008,-0.4554
1.28841e-008,-0.2389
1.29226e-008,-0.0160
1.29612e-008,0.2003
1.29998e-008,0.3900
1.30383e-008,0.5411
1.30769e-008,0.6495
1.31155e-008,0.7309
1.31541e-008,0.7850
1.31926e-008,0.7944
1.32312e-008,0.7601
1.32698e-008,0.6622
1.33084e-008,0.4890
1.33470e-008,0.2738
1.33855e-008,0.0505
1.34241e-008,-0.1687
1.34627e-008,-0.3638
1.35012e-008,-0.5212
1.35398e-008,-0.6352
1.35784e-008,-0.7170
1.36170e-008,-0.7771
1.36555e-008,-0.7927
1.36941e-008,-0.7658
1.37327e-008,-0.6800
1.37713e-008,-0.5189
1.38099e-008,-0.3082
1.38484e-008,-0.0870
1.38870e-008,0.1336
1.39256e-008,0.3337
1.39641e-008,0.4979
1.40027e-008,0.6197
1.40413e-008,0.7069
1.40799e-008,0.7733
1.41185e-008,0.7961
1.41570e-008,0.7767
1.41956e-008,0.7015
1.42342e-008,0.5509
1.42728e-008,0.3434
1.43113e-008,0.1215
1.43499e-008,-0.1011
1.43885e-008,-0.3057
1.44270e-008,-0.4758
1.44656e-008,-0.6037
1.45042e-008,-0.6929
1.45428e-008,-0.7630
1.45814e-008,-0.7924
1.46199e-008,-0.7796
1.46585e-008,-0.7152
1.46971e-008,-0.5777
1.47357e-008,-0.3770
1.47742e-008,-0.1575
1.48128e-008,0.0651
1.48514e-008,0.2738
1.48899e-008,0.4504
1.49285e-008,0.5860
1.49671e-008,0.6814
1.50057e-008,0.7568
1.50443e-008,0.7936
1.50828e-008,0.7878
1.51214e-008,0.7330
1.51600e-008,0.6068
1.51985e-008,0.4121
1.52371e-008,0.1923
1.52757e-008,-0.0316
1.53143e-008,-0.2442
1.53528e-008,-0.4264
1.53914e-008,-0.5681
1.54300e-008,-0.6674
1.54686e-008,-0.7443
1.55071e-008,-0.7881
1.55457e-008,-0.7884
1.55843e-008,-0.7428
1.56229e-008,-0.6297
1.56615e-008,-0.4445
1.57000e-008,-0.2276
1.57386e-008,-0.0048
1.57772e-008,0.2107
1.58158e-008,0.3987
1.58543e-008,0.5478
1.58929e-008,0.6540
1.59315e-008,0.7334
1.59701e-008,0.7858
1.60086e-008,0.7935
1.60472e-008,0.7564
1.60858e-008,0.6547
1.61243e-008,0.4784
1.61629e-008,0.2624
1.62015e-008,0.0393
1.62401e-008,-0.1793
1.62786e-008,-0.3728
1.63172e-008,-0.5280
1.63558e-008,-0.6400
1.63944e-008,-0.7220
1.64329e-008,-0.7797
1.64715e-008,-0.7929
1.65101e-008,-0.7634
1.65487e-008,-0.6739
1.65873e-008,-0.5092
1.66258e-008,-0.2971
1.66644e-008,-0.0755
1.67030e-008,0.1446
1.67416e-008,0.3431
1.67801e-008,0.5051
1.68187e-008,0.6247
1.68573e-008,0.7098
1.68959e-008,0.7746
1.69344e-008,0.7957
1.69730e-008,0.7740
1.70116e-008,0.6953
1.70501e-008,0.5410
1.70887e-008,0.3320
1.71273e-008,0.1101
1.71659e-008,-0.1120
1.72044e-008,-0.3153
1.72430e-008,-0.4835
1.72816e-008,-0.6092
1.73202e-008,-0.6978
1.73588e-008,-0.7667
1.73973e-008,-0.7932
1.74359e-008,-0.7781
1.74745e-008,-0.7104
1.75131e-008,-0.5689
1.75516e-008,-0.3661
1.75902e-008,-0.1461
1.76288e-008,0.0764
1.76674e-008,0.2838
1.77059e-008,0.4583
1.77445e-008,0.5916
1.77831e-008,0.6849
1.78216e-008,0.7587
1.78602e-008,0.7937
1.78988e-008,0.7860
1.79374e-008,0.7281
1.79759e-008,0.5979
1.80145e-008,0.4009
1.80531e-008,0.1809
1.80917e-008,-0.0428
1.81302e-008,-0.2543
1.81688e-008,-0.4348
1.82074e-008,-0.5743
1.82460e-008,-0.6722
1.82846e-008,-0.7489
1.83231e-008,-0.7896
1.83617e-008,-0.7877
1.84003e-008,-0.7392
1.84389e-008,-0.6221
1.84774e-008,-0.4340
1.85160e-008,-0.2164
1.85546e-008,0.0067
1.85932e-008,0.2212
1.86317e-008,0.4073
1.86703e-008,0.5542
1.87089e-008,0.6585
1.87474e-008,0.7383
1.87860e-008,0.7878
1.88246e-008,0.7931
1.88632e-008,0.7534
1.89017e-008,0.6477
1.89403e-008,0.4680
1.89789e-008,0.2511
1.90175e-008,0.0276
1.90560e-008,-0.1901
1.90946e-008,-0.3818
1.91332e-008,-0.5349
1.91718e-008,-0.6445
1.92104e-008,-0.7246
1.92489e-008,-0.7806
1.92875e-008,-0.7920
1.93261e-008,-0.7602
1.93647e-008,-0.6670
1.94032e-008,-0.4988
1.94418e-008,-0.2858
1.94804e-008,-0.0642
1.95190e-008,0.1553
1.95575e-008,0.3523
1.95961e-008,0.5124
1.96347e-008,0.6298
1.96732e-008,0.7149
1.97118e-008,0.7777
1.97504e-008,0.7961
1.97890e-008,0.7720
1.98275e-008,0.6896
1.98661e-008,0.5315
1.99047e-008,0.3209
1.99433e-008,0.0985
1.99819e-008,-0.1232
2.00204e-008,-0.3249
2.00590e-008,-0.4909
2.00976e-008,-0.6143
2.01362e-008,-0.7009
2.01747e-008,-0.7681
2.02133e-008,-0.7929
2.02519e-008,-0.7757
2.02905e-008,-0.7047
2.03290e-008,-0.5594
2.03676e-008,-0.3548
2.04062e-008,-0.1348
2.04447e-008,0.0874
2.04833e-008,0.2936
2.05219e-008,0.4662
2.05605e-008,0.5973
2.05990e-008,0.6898
2.06376e-008,0.7628
2.06762e-008,0.7948
2.07148e-008,0.7848
2.07533e-008,0.7237
2.07919e-008,0.5894
2.08305e-008,0.3900
2.08691e-008,0.1694
2.09077e-008,-0.0543
2.09462e-008,-0.2645
2.09848e-008,-0.4429
2.10234e-008,-0.5801
2.10620e-008,-0.6759
2.11005e-008,-0.7509
2.11391e-008,-0.7899
2.11777e-008,-0.7860
2.12163e-008,-0.7347
2.12548e-008,-0.6137
2.12934e-008,-0.4229
2.13320e-008,-0.2050
2.13705e-008,0.0179
2.14091e-008,0.2314
2.14477e-008,0.4159
2.14863e-008,0.5607
2.15248e-008,0.6628
