.HEADER
..NAMES
Time,V U3.N3
.DATA
0.0e+000,0.3303
3.67e-011,0.3303
7.33e-011,0.3303
1.100e-010,0.3303
1.467e-010,0.3303
1.834e-010,0.3303
2.201e-010,0.3303
2.567e-010,0.3303
2.934e-010,0.3303
3.301e-010,0.3303
3.667e-010,0.3303
4.034e-010,0.3303
4.401e-010,0.3303
4.768e-010,0.3303
5.135e-010,0.3303
5.501e-010,0.3303
5.868e-010,0.3303
6.235e-010,0.3303
6.601e-010,0.3303
6.968e-010,0.3305
7.335e-010,0.3314
7.702e-010,0.3348
8.068e-010,0.3439
8.435e-010,0.3635
8.802e-010,0.3978
9.169e-010,0.4493
9.536e-010,0.5174
9.902e-010,0.5989
1.0269e-009,0.6884
1.0636e-009,0.7777
1.1003e-009,0.8576
1.1369e-009,0.9201
1.1736e-009,0.9609
1.2103e-009,0.9795
1.2469e-009,0.9813
1.2836e-009,0.9749
1.3203e-009,0.9691
1.3570e-009,0.9706
1.3936e-009,0.9824
1.4303e-009,1.0044
1.4670e-009,1.0331
1.5037e-009,1.0633
1.5403e-009,1.0888
1.5770e-009,1.1042
1.6137e-009,1.1076
1.6504e-009,1.1007
1.6871e-009,1.0882
1.7237e-009,1.0757
1.7604e-009,1.0680
1.7971e-009,1.0670
1.8338e-009,1.0723
1.8704e-009,1.0815
1.9071e-009,1.0917
1.9438e-009,1.0998
1.9805e-009,1.1038
2.0171e-009,1.1031
2.0538e-009,1.0987
2.0905e-009,1.0931
2.1272e-009,1.0890
2.1638e-009,1.0885
2.2005e-009,1.0921
2.2372e-009,1.0986
2.2738e-009,1.1056
2.3105e-009,1.1110
2.3472e-009,1.1131
2.3839e-009,1.1116
2.4205e-009,1.1075
2.4572e-009,1.1021
2.4939e-009,1.0973
2.5306e-009,1.0943
2.5672e-009,1.0938
2.6039e-009,1.0960
2.6406e-009,1.0997
2.6773e-009,1.1024
2.7139e-009,1.0993
2.7506e-009,1.0845
2.7873e-009,1.0530
2.8240e-009,1.0023
2.8606e-009,0.9327
2.8973e-009,0.8469
2.9340e-009,0.7509
2.9707e-009,0.6539
3.0073e-009,0.5652
3.0440e-009,0.4940
3.0807e-009,0.4470
3.1174e-009,0.4253
3.1540e-009,0.4241
3.1907e-009,0.4347
3.2274e-009,0.4468
3.2641e-009,0.4521
3.3007e-009,0.4456
3.3374e-009,0.4264
3.3741e-009,0.3970
3.4108e-009,0.3635
3.4475e-009,0.3333
3.4841e-009,0.3131
3.5208e-009,0.3063
3.5575e-009,0.3125
3.5942e-009,0.3270
3.6308e-009,0.3434
3.6675e-009,0.3556
3.7042e-009,0.3601
3.7408e-009,0.3565
3.7775e-009,0.3467
3.8142e-009,0.3345
3.8509e-009,0.3237
3.8875e-009,0.3175
3.9242e-009,0.3171
3.9609e-009,0.3218
3.9976e-009,0.3288
4.0342e-009,0.3349
4.0709e-009,0.3372
4.1076e-009,0.3345
4.1443e-009,0.3276
4.1809e-009,0.3190
4.2176e-009,0.3117
4.2543e-009,0.3079
4.2910e-009,0.3087
4.3276e-009,0.3133
4.3643e-009,0.3199
4.4010e-009,0.3265
4.4377e-009,0.3312
4.4743e-009,0.3336
4.5110e-009,0.3351
4.5477e-009,0.3401
4.5844e-009,0.3550
4.6211e-009,0.3861
4.6577e-009,0.4372
4.6944e-009,0.5080
4.7311e-009,0.5943
4.7678e-009,0.6889
4.8044e-009,0.7820
4.8411e-009,0.8633
4.8778e-009,0.9246
4.9145e-009,0.9617
4.9511e-009,0.9758
4.9878e-009,0.9732
5.0245e-009,0.9639
5.0612e-009,0.9575
5.0978e-009,0.9610
5.1345e-009,0.9768
5.1712e-009,1.0034
5.2079e-009,1.0361
5.2445e-009,1.0687
5.2812e-009,1.0945
5.3179e-009,1.1087
5.3546e-009,1.1097
5.3912e-009,1.1002
5.4279e-009,1.0861
5.4646e-009,1.0732
5.5013e-009,1.0645
5.5379e-009,1.0576
5.5746e-009,1.0454
5.6113e-009,1.0198
5.6480e-009,0.9751
5.6846e-009,0.9081
5.7213e-009,0.8196
5.7580e-009,0.7168
5.7947e-009,0.6118
5.8313e-009,0.5180
5.8680e-009,0.4485
5.9047e-009,0.4115
5.9414e-009,0.4061
5.9780e-009,0.4233
6.0147e-009,0.4495
6.0514e-009,0.4710
6.0881e-009,0.4777
6.1247e-009,0.4655
6.1614e-009,0.4357
6.1981e-009,0.3945
6.2348e-009,0.3520
6.2714e-009,0.3183
6.3081e-009,0.3010
6.3448e-009,0.3019
6.3815e-009,0.3174
6.4181e-009,0.3395
6.4548e-009,0.3590
6.4915e-009,0.3692
6.5282e-009,0.3675
6.5648e-009,0.3557
6.6015e-009,0.3384
6.6382e-009,0.3214
6.6749e-009,0.3098
6.7115e-009,0.3067
6.7482e-009,0.3121
6.7849e-009,0.3233
6.8215e-009,0.3357
6.8582e-009,0.3442
6.8949e-009,0.3457
6.9316e-009,0.3395
6.9682e-009,0.3278
7.0049e-009,0.3147
7.0416e-009,0.3045
7.0783e-009,0.3001
7.1149e-009,0.3024
7.1516e-009,0.3099
7.1883e-009,0.3200
7.2250e-009,0.3297
7.2616e-009,0.3362
7.2983e-009,0.3383
7.3350e-009,0.3358
7.3717e-009,0.3302
7.4083e-009,0.3239
7.4450e-009,0.3195
7.4817e-009,0.3189
7.5184e-009,0.3222
7.5550e-009,0.3282
7.5917e-009,0.3349
7.6284e-009,0.3401
7.6651e-009,0.3422
7.7018e-009,0.3409
7.7384e-009,0.3367
7.7751e-009,0.3309
7.8118e-009,0.3250
7.8484e-009,0.3207
7.8851e-009,0.3192
7.9218e-009,0.3208
7.9585e-009,0.3251
7.9952e-009,0.3305
8.0318e-009,0.3355
8.0685e-009,0.3386
8.1052e-009,0.3391
8.1418e-009,0.3371
8.1785e-009,0.3335
8.2152e-009,0.3292
8.2519e-009,0.3254
8.2886e-009,0.3231
8.3252e-009,0.3228
8.3619e-009,0.3245
8.3986e-009,0.3277
8.4352e-009,0.3313
8.4719e-009,0.3343
8.5086e-009,0.3358
8.5453e-009,0.3355
8.5820e-009,0.3337
8.6186e-009,0.3310
8.6553e-009,0.3283
8.6920e-009,0.3265
8.7286e-009,0.3259
8.7653e-009,0.3267
8.8020e-009,0.3286
8.8387e-009,0.3310
8.8754e-009,0.3330
8.9120e-009,0.3340
8.9487e-009,0.3337
8.9854e-009,0.3323
9.0220e-009,0.3302
9.0587e-009,0.3281
9.0954e-009,0.3268
9.1321e-009,0.3265
9.1688e-009,0.3274
9.2054e-009,0.3290
9.2421e-009,0.3309
9.2788e-009,0.3325
9.3154e-009,0.3332
9.3521e-009,0.3328
9.3888e-009,0.3316
9.4255e-009,0.3300
9.4622e-009,0.3284
9.4988e-009,0.3275
9.5355e-009,0.3275
9.5722e-009,0.3283
9.6088e-009,0.3297
9.6455e-009,0.3312
9.6822e-009,0.3323
9.7189e-009,0.3326
9.7556e-009,0.3321
9.7922e-009,0.3310
9.8289e-009,0.3296
9.8656e-009,0.3285
9.9022e-009,0.3280
9.9389e-009,0.3281
9.9756e-009,0.3289
1.00123e-008,0.3300
1.00490e-008,0.3312
1.00856e-008,0.3322
1.01223e-008,0.3336
1.01590e-008,0.3376
1.01956e-008,0.3478
1.02323e-008,0.3695
1.02690e-008,0.4069
1.03057e-008,0.4620
1.03424e-008,0.5338
1.03790e-008,0.6184
1.04157e-008,0.7094
1.04524e-008,0.7982
1.04890e-008,0.8750
1.05257e-008,0.9328
1.05624e-008,0.9679
1.05991e-008,0.9813
1.06358e-008,0.9797
1.06724e-008,0.9722
1.07091e-008,0.9674
1.07458e-008,0.9712
1.07824e-008,0.9861
1.08191e-008,1.0105
1.08558e-008,1.0406
1.08925e-008,1.0706
1.09292e-008,1.0942
1.09658e-008,1.1066
1.10025e-008,1.1069
1.10392e-008,1.0977
1.10758e-008,1.0844
1.11125e-008,1.0726
1.11492e-008,1.0664
1.11859e-008,1.0673
1.12226e-008,1.0741
1.12592e-008,1.0841
1.12959e-008,1.0942
1.13326e-008,1.1016
1.13693e-008,1.1043
1.14059e-008,1.1024
1.14426e-008,1.0972
1.14793e-008,1.0914
1.15159e-008,1.0879
1.15526e-008,1.0884
1.15893e-008,1.0930
1.16260e-008,1.1001
1.16627e-008,1.1072
1.16993e-008,1.1120
1.17360e-008,1.1133
1.17727e-008,1.1110
1.18093e-008,1.1063
1.18460e-008,1.1007
1.18827e-008,1.0959
1.19194e-008,1.0931
1.19561e-008,1.0929
1.19927e-008,1.0948
1.20294e-008,1.0977
1.20661e-008,1.1003
1.21027e-008,1.1010
1.21394e-008,1.0992
1.21761e-008,1.0953
1.22128e-008,1.0904
1.22495e-008,1.0861
1.22861e-008,1.0836
1.23228e-008,1.0835
1.23595e-008,1.0856
1.23961e-008,1.0891
1.24328e-008,1.0931
1.24695e-008,1.0966
1.25062e-008,1.0986
1.25429e-008,1.0986
1.25795e-008,1.0967
1.26162e-008,1.0935
1.26529e-008,1.0899
1.26895e-008,1.0872
1.27262e-008,1.0859
1.27629e-008,1.0863
1.27996e-008,1.0880
1.28363e-008,1.0904
1.28729e-008,1.0929
1.29096e-008,1.0948
1.29463e-008,1.0958
1.29829e-008,1.0956
1.30196e-008,1.0943
1.30563e-008,1.0925
1.30930e-008,1.0905
1.31297e-008,1.0890
1.31663e-008,1.0883
1.32030e-008,1.0886
1.32397e-008,1.0897
1.32763e-008,1.0910
1.33130e-008,1.0923
1.33497e-008,1.0931
1.33864e-008,1.0933
1.34231e-008,1.0928
1.34597e-008,1.0919
1.34964e-008,1.0908
1.35331e-008,1.0899
1.35697e-008,1.0894
1.36064e-008,1.0896
1.36431e-008,1.0904
1.36798e-008,1.0915
1.37165e-008,1.0924
1.37531e-008,1.0930
1.37898e-008,1.0931
1.38265e-008,1.0926
1.38631e-008,1.0918
1.38998e-008,1.0909
1.39365e-008,1.0902
1.39732e-008,1.0899
1.40099e-008,1.0902
1.40465e-008,1.0908
1.40832e-008,1.0917
1.41199e-008,1.0924
1.41565e-008,1.0927
1.41932e-008,1.0926
1.42299e-008,1.0921
1.42666e-008,1.0913
1.43033e-008,1.0906
1.43399e-008,1.0901
1.43766e-008,1.0900
1.44133e-008,1.0904
1.44499e-008,1.0911
1.44866e-008,1.0918
1.45233e-008,1.0924
1.45600e-008,1.0926
1.45967e-008,1.0924
1.46333e-008,1.0919
1.46700e-008,1.0912
1.47067e-008,1.0906
1.47433e-008,1.0902
1.47800e-008,1.0902
1.48167e-008,1.0905
1.48534e-008,1.0911
1.48901e-008,1.0917
1.49267e-008,1.0921
1.49634e-008,1.0923
1.50001e-008,1.0921
1.50368e-008,1.0917
1.50734e-008,1.0912
1.51101e-008,1.0908
1.51468e-008,1.0906
1.51834e-008,1.0906
1.52201e-008,1.0908
1.52568e-008,1.0911
1.52935e-008,1.0915
1.53301e-008,1.0918
1.53668e-008,1.0919
1.54035e-008,1.0918
1.54402e-008,1.0915
1.54769e-008,1.0912
1.55135e-008,1.0909
1.55502e-008,1.0908
1.55869e-008,1.0908
1.56236e-008,1.0910
1.56602e-008,1.0912
1.56969e-008,1.0914
1.57336e-008,1.0916
1.57703e-008,1.0916
1.58069e-008,1.0915
1.58436e-008,1.0914
1.58803e-008,1.0912
1.59169e-008,1.0910
1.59536e-008,1.0909
1.59903e-008,1.0910
1.60270e-008,1.0911
1.60636e-008,1.0912
1.61003e-008,1.0914
1.61370e-008,1.0914
1.61737e-008,1.0915
1.62104e-008,1.0914
1.62470e-008,1.0913
1.62837e-008,1.0912
1.63204e-008,1.0911
1.63571e-008,1.0910
1.63937e-008,1.0910
1.64304e-008,1.0911
1.64671e-008,1.0912
1.65037e-008,1.0913
1.65404e-008,1.0914
1.65771e-008,1.0914
1.66138e-008,1.0915
1.66504e-008,1.0917
1.66871e-008,1.0924
1.67238e-008,1.0932
1.67605e-008,1.0926
1.67972e-008,1.0868
1.68338e-008,1.0705
1.68705e-008,1.0387
1.69072e-008,0.9884
1.69439e-008,0.9186
1.69805e-008,0.8316
1.70172e-008,0.7339
1.70539e-008,0.6350
1.70905e-008,0.5453
1.71272e-008,0.4748
1.71639e-008,0.4304
1.72006e-008,0.4126
1.72372e-008,0.4160
1.72739e-008,0.4310
1.73106e-008,0.4466
1.73473e-008,0.4538
1.73840e-008,0.4473
1.74206e-008,0.4264
1.74573e-008,0.3944
1.74940e-008,0.3585
1.75307e-008,0.3269
1.75673e-008,0.3067
1.76040e-008,0.3016
1.76407e-008,0.3118
1.76773e-008,0.3354
1.77140e-008,0.3706
1.77507e-008,0.4165
1.77874e-008,0.4730
1.78240e-008,0.5394
1.78607e-008,0.6145
1.78974e-008,0.6961
1.79341e-008,0.7800
1.79708e-008,0.8587
1.80074e-008,0.9243
1.80441e-008,0.9702
1.80808e-008,0.9929
1.81175e-008,0.9945
1.81541e-008,0.9827
1.81908e-008,0.9675
1.82275e-008,0.9581
1.82641e-008,0.9606
1.83008e-008,0.9773
1.83375e-008,1.0061
1.83742e-008,1.0415
1.84108e-008,1.0755
1.84475e-008,1.0999
1.84842e-008,1.1096
1.85209e-008,1.1047
1.85576e-008,1.0901
1.85942e-008,1.0729
1.86309e-008,1.0587
1.86676e-008,1.0481
1.87043e-008,1.0360
1.87409e-008,1.0152
1.87776e-008,0.9791
1.88143e-008,0.9227
1.88509e-008,0.8436
1.88876e-008,0.7465
1.89243e-008,0.6416
1.89610e-008,0.5422
1.89976e-008,0.4627
1.90343e-008,0.4141
1.90710e-008,0.3988
1.91077e-008,0.4100
1.91444e-008,0.4352
1.91810e-008,0.4604
1.92177e-008,0.4738
1.92544e-008,0.4692
1.92911e-008,0.4458
1.93277e-008,0.4083
1.93644e-008,0.3656
1.94011e-008,0.3284
1.94377e-008,0.3052
1.94744e-008,0.3000
1.95111e-008,0.3118
1.95478e-008,0.3365
1.95844e-008,0.3701
1.96211e-008,0.4109
1.96578e-008,0.4596
1.96945e-008,0.5172
1.97312e-008,0.5846
1.97678e-008,0.6621
1.98045e-008,0.7465
1.98412e-008,0.8306
1.98779e-008,0.9055
1.99145e-008,0.9624
1.99512e-008,0.9953
1.99879e-008,1.0037
2.00245e-008,0.9938
2.00612e-008,0.9760
2.00979e-008,0.9606
2.01346e-008,0.9561
2.01712e-008,0.9667
2.02079e-008,0.9921
2.02446e-008,1.0274
2.02813e-008,1.0646
2.03179e-008,1.0944
2.03546e-008,1.1101
2.03913e-008,1.1100
2.04280e-008,1.0980
2.04647e-008,1.0809
2.05013e-008,1.0648
2.05380e-008,1.0517
2.05747e-008,1.0379
2.06114e-008,1.0169
2.06480e-008,0.9825
2.06847e-008,0.9294
2.07214e-008,0.8545
2.07580e-008,0.7609
2.07947e-008,0.6578
2.08314e-008,0.5577
2.08681e-008,0.4749
2.09047e-008,0.4211
2.09414e-008,0.4002
2.09781e-008,0.4069
2.10148e-008,0.4297
2.10515e-008,0.4550
2.10881e-008,0.4707
2.11248e-008,0.4696
2.11615e-008,0.4501
2.11982e-008,0.4154
2.12348e-008,0.3738
2.12715e-008,0.3356
2.13082e-008,0.3097
2.13448e-008,0.3009
2.13815e-008,0.3082
2.14182e-008,0.3259
2.14549e-008,0.3456
2.14915e-008,0.3597
2.15282e-008,0.3641
2.15649e-008,0.3585
2.16016e-008,0.3457
2.16383e-008,0.3306
2.16749e-008,0.3178
2.17116e-008,0.3112
2.17483e-008,0.3120
2.17850e-008,0.3191
2.18216e-008,0.3291
2.18583e-008,0.3379
2.18950e-008,0.3419
2.19316e-008,0.3395
2.19683e-008,0.3314
2.20050e-008,0.3206
2.20417e-008,0.3106
2.20783e-008,0.3045
