.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
9.4509e-009,1.1589
9.4895e-009,1.1502
9.5280e-009,1.1050
9.5666e-009,1.0178
9.6052e-009,0.9086
9.6437e-009,0.7874
9.6823e-009,0.6668
9.7209e-009,0.5612
9.7595e-009,0.4778
9.7981e-009,0.4191
9.8366e-009,0.3781
9.8752e-009,0.3584
9.9138e-009,0.3665
9.9524e-009,0.4029
9.9909e-009,0.4722
1.00295e-008,0.5721
1.00681e-008,0.6820
1.01066e-008,0.7854
1.01452e-008,0.8805
1.01838e-008,0.9626
1.02224e-008,1.0276
1.02610e-008,1.0739
1.02995e-008,1.1108
1.03381e-008,1.1426
1.03767e-008,1.1570
1.04152e-008,1.1555
1.04538e-008,1.1238
1.04924e-008,1.0486
1.05310e-008,0.9445
1.05695e-008,0.8267
1.06081e-008,0.7040
1.06467e-008,0.5924
1.06853e-008,0.5015
1.07239e-008,0.4351
1.07624e-008,0.3894
1.08010e-008,0.3614
1.08396e-008,0.3609
1.08781e-008,0.3880
1.09167e-008,0.4466
1.09553e-008,0.5380
1.09939e-008,0.6478
1.10324e-008,0.7534
1.10710e-008,0.8516
1.11096e-008,0.9383
1.11482e-008,1.0090
1.11868e-008,1.0611
1.12253e-008,1.0991
1.12639e-008,1.1347
1.13025e-008,1.1541
1.13410e-008,1.1583
1.13796e-008,1.1385
1.14182e-008,1.0768
1.14568e-008,0.9791
1.14953e-008,0.8651
1.15339e-008,0.7423
1.15725e-008,0.6257
1.16111e-008,0.5277
1.16497e-008,0.4533
1.16882e-008,0.4023
1.17268e-008,0.3673
1.17654e-008,0.3581
1.18039e-008,0.3762
1.18425e-008,0.4243
1.18811e-008,0.5059
1.19197e-008,0.6128
1.19583e-008,0.7208
1.19968e-008,0.8215
1.20354e-008,0.9124
1.20740e-008,0.9886
1.21126e-008,1.0467
1.21511e-008,1.0876
1.21897e-008,1.1249
1.22283e-008,1.1498
1.22668e-008,1.1588
1.23054e-008,1.1487
1.23440e-008,1.1012
1.23826e-008,1.0124
1.24212e-008,0.9026
1.24597e-008,0.7812
1.24983e-008,0.6610
1.25369e-008,0.5563
1.25755e-008,0.4741
1.26140e-008,0.4165
1.26526e-008,0.3759
1.26912e-008,0.3579
1.27297e-008,0.3675
1.27683e-008,0.4054
1.28069e-008,0.4765
1.28455e-008,0.5776
1.28841e-008,0.6874
1.29226e-008,0.7906
1.29612e-008,0.8851
1.29998e-008,0.9663
1.30383e-008,1.0304
1.30769e-008,1.0759
1.31155e-008,1.1136
1.31541e-008,1.1441
1.31926e-008,1.1576
1.32312e-008,1.1551
1.32698e-008,1.1213
1.33084e-008,1.0439
1.33470e-008,0.9388
1.33855e-008,0.8202
1.34241e-008,0.6978
1.34627e-008,0.5872
1.35012e-008,0.4974
1.35398e-008,0.4324
1.35784e-008,0.3878
1.36170e-008,0.3610
1.36555e-008,0.3618
1.36941e-008,0.3903
1.37327e-008,0.4506
1.37713e-008,0.5434
1.38099e-008,0.6534
1.38484e-008,0.7586
1.38870e-008,0.8563
1.39256e-008,0.9423
1.39641e-008,1.0121
1.40027e-008,1.0633
1.40413e-008,1.1017
1.40799e-008,1.1369
1.41185e-008,1.1549
1.41570e-008,1.1582
1.41956e-008,1.1366
1.42342e-008,1.0726
1.42728e-008,0.9737
1.43113e-008,0.8588
1.43499e-008,0.7359
1.43885e-008,0.6202
1.44270e-008,0.5234
1.44656e-008,0.4503
1.45042e-008,0.4004
1.45428e-008,0.3665
1.45814e-008,0.3586
1.46199e-008,0.3781
1.46585e-008,0.4278
1.46971e-008,0.5110
1.47357e-008,0.6185
1.47742e-008,0.7261
1.48128e-008,0.8264
1.48514e-008,0.9167
1.48899e-008,0.9920
1.49285e-008,1.0492
1.49671e-008,1.0898
1.50057e-008,1.1275
1.50443e-008,1.1509
1.50828e-008,1.1590
1.51214e-008,1.1475
1.51600e-008,1.0977
1.51985e-008,1.0073
1.52371e-008,0.8966
1.52757e-008,0.7747
1.53143e-008,0.6551
1.53528e-008,0.5515
1.53914e-008,0.4707
1.54300e-008,0.4143
1.54686e-008,0.3748
1.55071e-008,0.3580
1.55457e-008,0.3689
1.55843e-008,0.4084
1.56229e-008,0.4812
1.56615e-008,0.5834
1.57000e-008,0.6929
1.57386e-008,0.7956
1.57772e-008,0.8896
1.58158e-008,0.9700
1.58543e-008,1.0332
1.58929e-008,1.0777
1.59315e-008,1.1147
1.59701e-008,1.1448
1.60086e-008,1.1577
1.60472e-008,1.1540
1.60858e-008,1.1181
1.61243e-008,1.0388
1.61629e-008,0.9330
1.62015e-008,0.8140
1.62401e-008,0.6918
1.62786e-008,0.5820
1.63172e-008,0.4935
1.63558e-008,0.4297
1.63944e-008,0.3855
1.64329e-008,0.3601
1.64715e-008,0.3624
1.65101e-008,0.3924
1.65487e-008,0.4545
1.65873e-008,0.5488
1.66258e-008,0.6589
1.66644e-008,0.7638
1.67030e-008,0.8610
1.67416e-008,0.9463
1.67801e-008,1.0152
1.68187e-008,1.0654
1.68573e-008,1.1029
1.68959e-008,1.1375
1.69344e-008,1.1552
1.69730e-008,1.1577
1.70116e-008,1.1342
1.70501e-008,1.0680
1.70887e-008,0.9680
1.71273e-008,0.8527
1.71659e-008,0.7298
1.72044e-008,0.6147
1.72430e-008,0.5189
1.72816e-008,0.4472
1.73202e-008,0.3979
1.73588e-008,0.3650
1.73973e-008,0.3587
1.74359e-008,0.3797
1.74745e-008,0.4311
1.75131e-008,0.5160
1.75516e-008,0.6242
1.75902e-008,0.7314
1.76288e-008,0.8314
1.76674e-008,0.9210
1.77059e-008,0.9954
1.77445e-008,1.0516
1.77831e-008,1.0913
1.78216e-008,1.1283
1.78602e-008,1.1514
1.78988e-008,1.1589
1.79374e-008,1.1459
1.79759e-008,1.0938
1.80145e-008,1.0018
1.80531e-008,0.8905
1.80917e-008,0.7685
1.81302e-008,0.6493
1.81688e-008,0.5467
1.82074e-008,0.4671
1.82460e-008,0.4117
1.82846e-008,0.3728
1.83231e-008,0.3577
1.83617e-008,0.3700
1.84003e-008,0.4111
1.84389e-008,0.4857
1.84774e-008,0.5890
1.85160e-008,0.6983
1.85546e-008,0.8007
1.85932e-008,0.8941
1.86317e-008,0.9737
1.86703e-008,1.0359
1.87089e-008,1.0797
1.87474e-008,1.1174
1.87860e-008,1.1462
1.88246e-008,1.1582
1.88632e-008,1.1534
1.89017e-008,1.1153
1.89403e-008,1.0339
1.89789e-008,0.9272
1.90175e-008,0.8076
1.90560e-008,0.6857
1.90946e-008,0.5769
1.91332e-008,0.4896
1.91718e-008,0.4271
1.92104e-008,0.3841
1.92489e-008,0.3598
1.92875e-008,0.3635
1.93261e-008,0.3949
1.93647e-008,0.4587
1.94032e-008,0.5544
1.94418e-008,0.6645
1.94804e-008,0.7689
1.95190e-008,0.8657
1.95575e-008,0.9502
1.95961e-008,1.0183
1.96347e-008,1.0675
1.96732e-008,1.1056
1.97118e-008,1.1395
1.97504e-008,1.1560
1.97890e-008,1.1575
1.98275e-008,1.1322
1.98661e-008,1.0637
1.99047e-008,0.9626
1.99433e-008,0.8464
1.99819e-008,0.7234
2.00204e-008,0.6093
2.00590e-008,0.5147
2.00976e-008,0.4443
2.01362e-008,0.3962
2.01747e-008,0.3644
2.02133e-008,0.3593
2.02519e-008,0.3817
2.02905e-008,0.4348
2.03290e-008,0.5212
2.03676e-008,0.6299
2.04062e-008,0.7366
