.HEADER
..NAMES
Time,V U3.H8
.DATA
9.4895e-009,0.3744
9.5280e-009,0.3628
9.5666e-009,0.3844
9.6052e-009,0.4460
9.6437e-009,0.5481
9.6823e-009,0.6724
9.7209e-009,0.7875
9.7595e-009,0.8780
9.7981e-009,0.9486
9.8366e-009,1.0053
9.8752e-009,1.0511
9.9138e-009,1.0865
9.9524e-009,1.1109
9.9909e-009,1.1284
1.00295e-008,1.1425
1.00681e-008,1.1527
1.01066e-008,1.1602
1.01452e-008,1.1666
1.01838e-008,1.1701
1.02224e-008,1.1700
1.02610e-008,1.1685
1.02995e-008,1.1678
1.03381e-008,1.1692
1.03767e-008,1.1725
1.04152e-008,1.1775
1.04538e-008,1.1813
1.04924e-008,1.1753
1.05310e-008,1.1433
1.05695e-008,1.0696
1.06081e-008,0.9615
1.06467e-008,0.8442
1.06853e-008,0.7331
1.07239e-008,0.6321
1.07624e-008,0.5460
1.08010e-008,0.4781
1.08396e-008,0.4296
1.08781e-008,0.3967
1.09167e-008,0.3718
1.09553e-008,0.3524
1.09939e-008,0.3398
1.10324e-008,0.3311
1.10710e-008,0.3236
1.11096e-008,0.3191
1.11482e-008,0.3188
1.11868e-008,0.3213
1.12253e-008,0.3240
1.12639e-008,0.3250
1.13025e-008,0.3252
1.13410e-008,0.3272
1.13796e-008,0.3349
1.14182e-008,0.3576
1.14568e-008,0.4097
1.14953e-008,0.4979
1.15339e-008,0.6137
1.15725e-008,0.7304
1.16111e-008,0.8257
1.16497e-008,0.8990
1.16882e-008,0.9608
1.17268e-008,1.0140
1.17654e-008,1.0574
1.18039e-008,1.1018
1.18425e-008,1.1418
1.18811e-008,1.1650
1.19197e-008,1.1572
1.19583e-008,1.1096
1.19968e-008,1.0153
1.20354e-008,0.8958
1.20740e-008,0.7768
1.21126e-008,0.6659
1.21511e-008,0.5727
1.21897e-008,0.5003
1.22283e-008,0.4447
1.22668e-008,0.4060
1.23054e-008,0.3799
1.23440e-008,0.3585
1.23826e-008,0.3426
1.24212e-008,0.3325
