.HEADER
..NAMES
Time,V U4.F3&G3
.DATA
0.0e+000,1.1766
3.86e-011,1.1766
7.72e-011,1.1766
1.157e-010,1.1766
1.543e-010,1.1766
1.929e-010,1.1766
2.314e-010,1.1766
2.700e-010,1.1766
3.086e-010,1.1766
3.472e-010,1.1766
3.857e-010,1.1766
4.243e-010,1.1766
4.629e-010,1.1766
5.015e-010,1.1766
5.401e-010,1.1766
5.786e-010,1.1766
6.172e-010,1.1766
6.558e-010,1.1766
6.944e-010,1.1766
7.329e-010,1.1766
7.715e-010,1.1766
8.101e-010,1.1766
8.486e-010,1.1766
8.872e-010,1.1766
9.258e-010,1.1766
9.644e-010,1.1766
1.0029e-009,1.1766
1.0415e-009,1.1766
1.0801e-009,1.1770
1.1187e-009,1.1788
1.1572e-009,1.1813
1.1958e-009,1.1783
1.2344e-009,1.1567
1.2730e-009,1.1024
1.3115e-009,1.0141
1.3501e-009,0.9050
1.3887e-009,0.7867
1.4273e-009,0.6676
1.4658e-009,0.5610
1.5044e-009,0.4803
1.5430e-009,0.4260
1.5816e-009,0.3873
1.6202e-009,0.3656
1.6587e-009,0.3706
1.6973e-009,0.4089
1.7359e-009,0.4823
1.7745e-009,0.5869
1.8130e-009,0.7060
1.8516e-009,0.8184
1.8902e-009,0.9152
1.9288e-009,0.9939
1.9673e-009,1.0507
2.0059e-009,1.0862
2.0445e-009,1.1157
2.0830e-009,1.1449
2.1216e-009,1.1629
2.1602e-009,1.1595
2.1988e-009,1.1216
2.2374e-009,1.0404
2.2759e-009,0.9251
2.3145e-009,0.7977
2.3531e-009,0.6735
2.3916e-009,0.5616
2.4302e-009,0.4750
2.4688e-009,0.4195
2.5074e-009,0.3848
2.5459e-009,0.3642
2.5845e-009,0.3636
2.6231e-009,0.3908
2.6617e-009,0.4518
2.7003e-009,0.5476
2.7388e-009,0.6656
2.7774e-009,0.7827
2.8160e-009,0.8861
2.8545e-009,0.9730
2.8931e-009,1.0385
2.9317e-009,1.0793
2.9703e-009,1.1082
3.0089e-009,1.1375
3.0474e-009,1.1593
3.0860e-009,1.1630
3.1246e-009,1.1373
3.1631e-009,1.0705
3.2017e-009,0.9643
3.2403e-009,0.8385
3.2789e-009,0.7123
3.3175e-009,0.5952
3.3560e-009,0.4992
3.3946e-009,0.4340
3.4332e-009,0.3942
3.4717e-009,0.3694
3.5103e-009,0.3615
3.5489e-009,0.3792
3.5875e-009,0.4291
3.6260e-009,0.5144
3.6646e-009,0.6275
3.7032e-009,0.7467
3.7418e-009,0.8549
3.7803e-009,0.9474
3.8189e-009,1.0203
3.8575e-009,1.0687
3.8961e-009,1.0993
3.9346e-009,1.1286
