.HEADER
..NAMES
Time,V U2.H7
.DATA
9.4895e-009,1.1765
9.5280e-009,1.1761
9.5666e-009,1.1763
9.6052e-009,1.1765
9.6437e-009,1.1765
9.6823e-009,1.1766
9.7209e-009,1.1768
9.7595e-009,1.1768
9.7981e-009,1.1768
9.8366e-009,1.1769
9.8752e-009,1.1769
9.9138e-009,1.1768
9.9524e-009,1.1768
9.9909e-009,1.1767
1.00295e-008,1.1767
1.00681e-008,1.1780
1.01066e-008,1.1816
1.01452e-008,1.1806
1.01838e-008,1.1636
1.02224e-008,1.1125
1.02610e-008,1.0229
1.02995e-008,0.9158
1.03381e-008,0.8022
1.03767e-008,0.6874
1.04152e-008,0.5849
1.04538e-008,0.5037
1.04924e-008,0.4456
1.05310e-008,0.4022
1.05695e-008,0.3707
1.06081e-008,0.3694
1.06467e-008,0.3933
1.06853e-008,0.4495
1.07239e-008,0.5389
1.07624e-008,0.6496
1.08010e-008,0.7542
1.08396e-008,0.8510
1.08781e-008,0.9340
1.09167e-008,0.9996
1.09553e-008,1.0474
1.09939e-008,1.0876
1.10324e-008,1.1312
1.10710e-008,1.1482
1.11096e-008,1.1529
1.11482e-008,1.1323
1.11868e-008,1.0683
1.12253e-008,0.9696
1.12639e-008,0.8583
1.13025e-008,0.7382
1.13410e-008,0.6247
1.13796e-008,0.5313
1.14182e-008,0.4630
1.14568e-008,0.4146
1.14953e-008,0.3760
1.15339e-008,0.3667
1.15725e-008,0.3809
1.16111e-008,0.4234
1.16497e-008,0.5024
1.16882e-008,0.6104
1.17268e-008,0.7177
1.17654e-008,0.8164
1.18039e-008,0.9052
1.18425e-008,0.9776
1.18811e-008,1.0318
1.19197e-008,1.0708
1.19583e-008,1.0990
1.19968e-008,1.1168
1.20354e-008,1.1292
1.20740e-008,1.1403
1.21126e-008,1.1498
1.21511e-008,1.1588
1.21897e-008,1.1677
1.22283e-008,1.1733
1.22668e-008,1.1743
1.23054e-008,1.1743
1.23440e-008,1.1744
1.23826e-008,1.1741
1.24212e-008,1.1766
1.24597e-008,1.1802
1.24983e-008,1.1770
1.25369e-008,1.1543
1.25755e-008,1.0948
1.26140e-008,0.9999
1.26526e-008,0.8915
1.26912e-008,0.7768
1.27297e-008,0.6637
1.27683e-008,0.5648
1.28069e-008,0.4884
1.28455e-008,0.4349
1.28841e-008,0.3934
1.29226e-008,0.3679
1.29612e-008,0.3721
1.29998e-008,0.4023
1.30383e-008,0.4654
1.30769e-008,0.5613
1.31155e-008,0.6725
1.31541e-008,0.7752
1.31926e-008,0.8698
1.32312e-008,0.9493
1.32698e-008,1.0110
1.33084e-008,1.0556
1.33470e-008,1.0971
1.33855e-008,1.1368
1.34241e-008,1.1502
1.34627e-008,1.1515
1.35012e-008,1.1227
1.35398e-008,1.0496
1.35784e-008,0.9471
1.36170e-008,0.8336
1.36555e-008,0.7133
1.36941e-008,0.6033
1.37327e-008,0.5149
1.37713e-008,0.4517
1.38099e-008,0.4082
1.38484e-008,0.3798
1.38870e-008,0.3646
1.39256e-008,0.3540
1.39641e-008,0.3451
1.40027e-008,0.3380
1.40413e-008,0.3296
1.40799e-008,0.3208
1.41185e-008,0.3158
1.41570e-008,0.3140
1.41956e-008,0.3139
1.42342e-008,0.3160
1.42728e-008,0.3198
1.43113e-008,0.3262
1.43499e-008,0.3405
1.43885e-008,0.3746
1.44270e-008,0.4401
1.44656e-008,0.5360
1.45042e-008,0.6523
1.45428e-008,0.7601
1.45814e-008,0.8528
1.46199e-008,0.9325
1.46585e-008,0.9964
1.46971e-008,1.0427
1.47357e-008,1.0776
1.47742e-008,1.1215
1.48128e-008,1.1454
1.48514e-008,1.1523
1.48899e-008,1.1388
1.49285e-008,1.0866
1.49671e-008,0.9947
1.50057e-008,0.8853
1.50443e-008,0.7659
1.50828e-008,0.6490
1.51214e-008,0.5499
1.51600e-008,0.4761
1.51985e-008,0.4250
1.52371e-008,0.3839
1.52757e-008,0.3660
1.53143e-008,0.3756
1.53528e-008,0.4093
1.53914e-008,0.4780
1.54300e-008,0.5805
1.54686e-008,0.6910
1.55071e-008,0.7912
1.55457e-008,0.8833
1.55843e-008,0.9603
1.56229e-008,1.0194
1.56615e-008,1.0624
1.57000e-008,1.1066
1.57386e-008,1.1410
1.57772e-008,1.1519
1.58158e-008,1.1489
1.58543e-008,1.1109
1.58929e-008,1.0292
1.59315e-008,0.9245
1.59701e-008,0.8091
1.60086e-008,0.6892
1.60472e-008,0.5828
1.60858e-008,0.4999
1.61243e-008,0.4416
1.61629e-008,0.4012
1.62015e-008,0.3758
1.62401e-008,0.3623
1.62786e-008,0.3519
1.63172e-008,0.3435
1.63558e-008,0.3363
1.63944e-008,0.3275
1.64329e-008,0.3193
1.64715e-008,0.3154
1.65101e-008,0.3139
1.65487e-008,0.3141
1.65873e-008,0.3166
1.66258e-008,0.3208
1.66644e-008,0.3281
1.67030e-008,0.3455
1.67416e-008,0.3855
1.67801e-008,0.4578
1.68187e-008,0.5594
1.68573e-008,0.6766
1.68959e-008,0.7806
1.69344e-008,0.8708
1.69730e-008,0.9473
1.70116e-008,1.0075
1.70501e-008,1.0504
1.70887e-008,1.0856
1.71273e-008,1.1292
1.71659e-008,1.1475
1.72044e-008,1.1518
1.72430e-008,1.1315
1.72816e-008,1.0700
1.73202e-008,0.9726
1.73588e-008,0.8611
1.73973e-008,0.7406
1.74359e-008,0.6264
1.74745e-008,0.5323
1.75131e-008,0.4638
1.75516e-008,0.4159
1.75902e-008,0.3773
1.76288e-008,0.3664
1.76674e-008,0.3802
1.77059e-008,0.4207
1.77445e-008,0.4971
1.77831e-008,0.6042
1.78216e-008,0.7126
1.78602e-008,0.8114
1.78988e-008,0.9009
1.79374e-008,0.9743
1.79759e-008,1.0295
1.80145e-008,1.0707
1.80531e-008,1.1162
1.80917e-008,1.1442
1.81302e-008,1.1530
1.81688e-008,1.1444
1.82074e-008,1.0971
1.82460e-008,1.0083
1.82846e-008,0.9013
1.83231e-008,0.7838
1.83617e-008,0.6654
1.84003e-008,0.5633
1.84389e-008,0.4858
1.84774e-008,0.4316
1.85160e-008,0.3887
1.85546e-008,0.3666
1.85932e-008,0.3733
1.86317e-008,0.4036
1.86703e-008,0.4687
1.87089e-008,0.5684
1.87474e-008,0.6794
1.87860e-008,0.7805
1.88246e-008,0.8741
1.88632e-008,0.9528
1.89017e-008,1.0137
1.89403e-008,1.0580
1.89789e-008,1.1013
1.90175e-008,1.1388
1.90560e-008,1.1510
1.90946e-008,1.1505
1.91332e-008,1.1172
1.91718e-008,1.0397
1.92104e-008,0.9363
1.92489e-008,0.8220
1.92875e-008,0.7017
1.93261e-008,0.5932
1.93647e-008,0.5076
1.94032e-008,0.4468
1.94418e-008,0.4048
1.94804e-008,0.3778
1.95190e-008,0.3635
1.95575e-008,0.3529
1.95961e-008,0.3443
1.96347e-008,0.3372
1.96732e-008,0.3285
1.97118e-008,0.3200
1.97504e-008,0.3156
1.97890e-008,0.3139
1.98275e-008,0.3139
1.98661e-008,0.3163
1.99047e-008,0.3203
1.99433e-008,0.3271
1.99819e-008,0.3428
2.00204e-008,0.3798
2.00590e-008,0.4486
2.00976e-008,0.5474
2.01362e-008,0.6643
2.01747e-008,0.7703
2.02133e-008,0.8617
2.02519e-008,0.9399
2.02905e-008,1.0020
2.03290e-008,1.0465
2.03676e-008,1.0779
2.04062e-008,1.1007
2.04447e-008,1.1169
2.04833e-008,1.1289
2.05219e-008,1.1394
2.05605e-008,1.1505
2.05990e-008,1.1610
2.06376e-008,1.1692
2.06762e-008,1.1731
2.07148e-008,1.1730
2.07533e-008,1.1727
2.07919e-008,1.1728
2.08305e-008,1.1730
2.08691e-008,1.1763
2.09077e-008,1.1799
2.09462e-008,1.1752
2.09848e-008,1.1483
2.10234e-008,1.0823
2.10620e-008,0.9839
2.11005e-008,0.8746
2.11391e-008,0.7591
2.11777e-008,0.6471
2.12163e-008,0.5512
2.12548e-008,0.4787
2.12934e-008,0.4281
2.13320e-008,0.3870
2.13705e-008,0.3669
2.14091e-008,0.3747
2.14477e-008,0.4097
2.14863e-008,0.4781
2.15248e-008,0.5782
2.15634e-008,0.6888
2.16020e-008,0.7904
2.16406e-008,0.8831
2.16791e-008,0.9600
2.17177e-008,1.0189
2.17563e-008,1.0614
2.17949e-008,1.1034
2.18335e-008,1.1397
2.18720e-008,1.1511
2.19106e-008,1.1493
2.19492e-008,1.1142
2.19878e-008,1.0350
2.20263e-008,0.9304
2.20649e-008,0.8152
2.21035e-008,0.6954
2.21420e-008,0.5881
2.21806e-008,0.5036
2.22192e-008,0.4439
2.22578e-008,0.3985
2.22963e-008,0.3684
2.23349e-008,0.3694
2.23735e-008,0.3924
2.24121e-008,0.4478
2.24506e-008,0.5395
2.24892e-008,0.6510
2.25278e-008,0.7542
2.25664e-008,0.8504
2.26050e-008,0.9336
2.26435e-008,0.9994
2.26821e-008,1.0474
2.27207e-008,1.0881
2.27593e-008,1.1317
2.27978e-008,1.1485
2.28364e-008,1.1528
2.28750e-008,1.1302
2.29136e-008,1.0639
2.29521e-008,0.9647
2.29907e-008,0.8534
2.30293e-008,0.7330
2.30678e-008,0.6200
2.31064e-008,0.5277
2.31450e-008,0.4607
2.31836e-008,0.4145
2.32221e-008,0.3834
2.32607e-008,0.3665
2.32993e-008,0.3557
2.33379e-008,0.3464
2.33764e-008,0.3391
2.34150e-008,0.3310
2.34536e-008,0.3220
2.34922e-008,0.3164
2.35308e-008,0.3142
2.35693e-008,0.3137
2.36079e-008,0.3154
2.36465e-008,0.3191
2.36851e-008,0.3248
2.37236e-008,0.3371
2.37622e-008,0.3671
2.38008e-008,0.4273
2.38394e-008,0.5187
2.38779e-008,0.6332
2.39165e-008,0.7439
2.39551e-008,0.8386
2.39936e-008,0.9206
2.40322e-008,0.9872
2.40708e-008,1.0362
2.41094e-008,1.0716
2.41479e-008,1.1133
2.41865e-008,1.1433
2.42251e-008,1.1518
2.42637e-008,1.1431
2.43023e-008,1.0980
2.43408e-008,1.0114
2.43794e-008,0.9038
2.44180e-008,0.7857
2.44566e-008,0.6670
2.44951e-008,0.5645
2.45337e-008,0.4864
2.45723e-008,0.4322
2.46109e-008,0.3891
2.46494e-008,0.3662
2.46880e-008,0.3726
2.47266e-008,0.4015
2.47651e-008,0.4642
2.48037e-008,0.5623
2.48423e-008,0.6739
2.48809e-008,0.7753
2.49194e-008,0.8693
2.49580e-008,0.9490
2.49966e-008,1.0111
2.50352e-008,1.0559
2.50737e-008,1.0885
2.51123e-008,1.1104
2.51509e-008,1.1241
2.51895e-008,1.1357
2.52281e-008,1.1459
2.52666e-008,1.1548
2.53052e-008,1.1639
2.53438e-008,1.1716
2.53824e-008,1.1742
2.54209e-008,1.1742
2.54595e-008,1.1743
2.54981e-008,1.1742
2.55367e-008,1.1734
2.55752e-008,1.1729
2.56138e-008,1.1732
2.56524e-008,1.1734
2.56909e-008,1.1739
2.57295e-008,1.1748
2.57681e-008,1.1756
2.58067e-008,1.1763
2.58452e-008,1.1769
2.58838e-008,1.1767
2.59224e-008,1.1762
2.59610e-008,1.1761
2.59995e-008,1.1768
2.60381e-008,1.1800
2.60767e-008,1.1818
2.61153e-008,1.1728
2.61539e-008,1.1368
2.61924e-008,1.0603
2.62310e-008,0.9571
2.62696e-008,0.8459
2.63082e-008,0.7299
2.63467e-008,0.6214
2.63853e-008,0.5315
2.64239e-008,0.4649
2.64625e-008,0.4189
2.65010e-008,0.3877
2.65396e-008,0.3681
2.65782e-008,0.3565
2.66167e-008,0.3483
2.66553e-008,0.3403
2.66939e-008,0.3309
2.67325e-008,0.3220
2.67710e-008,0.3171
2.68096e-008,0.3154
2.68482e-008,0.3150
2.68868e-008,0.3164
2.69254e-008,0.3194
2.69639e-008,0.3223
2.70025e-008,0.3239
2.70411e-008,0.3243
2.70797e-008,0.3244
2.71182e-008,0.3239
2.71568e-008,0.3230
2.71954e-008,0.3220
2.72340e-008,0.3212
2.72725e-008,0.3209
2.73111e-008,0.3214
2.73497e-008,0.3217
2.73882e-008,0.3218
2.74268e-008,0.3234
2.74654e-008,0.3310
2.75040e-008,0.3529
2.75425e-008,0.4028
2.75811e-008,0.4866
2.76197e-008,0.5979
2.76583e-008,0.7134
2.76968e-008,0.8125
2.77354e-008,0.8989
2.77740e-008,0.9699
2.78126e-008,1.0236
2.78512e-008,1.0618
2.78897e-008,1.1015
2.79283e-008,1.1382
2.79669e-008,1.1500
2.80055e-008,1.1484
2.80440e-008,1.1147
2.80826e-008,1.0379
2.81212e-008,0.9340
2.81598e-008,0.8184
2.81983e-008,0.6977
2.82369e-008,0.5896
2.82755e-008,0.5046
2.83140e-008,0.4447
2.83526e-008,0.4002
2.83912e-008,0.3690
2.84298e-008,0.3692
2.84683e-008,0.3908
2.85069e-008,0.4441
2.85455e-008,0.5336
2.85841e-008,0.6451
2.86226e-008,0.7491
2.86612e-008,0.8455
2.86998e-008,0.9294
2.87384e-008,0.9964
2.87770e-008,1.0454
2.88155e-008,1.0809
2.88541e-008,1.1056
2.88927e-008,1.1209
2.89313e-008,1.1327
2.89698e-008,1.1433
2.90084e-008,1.1525
2.90470e-008,1.1615
2.90855e-008,1.1699
2.91241e-008,1.1740
2.91627e-008,1.1742
2.92013e-008,1.1743
2.92398e-008,1.1743
2.92784e-008,1.1743
2.93170e-008,1.1780
2.93556e-008,1.1803
2.93941e-008,1.1728
2.94327e-008,1.1405
2.94713e-008,1.0686
2.95099e-008,0.9673
2.95485e-008,0.8570
2.95870e-008,0.7414
2.96256e-008,0.6315
2.96642e-008,0.5388
2.97028e-008,0.4698
2.97413e-008,0.4224
2.97799e-008,0.3900
2.98185e-008,0.3694
2.98570e-008,0.3575
2.98956e-008,0.3491
2.99342e-008,0.3412
2.99728e-008,0.3319
3.00113e-008,0.3228
3.00499e-008,0.3175
3.00885e-008,0.3155
3.01271e-008,0.3150
