.HEADER
..NAMES
Time,V U5.J3
.DATA
0.0e+000,0.3291
3.67e-011,0.3291
7.33e-011,0.3291
1.100e-010,0.3291
1.467e-010,0.3291
1.834e-010,0.3291
2.201e-010,0.3291
2.567e-010,0.3291
2.934e-010,0.3291
3.301e-010,0.3291
3.667e-010,0.3291
4.034e-010,0.3291
4.401e-010,0.3291
4.768e-010,0.3291
5.135e-010,0.3293
5.501e-010,0.3308
5.868e-010,0.3369
6.235e-010,0.3548
6.601e-010,0.3946
6.968e-010,0.4631
7.335e-010,0.5585
7.702e-010,0.6662
8.068e-010,0.7656
8.435e-010,0.8416
8.802e-010,0.8897
9.169e-010,0.9153
9.536e-010,0.9290
9.902e-010,0.9394
1.0269e-009,0.9505
1.0636e-009,0.9628
1.1003e-009,0.9749
1.1369e-009,0.9844
1.1736e-009,0.9897
1.2103e-009,0.9913
1.2469e-009,0.9911
1.2836e-009,0.9911
1.3203e-009,0.9925
1.3570e-009,0.9955
1.3936e-009,0.9996
1.4303e-009,1.0040
1.4670e-009,1.0087
1.5037e-009,1.0151
1.5403e-009,1.0233
1.5770e-009,1.0281
1.6137e-009,1.0164
1.6504e-009,0.9717
1.6871e-009,0.8887
1.7237e-009,0.7801
1.7604e-009,0.6684
1.7971e-009,0.5754
1.8338e-009,0.5132
1.8704e-009,0.4803
1.9071e-009,0.4669
1.9438e-009,0.4627
1.9805e-009,0.4604
2.0171e-009,0.4557
2.0538e-009,0.4487
2.0905e-009,0.4421
2.1272e-009,0.4383
2.1638e-009,0.4374
2.2005e-009,0.4380
2.2372e-009,0.4383
2.2738e-009,0.4371
2.3105e-009,0.4344
2.3472e-009,0.4310
2.3839e-009,0.4281
2.4205e-009,0.4258
2.4572e-009,0.4223
2.4939e-009,0.4151
2.5306e-009,0.4040
2.5672e-009,0.3915
2.6039e-009,0.3809
2.6406e-009,0.3731
2.6773e-009,0.3665
2.7139e-009,0.3583
2.7506e-009,0.3481
2.7873e-009,0.3378
2.8240e-009,0.3303
2.8606e-009,0.3270
2.8973e-009,0.3273
2.9340e-009,0.3294
2.9707e-009,0.3313
3.0073e-009,0.3313
3.0440e-009,0.3291
3.0807e-009,0.3253
3.1174e-009,0.3217
3.1540e-009,0.3199
3.1907e-009,0.3204
3.2274e-009,0.3223
3.2641e-009,0.3243
3.3007e-009,0.3252
3.3374e-009,0.3245
3.3741e-009,0.3230
3.4108e-009,0.3222
3.4475e-009,0.3233
3.4841e-009,0.3263
3.5208e-009,0.3298
3.5575e-009,0.3323
3.5942e-009,0.3332
3.6308e-009,0.3329
3.6675e-009,0.3320
3.7042e-009,0.3310
3.7408e-009,0.3297
3.7775e-009,0.3284
3.8142e-009,0.3272
3.8509e-009,0.3265
3.8875e-009,0.3265
3.9242e-009,0.3271
3.9609e-009,0.3279
3.9976e-009,0.3286
4.0342e-009,0.3288
4.0709e-009,0.3285
4.1076e-009,0.3277
4.1443e-009,0.3268
4.1809e-009,0.3264
4.2176e-009,0.3267
4.2543e-009,0.3276
4.2910e-009,0.3289
4.3276e-009,0.3299
4.3643e-009,0.3301
4.4010e-009,0.3295
4.4377e-009,0.3286
4.4743e-009,0.3280
4.5110e-009,0.3281
4.5477e-009,0.3287
4.5844e-009,0.3294
4.6211e-009,0.3298
4.6577e-009,0.3298
4.6944e-009,0.3296
4.7311e-009,0.3292
4.7678e-009,0.3289
4.8044e-009,0.3287
4.8411e-009,0.3287
4.8778e-009,0.3289
4.9145e-009,0.3291
4.9511e-009,0.3292
4.9878e-009,0.3293
5.0245e-009,0.3293
5.0612e-009,0.3292
5.0978e-009,0.3291
5.1345e-009,0.3290
5.1712e-009,0.3289
5.2079e-009,0.3287
5.2445e-009,0.3287
5.2812e-009,0.3287
5.3179e-009,0.3289
5.3546e-009,0.3291
5.3912e-009,0.3292
5.4279e-009,0.3291
5.4646e-009,0.3289
5.5013e-009,0.3287
5.5379e-009,0.3287
5.5746e-009,0.3288
5.6113e-009,0.3291
5.6480e-009,0.3292
5.6846e-009,0.3293
5.7213e-009,0.3292
5.7580e-009,0.3290
5.7947e-009,0.3289
5.8313e-009,0.3288
5.8680e-009,0.3288
5.9047e-009,0.3289
5.9414e-009,0.3290
5.9780e-009,0.3291
6.0147e-009,0.3291
6.0514e-009,0.3290
6.0881e-009,0.3289
6.1247e-009,0.3289
6.1614e-009,0.3289
6.1981e-009,0.3289
6.2348e-009,0.3290
6.2714e-009,0.3290
6.3081e-009,0.3290
6.3448e-009,0.3290
6.3815e-009,0.3290
6.4181e-009,0.3290
6.4548e-009,0.3290
6.4915e-009,0.3289
6.5282e-009,0.3289
6.5648e-009,0.3289
6.6015e-009,0.3289
6.6382e-009,0.3290
6.6749e-009,0.3290
6.7115e-009,0.3290
6.7482e-009,0.3290
6.7849e-009,0.3290
6.8215e-009,0.3290
6.8582e-009,0.3289
6.8949e-009,0.3289
6.9316e-009,0.3290
6.9682e-009,0.3290
7.0049e-009,0.3290
7.0416e-009,0.3291
7.0783e-009,0.3292
7.1149e-009,0.3306
7.1516e-009,0.3364
7.1883e-009,0.3538
7.2250e-009,0.3927
7.2616e-009,0.4602
7.2983e-009,0.5549
7.3350e-009,0.6625
7.3717e-009,0.7624
7.4083e-009,0.8393
7.4450e-009,0.8883
7.4817e-009,0.9145
7.5184e-009,0.9284
7.5550e-009,0.9389
7.5917e-009,0.9500
7.6284e-009,0.9623
7.6651e-009,0.9745
7.7018e-009,0.9840
7.7384e-009,0.9895
7.7751e-009,0.9912
7.8118e-009,0.9910
7.8484e-009,0.9910
7.8851e-009,0.9923
7.9218e-009,0.9953
7.9585e-009,0.9993
7.9952e-009,1.0037
8.0318e-009,1.0084
8.0685e-009,1.0147
8.1052e-009,1.0230
8.1418e-009,1.0280
8.1785e-009,1.0170
8.2152e-009,0.9735
8.2519e-009,0.8916
8.2886e-009,0.7835
8.3252e-009,0.6715
8.3619e-009,0.5776
8.3986e-009,0.5145
8.4352e-009,0.4809
8.4719e-009,0.4670
8.5086e-009,0.4627
8.5453e-009,0.4604
8.5820e-009,0.4558
8.6186e-009,0.4489
8.6553e-009,0.4422
8.6920e-009,0.4382
8.7286e-009,0.4373
8.7653e-009,0.4378
8.8020e-009,0.4382
8.8387e-009,0.4371
8.8754e-009,0.4344
8.9120e-009,0.4310
8.9487e-009,0.4281
8.9854e-009,0.4258
9.0220e-009,0.4224
9.0587e-009,0.4153
9.0954e-009,0.4043
9.1321e-009,0.3918
9.1688e-009,0.3811
9.2054e-009,0.3732
9.2421e-009,0.3666
9.2788e-009,0.3585
9.3154e-009,0.3483
9.3521e-009,0.3380
9.3888e-009,0.3304
9.4255e-009,0.3269
9.4622e-009,0.3272
9.4988e-009,0.3293
9.5355e-009,0.3312
9.5722e-009,0.3313
9.6088e-009,0.3291
9.6455e-009,0.3253
9.6822e-009,0.3217
9.7189e-009,0.3199
9.7556e-009,0.3202
9.7922e-009,0.3221
9.8289e-009,0.3242
9.8656e-009,0.3251
9.9022e-009,0.3244
9.9389e-009,0.3229
9.9756e-009,0.3221
1.00123e-008,0.3232
1.00490e-008,0.3261
1.00856e-008,0.3296
1.01223e-008,0.3322
1.01590e-008,0.3331
1.01956e-008,0.3328
1.02323e-008,0.3320
1.02690e-008,0.3309
1.03057e-008,0.3297
1.03424e-008,0.3283
1.03790e-008,0.3271
1.04157e-008,0.3264
1.04524e-008,0.3264
1.04890e-008,0.3270
1.05257e-008,0.3278
1.05624e-008,0.3285
1.05991e-008,0.3288
1.06358e-008,0.3284
1.06724e-008,0.3277
1.07091e-008,0.3268
1.07458e-008,0.3263
1.07824e-008,0.3266
1.08191e-008,0.3276
1.08558e-008,0.3297
1.08925e-008,0.3347
1.09292e-008,0.3476
1.09658e-008,0.3781
1.10025e-008,0.4354
1.10392e-008,0.5220
1.10758e-008,0.6280
1.11125e-008,0.7332
1.11492e-008,0.8190
1.11859e-008,0.8769
1.12226e-008,0.9091
1.12592e-008,0.9253
1.12959e-008,0.9357
1.13326e-008,0.9461
1.13693e-008,0.9580
1.14059e-008,0.9704
