"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Rise Rail Overshoot, [mV]","Rise Rail Overshoot Limit, [mV]","Rise Rail Overshoot Margin, [mV]","Rise Rail Overshoot, [Pass/Fail]","Rise Rail Overshoot Trace Point, [ns]","Fall Rail Undershoot, [mV]","Fall Rail Undershoot Limit, [mV]","Fall Rail Undershoot Margin, [mV]","Fall Rail Undershoot, [Pass/Fail]","Fall Rail Undershoot Trace Point, [ns]","Rise Rail Overshoot Area, [V*ns]","Rise Rail Overshoot Area Limit, [V*ns]","Rise Rail Overshoot Area Margin, [V*ns]","Rise Rail Overshoot Area, [Pass/Fail]","Rise Rail Overshoot Area Trace Point, [ns]","Fall Rail Undershoot Area, [V*ns]","Fall Rail Undershoot Area Limit, [V*ns]","Fall Rail Undershoot Area Margin, [V*ns]","Fall Rail Undershoot Area, [Pass/Fail]","Fall Rail Undershoot Area Trace Point, [ns]","Monotonic, [Pass/Fail]","Monotonic Trace Point, [ns]","VIH/L(AC) Min Limit, [Pass/Fail]","VIH/L(AC) Min Limit, Trace Point, [ns]","VIH/L(DC) Monotonicity, [Pass/Fail]","VIH/L(DC) Monotonicity Trace Point, [ns]","Vref Threshold Multi Cross, [Pass/Fail]","Max Slew Time, [ps]","Max Slew Time, [Pass/Fail]","VIX Limit Low, mV","VIX Limit Hi, mV","VIX Margin, mV","VIX, [Pass/Fail]","VIX Trace Point, [ns]","VID(AC) Limit, mV","VID(AC) Margin, mV","VID(AC), [Pass/Fail]","VID(AC) Trace Point, [ns]","VID(DC) Limit, mV","VID(DC), [Pass/Fail]","VID(DC) Trace Point, [ns]","VSEH/VSEL Limit Low, mV","VSEH/VSEL Limit Hi, mV","VSEH/VSEL Margin, mV","VSEH/VSEL, [Pass/Fail]","VSEH/VSEL Trace Point, [ns]","TVAC/TDVAC Min Time Over AC, ps","TVAC/TDVAC Time Limit, ps","TVAC/TDVAC Margin, ps","TVAC/TDVAC, [Pass/Fail]","TVAC/TDVAC Trace Point, [ns]"
"DRAM_DQS6_P","Pass","Write rank(1,1)","U1.AD23&AE23","U5.F3&G3","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass"," 100.3","Pass"," 600.0"," 900.0","  96.2","Pass"," 1.007"," 270.0"," 518.8","Pass"," 1.265"," 200.0","Pass","N/A"," 575.0"," 925.0"," 211.7","Pass"," 1.250","   370","   163","   207","Pass","60.337"
"DRAM_DQS7_P","Pass","Write rank(1,1)","U1.AA25&AA24","U5.C7&B7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A"," 0.000"," 0.100"," 0.100","Pass","N/A","Pass","N/A","N/A","N/A","N/A","N/A","Pass","  96.4","Pass"," 600.0"," 900.0","  95.4","Pass"," 1.443"," 270.0"," 516.3","Pass"," 1.246"," 200.0","Pass","N/A"," 575.0"," 925.0"," 207.6","Pass"," 1.231","   366","   163","   203","Pass"," 1.211"
"DRAM_A0","Pass","Write rank(1,1)","U1.AC14","U2.N3","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 146.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   767","    75","   692","Pass","17.591"
"DRAM_A0","Pass","Write rank(1,1)","U1.AC14","U3.N3","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 168.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   763","    75","   688","Pass","17.468"
"DRAM_A0","Pass","Write rank(1,1)","U1.AC14","U4.N3","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 157.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   524","    75","   449","Pass","33.286"
"DRAM_A0","Pass","Write rank(1,1)","U1.AC14","U5.N3","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 157.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   587","    75","   512","Pass","18.134"
"DRAM_A1","Pass","Write rank(1,1)","U1.AB14","U2.P7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 154.0","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   767","    75","   692","Pass","19.463"
"DRAM_A1","Pass","Write rank(1,1)","U1.AB14","U3.P7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 187.0","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   756","    75","   681","Pass","19.339"
"DRAM_A1","Pass","Write rank(1,1)","U1.AB14","U4.P7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 161.4","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   499","    75","   424","Pass","30.468"
"DRAM_A1","Pass","Write rank(1,1)","U1.AB14","U5.P7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 146.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   576","    75","   501","Pass","20.001"
"DRAM_A10","Pass","Write rank(1,1)","U1.AA15","U2.L7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 161.4","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   778","    75","   703","Pass"," 1.638"
"DRAM_A10","Pass","Write rank(1,1)","U1.AA15","U3.L7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 190.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   778","    75","   703","Pass","11.828"
"DRAM_A10","Pass","Write rank(1,1)","U1.AA15","U4.L7","   0.0"," 400.0"," 400.0","Pass","N/A","   0.0"," 400.0"," 400.0","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A"," 0.000"," 0.250"," 0.250","Pass","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass"," 190.7","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   748","    49","   699","Pass"," 6.077"
