.HEADER
..NAMES
Time,V U1.AD15&AE15
.DATA
8.9854e-009,1.0194
9.0220e-009,1.1185
9.0587e-009,1.1562
9.0954e-009,1.1674
9.1321e-009,1.1638
9.1688e-009,1.1431
9.2054e-009,1.1045
9.2421e-009,1.0381
9.2788e-009,0.9329
9.3154e-009,0.8011
9.3521e-009,0.6599
9.3888e-009,0.5250
9.4255e-009,0.4106
9.4622e-009,0.3221
9.4988e-009,0.2564
9.5355e-009,0.2165
9.5722e-009,0.1959
9.6088e-009,0.2199
9.6455e-009,0.2696
9.6822e-009,0.3350
9.7189e-009,0.4164
9.7556e-009,0.5274
9.7922e-009,0.6590
9.8289e-009,0.7823
9.8656e-009,0.8858
9.9022e-009,0.9684
9.9389e-009,1.0725
9.9756e-009,1.1392
1.00123e-008,1.1633
1.00490e-008,1.1675
1.00856e-008,1.1565
1.01223e-008,1.1289
1.01590e-008,1.0809
1.01956e-008,0.9984
1.02323e-008,0.8795
1.02690e-008,0.7417
1.03057e-008,0.6007
1.03424e-008,0.4733
1.03790e-008,0.3699
1.04157e-008,0.2917
1.04524e-008,0.2362
1.04890e-008,0.2005
1.05257e-008,0.2014
1.05624e-008,0.2386
1.05991e-008,0.2957
1.06358e-008,0.3671
1.06724e-008,0.4592
1.07091e-008,0.5832
1.07458e-008,0.7132
1.07824e-008,0.8291
1.08191e-008,0.9234
1.08558e-008,0.9984
1.08925e-008,1.1078
1.09292e-008,1.1527
1.09658e-008,1.1668
1.10025e-008,1.1654
1.10392e-008,1.1471
1.10758e-008,1.1116
1.11125e-008,1.0511
1.11492e-008,0.9519
1.11859e-008,0.8228
1.12226e-008,0.6815
1.12592e-008,0.5441
1.12959e-008,0.4260
1.13326e-008,0.3337
1.13693e-008,0.2654
1.14059e-008,0.2212
1.14426e-008,0.1955
1.14793e-008,0.2142
1.15159e-008,0.2611
1.15526e-008,0.3245
1.15893e-008,0.4027
1.16260e-008,0.5085
1.16627e-008,0.6390
1.16993e-008,0.7649
1.17360e-008,0.8720
1.17727e-008,0.9576
1.18093e-008,1.0524
1.18460e-008,1.1318
1.18827e-008,1.1611
1.19194e-008,1.1678
1.19561e-008,1.1594
1.19927e-008,1.1343
1.20294e-008,1.0900
1.20661e-008,1.0139
1.21027e-008,0.8997
1.21394e-008,0.7637
1.21761e-008,0.6217
1.22128e-008,0.4910
1.22495e-008,0.3837
1.22861e-008,0.3022
1.23228e-008,0.2437
1.23595e-008,0.2064
1.23961e-008,0.1989
1.24328e-008,0.2317
1.24695e-008,0.2865
1.25062e-008,0.3559
1.25429e-008,0.4435
1.25795e-008,0.5626
1.26162e-008,0.6938
1.26529e-008,0.8129
1.26895e-008,0.9109
1.27262e-008,0.9885
1.27629e-008,1.0990
1.27996e-008,1.1492
1.28363e-008,1.1659
1.28729e-008,1.1665
1.29096e-008,1.1510
1.29463e-008,1.1185
1.29829e-008,1.0627
1.30196e-008,0.9691
1.30563e-008,0.8434
1.30930e-008,0.7035
1.31297e-008,0.5647
1.31663e-008,0.4428
1.32030e-008,0.3460
1.32397e-008,0.2741
1.32763e-008,0.2255
1.33130e-008,0.1970
1.33497e-008,0.2096
1.33864e-008,0.2531
1.34231e-008,0.3140
1.34597e-008,0.3894
1.34964e-008,0.4902
1.35331e-008,0.6194
1.35697e-008,0.7469
1.36064e-008,0.8570
1.36431e-008,0.9453
1.36798e-008,1.0361
1.37165e-008,1.1254
1.37531e-008,1.1591
1.37898e-008,1.1680
1.38265e-008,1.1621
1.38631e-008,1.1395
1.38998e-008,1.0987
