.HEADER
..NAMES
Time,V U1.AE9
.DATA
0.0e+000,1.1830
3.86e-011,1.1830
7.72e-011,1.1830
1.157e-010,1.1830
1.543e-010,1.1830
1.929e-010,1.1830
2.314e-010,1.1830
2.700e-010,1.1881
3.086e-010,1.1917
3.472e-010,1.1797
3.857e-010,1.1274
4.243e-010,1.0144
4.629e-010,0.8664
5.015e-010,0.7211
5.401e-010,0.5874
5.786e-010,0.4779
6.172e-010,0.3969
6.558e-010,0.3452
6.944e-010,0.3161
7.329e-010,0.2999
7.715e-010,0.2896
8.101e-010,0.2840
8.486e-010,0.2842
8.872e-010,0.2934
9.258e-010,0.3128
9.644e-010,0.3342
1.0029e-009,0.3494
1.0415e-009,0.3569
1.0801e-009,0.3576
1.1187e-009,0.3526
1.1572e-009,0.3436
1.1958e-009,0.3341
1.2344e-009,0.3264
1.2730e-009,0.3215
1.3115e-009,0.3190
1.3501e-009,0.3184
1.3887e-009,0.3192
1.4273e-009,0.3197
1.4658e-009,0.3185
1.5044e-009,0.3160
1.5430e-009,0.3144
1.5816e-009,0.3135
1.6202e-009,0.3130
1.6587e-009,0.3150
1.6973e-009,0.3253
1.7359e-009,0.3569
1.7745e-009,0.4290
1.8130e-009,0.5472
1.8516e-009,0.6993
1.8902e-009,0.8430
1.9288e-009,0.9469
1.9673e-009,1.0205
2.0059e-009,1.0749
2.0445e-009,1.1164
2.0830e-009,1.1476
2.1216e-009,1.1886
2.1602e-009,1.2256
2.1988e-009,1.2311
2.2374e-009,1.2059
2.2759e-009,1.1234
2.3145e-009,0.9721
2.3531e-009,0.7951
2.3916e-009,0.6319
2.4302e-009,0.5017
2.4688e-009,0.4098
2.5074e-009,0.3498
2.5459e-009,0.3157
2.5845e-009,0.2927
2.6231e-009,0.2725
2.6617e-009,0.2813
2.7003e-009,0.3294
2.7388e-009,0.4294
2.7774e-009,0.5848
2.8160e-009,0.7718
2.8545e-009,0.9292
2.8931e-009,1.0424
2.9317e-009,1.1149
2.9703e-009,1.1573
3.0089e-009,1.1797
3.0474e-009,1.1902
