.HEADER
..NAMES
Time,V U1.AD24
.DATA
9.4895e-009,1.0374
9.5280e-009,1.1165
9.5666e-009,1.1697
9.6052e-009,1.2019
9.6437e-009,1.2200
9.6823e-009,1.2266
9.7209e-009,1.2257
9.7595e-009,1.2237
9.7981e-009,1.2207
9.8366e-009,1.2136
9.8752e-009,1.2010
9.9138e-009,1.1859
9.9524e-009,1.1699
9.9909e-009,1.1579
1.00295e-008,1.1544
1.00681e-008,1.1570
1.01066e-008,1.1614
1.01452e-008,1.1658
1.01838e-008,1.1706
1.02224e-008,1.1753
1.02610e-008,1.1785
1.02995e-008,1.1802
1.03381e-008,1.1818
1.03767e-008,1.1832
1.04152e-008,1.1832
1.04538e-008,1.1823
1.04924e-008,1.1818
1.05310e-008,1.1819
1.05695e-008,1.1853
1.06081e-008,1.1919
1.06467e-008,1.1908
1.06853e-008,1.1622
1.07239e-008,1.0782
1.07624e-008,0.9407
1.08010e-008,0.7912
1.08396e-008,0.6479
1.08781e-008,0.5228
1.09167e-008,0.4257
1.09553e-008,0.3612
1.09939e-008,0.3246
1.10324e-008,0.3045
1.10710e-008,0.2927
1.11096e-008,0.2843
1.11482e-008,0.2777
1.11868e-008,0.2725
1.12253e-008,0.2707
1.12639e-008,0.2742
1.13025e-008,0.2861
1.13410e-008,0.3070
1.13796e-008,0.3287
1.14182e-008,0.3439
1.14568e-008,0.3517
1.14953e-008,0.3532
1.15339e-008,0.3493
1.15725e-008,0.3411
1.16111e-008,0.3316
1.16497e-008,0.3243
1.16882e-008,0.3198
1.17268e-008,0.3172
1.17654e-008,0.3157
1.18039e-008,0.3151
1.18425e-008,0.3155
1.18811e-008,0.3166
1.19197e-008,0.3177
1.19583e-008,0.3176
1.19968e-008,0.3161
1.20354e-008,0.3145
1.20740e-008,0.3135
1.21126e-008,0.3129
1.21511e-008,0.3125
1.21897e-008,0.3126
1.22283e-008,0.3133
1.22668e-008,0.3140
1.23054e-008,0.3143
1.23440e-008,0.3143
1.23826e-008,0.3144
1.24212e-008,0.3145
1.24597e-008,0.3145
1.24983e-008,0.3144
1.25369e-008,0.3141
1.25755e-008,0.3139
1.26140e-008,0.3139
1.26526e-008,0.3140
1.26912e-008,0.3142
1.27297e-008,0.3142
1.27683e-008,0.3143
1.28069e-008,0.3144
1.28455e-008,0.3144
1.28841e-008,0.3143
1.29226e-008,0.3142
1.29612e-008,0.3143
1.29998e-008,0.3143
1.30383e-008,0.3143
1.30769e-008,0.3143
1.31155e-008,0.3143
1.31541e-008,0.3143
1.31926e-008,0.3144
1.32312e-008,0.3144
1.32698e-008,0.3144
1.33084e-008,0.3144
1.33470e-008,0.3144
1.33855e-008,0.3166
1.34241e-008,0.3272
1.34627e-008,0.3597
1.35012e-008,0.4338
1.35398e-008,0.5544
1.35784e-008,0.7085
1.36170e-008,0.8523
1.36555e-008,0.9571
1.36941e-008,1.0315
1.37327e-008,1.0852
1.37713e-008,1.1242
1.38099e-008,1.1521
1.38484e-008,1.1730
1.38870e-008,1.1881
1.39256e-008,1.1988
1.39641e-008,1.2061
1.40027e-008,1.2095
1.40413e-008,1.2082
1.40799e-008,1.2004
1.41185e-008,1.1863
1.41570e-008,1.1688
1.41956e-008,1.1546
1.42342e-008,1.1503
1.42728e-008,1.1540
1.43113e-008,1.1603
1.43499e-008,1.1661
1.43885e-008,1.1715
1.44270e-008,1.1762
1.44656e-008,1.1796
1.45042e-008,1.1815
1.45428e-008,1.1825
1.45814e-008,1.1832
1.46199e-008,1.1835
1.46585e-008,1.1826
1.46971e-008,1.1818
1.47357e-008,1.1815
1.47742e-008,1.1825
1.48128e-008,1.1898
1.48514e-008,1.1941
1.48899e-008,1.1800
1.49285e-008,1.1221
1.49671e-008,1.0035
1.50057e-008,0.8540
1.50443e-008,0.7073
1.50828e-008,0.5727
1.51214e-008,0.4631
1.51600e-008,0.3849
1.51985e-008,0.3374
1.52371e-008,0.3118
1.52757e-008,0.2837
1.53143e-008,0.2867
1.53528e-008,0.3201
1.53914e-008,0.3951
1.54300e-008,0.5145
1.54686e-008,0.6686
1.55071e-008,0.8123
1.55457e-008,0.9369
1.55843e-008,1.0415
1.56229e-008,1.1199
1.56615e-008,1.1708
1.57000e-008,1.2009
1.57386e-008,1.2173
1.57772e-008,1.2231
1.58158e-008,1.2226
1.58543e-008,1.2220
1.58929e-008,1.2201
1.59315e-008,1.2135
1.59701e-008,1.2015
1.60086e-008,1.1860
1.60472e-008,1.1693
1.60858e-008,1.1572
1.61243e-008,1.1543
1.61629e-008,1.1571
1.62015e-008,1.1611
1.62401e-008,1.1652
1.62786e-008,1.1700
1.63172e-008,1.1749
1.63558e-008,1.1782
1.63944e-008,1.1801
1.64329e-008,1.1819
1.64715e-008,1.1832
1.65101e-008,1.1830
1.65487e-008,1.1821
1.65873e-008,1.1815
1.66258e-008,1.1816
1.66644e-008,1.1825
1.67030e-008,1.1841
1.67416e-008,1.1851
1.67801e-008,1.1852
1.68187e-008,1.1849
1.68573e-008,1.1848
1.68959e-008,1.1849
1.69344e-008,1.1846
1.69730e-008,1.1843
1.70116e-008,1.1843
1.70501e-008,1.1843
1.70887e-008,1.1841
1.71273e-008,1.1840
1.71659e-008,1.1841
1.72044e-008,1.1843
1.72430e-008,1.1845
1.72816e-008,1.1846
1.73202e-008,1.1845
1.73588e-008,1.1843
1.73973e-008,1.1842
1.74359e-008,1.1842
1.74745e-008,1.1843
1.75131e-008,1.1842
1.75516e-008,1.1842
1.75902e-008,1.1843
1.76288e-008,1.1843
1.76674e-008,1.1842
1.77059e-008,1.1842
1.77445e-008,1.1843
1.77831e-008,1.1843
1.78216e-008,1.1842
1.78602e-008,1.1842
1.78988e-008,1.1842
1.79374e-008,1.1842
1.79759e-008,1.1842
1.80145e-008,1.1842
1.80531e-008,1.1842
1.80917e-008,1.1892
1.81302e-008,1.1928
1.81688e-008,1.1811
1.82074e-008,1.1294
1.82460e-008,1.0168
1.82846e-008,0.8682
1.83231e-008,0.7213
1.83617e-008,0.5850
1.84003e-008,0.4728
1.84389e-008,0.3910
1.84774e-008,0.3410
1.85160e-008,0.3136
1.85546e-008,0.2983
1.85932e-008,0.2882
1.86317e-008,0.2806
1.86703e-008,0.2744
1.87089e-008,0.2705
1.87474e-008,0.2710
1.87860e-008,0.2782
1.88246e-008,0.2950
1.88632e-008,0.3175
1.89017e-008,0.3366
1.89403e-008,0.3482
1.89789e-008,0.3528
1.90175e-008,0.3538
1.90560e-008,0.3608
1.90946e-008,0.3898
1.91332e-008,0.4629
1.91718e-008,0.5823
1.92104e-008,0.7332
1.92489e-008,0.8687
1.92875e-008,0.9673
1.93261e-008,1.0385
1.93647e-008,1.0913
1.94032e-008,1.1306
1.94418e-008,1.1584
1.94804e-008,1.2046
1.95190e-008,1.2342
1.95575e-008,1.2395
1.95961e-008,1.2174
1.96347e-008,1.1431
1.96732e-008,1.0082
1.97118e-008,0.8454
1.97504e-008,0.6773
1.97890e-008,0.5224
1.98275e-008,0.4021
1.98661e-008,0.3299
1.99047e-008,0.2972
1.99433e-008,0.2840
1.99819e-008,0.2771
2.00204e-008,0.2735
2.00590e-008,0.2685
2.00976e-008,0.2620
2.01362e-008,0.2618
2.01747e-008,0.2684
2.02133e-008,0.2815
2.02519e-008,0.3011
2.02905e-008,0.3226
2.03290e-008,0.3400
2.03676e-008,0.3504
2.04062e-008,0.3544
2.04447e-008,0.3586
2.04833e-008,0.3758
2.05219e-008,0.4255
2.05605e-008,0.5228
2.05990e-008,0.6607
2.06376e-008,0.8105
2.06762e-008,0.9243
2.07148e-008,1.0077
2.07533e-008,1.0688
2.07919e-008,1.1141
2.08305e-008,1.1466
2.08691e-008,1.1695
2.09077e-008,1.2243
2.09462e-008,1.2403
2.09848e-008,1.2332
2.10234e-008,1.1867
2.10620e-008,1.0789
2.11005e-008,0.9236
2.11391e-008,0.7565
2.11777e-008,0.5926
2.12163e-008,0.4538
2.12548e-008,0.3586
2.12934e-008,0.3095
2.13320e-008,0.2893
2.13705e-008,0.2663
2.14091e-008,0.2721
2.14477e-008,0.3061
2.14863e-008,0.3755
2.15248e-008,0.4894
2.15634e-008,0.6447
2.16020e-008,0.7938
2.16406e-008,0.9210
2.16791e-008,1.0269
2.17177e-008,1.1091
2.17563e-008,1.1651
2.17949e-008,1.1991
2.18335e-008,1.2182
2.18720e-008,1.2259
2.19106e-008,1.2256
2.19492e-008,1.2236
2.19878e-008,1.2209
2.20263e-008,1.2144
2.20649e-008,1.2024
2.21035e-008,1.1876
2.21420e-008,1.1715
2.21806e-008,1.1587
2.22192e-008,1.1543
2.22578e-008,1.1564
2.22963e-008,1.1656
2.23349e-008,1.1760
2.23735e-008,1.1769
2.24121e-008,1.1495
2.24506e-008,1.0645
2.24892e-008,0.9264
2.25278e-008,0.7788
2.25664e-008,0.6384
2.26050e-008,0.5154
2.26435e-008,0.4192
2.26821e-008,0.3559
2.27207e-008,0.3204
2.27593e-008,0.2918
2.27978e-008,0.2807
2.28364e-008,0.2981
2.28750e-008,0.3502
2.29136e-008,0.4453
2.29521e-008,0.5845
2.29907e-008,0.7395
2.30293e-008,0.8739
2.30678e-008,0.9895
2.31064e-008,1.0823
2.31450e-008,1.1471
2.31836e-008,1.1867
2.32221e-008,1.2095
2.32607e-008,1.2207
2.32993e-008,1.2230
2.33379e-008,1.2223
2.33764e-008,1.2217
2.34150e-008,1.2177
2.34536e-008,1.2083
2.34922e-008,1.1943
2.35308e-008,1.1780
2.35693e-008,1.1626
2.36079e-008,1.1548
2.36465e-008,1.1551
2.36851e-008,1.1588
2.37236e-008,1.1629
2.37622e-008,1.1672
2.38008e-008,1.1724
2.38394e-008,1.1767
2.38779e-008,1.1792
2.39165e-008,1.1809
2.39551e-008,1.1825
2.39936e-008,1.1833
2.40322e-008,1.1825
2.40708e-008,1.1817
2.41094e-008,1.1815
2.41479e-008,1.1819
2.41865e-008,1.1832
2.42251e-008,1.1846
2.42637e-008,1.1852
2.43023e-008,1.1850
2.43408e-008,1.1848
2.43794e-008,1.1848
2.44180e-008,1.1847
2.44566e-008,1.1844
2.44951e-008,1.1842
2.45337e-008,1.1843
2.45723e-008,1.1842
2.46109e-008,1.1839
2.46494e-008,1.1878
2.46880e-008,1.1927
2.47266e-008,1.1861
2.47651e-008,1.1459
2.48037e-008,1.0460
2.48423e-008,0.9009
2.48809e-008,0.7525
2.49194e-008,0.6126
2.49580e-008,0.4944
2.49966e-008,0.4061
2.50352e-008,0.3494
2.50737e-008,0.3182
2.51123e-008,0.3013
2.51509e-008,0.2903
2.51895e-008,0.2821
2.52281e-008,0.2757
2.52666e-008,0.2713
2.53052e-008,0.2706
2.53438e-008,0.2761
2.53824e-008,0.2907
2.54209e-008,0.3128
2.54595e-008,0.3332
2.54981e-008,0.3465
2.55367e-008,0.3525
2.55752e-008,0.3525
2.56138e-008,0.3473
2.56524e-008,0.3385
2.56909e-008,0.3293
2.57295e-008,0.3227
2.57681e-008,0.3188
2.58067e-008,0.3165
2.58452e-008,0.3154
2.58838e-008,0.3150
2.59224e-008,0.3156
2.59610e-008,0.3168
2.59995e-008,0.3177
2.60381e-008,0.3183
2.60767e-008,0.3241
2.61153e-008,0.3474
2.61539e-008,0.4074
2.61924e-008,0.5152
2.62310e-008,0.6614
2.62696e-008,0.8141
2.63082e-008,0.9298
2.63467e-008,1.0127
2.63853e-008,1.0718
2.64239e-008,1.1146
2.64625e-008,1.1454
2.65010e-008,1.1752
