.HEADER
..NAMES
Time,V U1.AD5
.DATA
0.0e+000,1.1834
3.86e-011,1.1834
7.72e-011,1.1834
1.157e-010,1.1834
1.543e-010,1.1834
1.929e-010,1.1834
2.314e-010,1.1834
2.700e-010,1.1885
3.086e-010,1.1922
3.472e-010,1.1801
3.857e-010,1.1274
4.243e-010,1.0123
4.629e-010,0.8602
5.015e-010,0.7119
5.401e-010,0.5798
5.786e-010,0.4793
6.172e-010,0.4112
6.558e-010,0.3672
6.944e-010,0.3399
7.329e-010,0.3084
7.715e-010,0.3057
8.101e-010,0.3336
8.486e-010,0.4105
8.872e-010,0.5465
9.258e-010,0.7279
9.644e-010,0.8907
1.0029e-009,1.0145
1.0415e-009,1.0967
1.0801e-009,1.1418
1.1187e-009,1.1640
1.1572e-009,1.1827
1.1958e-009,1.2252
1.2344e-009,1.2409
1.2730e-009,1.2343
1.3115e-009,1.1958
1.3501e-009,1.0874
1.3887e-009,0.9103
1.4273e-009,0.7320
1.4658e-009,0.5704
1.5044e-009,0.4449
1.5430e-009,0.3689
1.5816e-009,0.3355
1.6202e-009,0.3164
1.6587e-009,0.2928
1.6973e-009,0.2870
1.7359e-009,0.3076
1.7745e-009,0.3639
1.8130e-009,0.4782
1.8516e-009,0.6541
1.8902e-009,0.8336
1.9288e-009,0.9735
1.9673e-009,1.0741
2.0059e-009,1.1355
2.0445e-009,1.1621
2.0830e-009,1.1793
2.1216e-009,1.1928
2.1602e-009,1.1970
2.1988e-009,1.1951
2.2374e-009,1.1936
2.2759e-009,1.1859
2.3145e-009,1.1689
2.3531e-009,1.1516
2.3916e-009,1.1387
2.4302e-009,1.1296
2.4688e-009,1.1272
2.5074e-009,1.1349
2.5459e-009,1.1465
2.5845e-009,1.1591
2.6231e-009,1.1741
2.6617e-009,1.1833
2.7003e-009,1.1687
2.7388e-009,1.1034
2.7774e-009,0.9754
2.8160e-009,0.8223
2.8545e-009,0.6759
2.8931e-009,0.5500
2.9317e-009,0.4589
2.9703e-009,0.3995
3.0089e-009,0.3603
3.0474e-009,0.3366
3.0860e-009,0.3209
3.1246e-009,0.3065
3.1631e-009,0.2947
3.2017e-009,0.2921
3.2403e-009,0.3006
3.2789e-009,0.3166
3.3175e-009,0.3375
3.3560e-009,0.3585
3.3946e-009,0.3721
3.4332e-009,0.3746
3.4717e-009,0.3695
3.5103e-009,0.3596
3.5489e-009,0.3466
3.5875e-009,0.3339
3.6260e-009,0.3253
3.6646e-009,0.3207
3.7032e-009,0.3185
3.7418e-009,0.3184
3.7803e-009,0.3193
3.8189e-009,0.3195
3.8575e-009,0.3184
3.8961e-009,0.3170
3.9346e-009,0.3153
3.9732e-009,0.3136
4.0118e-009,0.3157
4.0504e-009,0.3286
4.0890e-009,0.3669
4.1275e-009,0.4503
4.1661e-009,0.5803
4.2047e-009,0.7394
4.2433e-009,0.8758
4.2818e-009,0.9679
4.3204e-009,1.0260
4.3590e-009,1.0652
4.3975e-009,1.0969
4.4361e-009,1.1286
4.4747e-009,1.1548
4.5133e-009,1.1723
4.5519e-009,1.1811
4.5904e-009,1.1820
4.6290e-009,1.1729
4.6676e-009,1.1578
4.7062e-009,1.1426
4.7447e-009,1.1313
4.7833e-009,1.1268
4.8219e-009,1.1310
4.8604e-009,1.1417
4.8990e-009,1.1531
4.9376e-009,1.1665
4.9762e-009,1.1799
5.0147e-009,1.1837
5.0533e-009,1.1598
5.0919e-009,1.0806
5.1305e-009,0.9426
5.1691e-009,0.7893
5.2076e-009,0.6465
5.2462e-009,0.5282
5.2848e-009,0.4447
5.3234e-009,0.3903
5.3619e-009,0.3553
5.4005e-009,0.3272
5.4391e-009,0.3051
5.4776e-009,0.3132
5.5162e-009,0.3587
5.5548e-009,0.4595
5.5934e-009,0.6195
5.6320e-009,0.8014
5.6705e-009,0.9482
5.7091e-009,1.0549
5.7477e-009,1.1206
5.7863e-009,1.1530
5.8248e-009,1.1725
5.8634e-009,1.1952
5.9020e-009,1.2349
5.9405e-009,1.2406
5.9791e-009,1.2240
6.0177e-009,1.1613
6.0563e-009,1.0182
6.0948e-009,0.8344
6.1334e-009,0.6619
6.1720e-009,0.5129
6.2106e-009,0.4070
6.2492e-009,0.3516
6.2877e-009,0.3268
6.3263e-009,0.3109
6.3649e-009,0.3012
6.4035e-009,0.2937
6.4420e-009,0.2849
6.4806e-009,0.2801
6.5192e-009,0.2901
6.5577e-009,0.3097
6.5963e-009,0.3320
6.6349e-009,0.3543
6.6735e-009,0.3728
6.7121e-009,0.3788
6.7506e-009,0.3734
6.7892e-009,0.3628
6.8278e-009,0.3498
6.8664e-009,0.3356
6.9049e-009,0.3249
6.9435e-009,0.3202
6.9821e-009,0.3185
7.0206e-009,0.3180
7.0592e-009,0.3190
7.0978e-009,0.3201
7.1364e-009,0.3191
7.1749e-009,0.3173
7.2135e-009,0.3157
7.2521e-009,0.3141
7.2907e-009,0.3125
7.3293e-009,0.3122
7.3678e-009,0.3129
7.4064e-009,0.3136
7.4450e-009,0.3143
7.4835e-009,0.3151
7.5221e-009,0.3156
7.5607e-009,0.3154
7.5993e-009,0.3151
7.6379e-009,0.3150
7.6764e-009,0.3147
7.7150e-009,0.3144
7.7536e-009,0.3144
7.7922e-009,0.3146
7.8307e-009,0.3147
7.8693e-009,0.3148
7.9079e-009,0.3149
7.9464e-009,0.3149
7.9850e-009,0.3148
8.0236e-009,0.3148
8.0622e-009,0.3147
8.1008e-009,0.3147
8.1393e-009,0.3146
8.1779e-009,0.3147
8.2165e-009,0.3160
8.2550e-009,0.3234
8.2936e-009,0.3487
8.3322e-009,0.4111
8.3708e-009,0.5220
8.4093e-009,0.6710
8.4479e-009,0.8236
8.4865e-009,0.9332
8.5251e-009,1.0039
8.5637e-009,1.0497
8.6022e-009,1.0836
8.6408e-009,1.1160
8.6794e-009,1.1533
8.7179e-009,1.2095
8.7565e-009,1.2248
8.7951e-009,1.2103
8.8337e-009,1.1434
8.8722e-009,0.9964
8.9108e-009,0.8135
8.9494e-009,0.6443
8.9880e-009,0.5015
9.0266e-009,0.4041
9.0651e-009,0.3542
9.1037e-009,0.3306
9.1423e-009,0.3143
9.1808e-009,0.2890
9.2194e-009,0.2943
9.2580e-009,0.3281
9.2966e-009,0.4089
9.3352e-009,0.5553
9.3737e-009,0.7435
9.4123e-009,0.9055
9.4509e-009,1.0274
9.4895e-009,1.1093
9.5280e-009,1.1516
9.5666e-009,1.1706
9.6052e-009,1.1868
9.6437e-009,1.2294
9.6823e-009,1.2404
9.7209e-009,1.2298
9.7595e-009,1.1846
9.7981e-009,1.0648
9.8366e-009,0.8839
9.8752e-009,0.7077
9.9138e-009,0.5506
9.9524e-009,0.4310
9.9909e-009,0.3614
1.00295e-008,0.3318
1.00681e-008,0.3143
1.01066e-008,0.2889
1.01452e-008,0.2883
1.01838e-008,0.3138
1.02224e-008,0.3781
1.02610e-008,0.5028
1.02995e-008,0.6845
1.03381e-008,0.8586
1.03767e-008,0.9921
1.04152e-008,1.0865
1.04538e-008,1.1419
1.04924e-008,1.1654
1.05310e-008,1.1824
1.05695e-008,1.1946
1.06081e-008,1.1976
1.06467e-008,1.1954
1.06853e-008,1.1935
1.07239e-008,1.1840
1.07624e-008,1.1663
1.08010e-008,1.1495
1.08396e-008,1.1374
1.08781e-008,1.1290
1.09167e-008,1.1282
1.09553e-008,1.1371
1.09939e-008,1.1486
1.10324e-008,1.1580
1.10710e-008,1.1664
1.11096e-008,1.1739
1.11482e-008,1.1774
1.11868e-008,1.1782
1.12253e-008,1.1790
1.12639e-008,1.1796
1.13025e-008,1.1793
1.13410e-008,1.1799
1.13796e-008,1.1816
1.14182e-008,1.1831
1.14568e-008,1.1840
1.14953e-008,1.1847
1.15339e-008,1.1852
1.15725e-008,1.1846
1.16111e-008,1.1839
1.16497e-008,1.1837
1.16882e-008,1.1836
1.17268e-008,1.1832
1.17654e-008,1.1832
1.18039e-008,1.1836
1.18425e-008,1.1837
1.18811e-008,1.1837
1.19197e-008,1.1839
1.19583e-008,1.1840
1.19968e-008,1.1892
1.20354e-008,1.1924
1.20740e-008,1.1792
1.21126e-008,1.1238
1.21511e-008,1.0060
1.21897e-008,0.8535
1.22283e-008,0.7058
1.22668e-008,0.5750
1.23054e-008,0.4760
1.23440e-008,0.4092
1.23826e-008,0.3660
1.24212e-008,0.3394
1.24597e-008,0.3073
1.24983e-008,0.3064
1.25369e-008,0.3364
1.25755e-008,0.4158
1.26140e-008,0.5550
1.26526e-008,0.7371
1.26912e-008,0.8979
1.27297e-008,1.0197
1.27683e-008,1.1000
1.28069e-008,1.1435
1.28455e-008,1.1652
1.28841e-008,1.1839
1.29226e-008,1.1945
1.29612e-008,1.1971
1.29998e-008,1.1964
1.30383e-008,1.1929
1.30769e-008,1.1798
1.31155e-008,1.1617
1.31541e-008,1.1458
1.31926e-008,1.1341
1.32312e-008,1.1274
1.32698e-008,1.1299
1.33084e-008,1.1401
1.33470e-008,1.1511
1.33855e-008,1.1603
1.34241e-008,1.1688
1.34627e-008,1.1750
1.35012e-008,1.1773
1.35398e-008,1.1782
1.35784e-008,1.1789
1.36170e-008,1.1791
1.36555e-008,1.1791
1.36941e-008,1.1802
1.37327e-008,1.1819
1.37713e-008,1.1832
1.38099e-008,1.1841
1.38484e-008,1.1848
1.38870e-008,1.1849
1.39256e-008,1.1842
1.39641e-008,1.1837
1.40027e-008,1.1836
1.40413e-008,1.1833
1.40799e-008,1.1831
1.41185e-008,1.1832
1.41570e-008,1.1835
1.41956e-008,1.1835
1.42342e-008,1.1836
1.42728e-008,1.1838
1.43113e-008,1.1855
1.43499e-008,1.1903
1.43885e-008,1.1915
1.44270e-008,1.1722
1.44656e-008,1.1041
1.45042e-008,0.9750
1.45428e-008,0.8218
1.45814e-008,0.6761
1.46199e-008,0.5513
1.46585e-008,0.4594
1.46971e-008,0.3986
1.47357e-008,0.3591
1.47742e-008,0.3314
1.48128e-008,0.3050
1.48514e-008,0.3097
1.48899e-008,0.3483
1.49285e-008,0.4397
1.49671e-008,0.5911
1.50057e-008,0.7739
1.50443e-008,0.9267
1.50828e-008,1.0398
1.51214e-008,1.1119
1.51600e-008,1.1489
1.51985e-008,1.1693
1.52371e-008,1.1867
1.52757e-008,1.1955
1.53143e-008,1.1971
1.53528e-008,1.1960
1.53914e-008,1.1910
1.54300e-008,1.1760
1.54686e-008,1.1581
1.55071e-008,1.1429
1.55457e-008,1.1321
1.55843e-008,1.1269
1.56229e-008,1.1316
1.56615e-008,1.1425
1.57000e-008,1.1531
1.57386e-008,1.1687
1.57772e-008,1.1817
1.58158e-008,1.1795
1.58543e-008,1.1392
1.58929e-008,1.0366
1.59315e-008,0.8875
1.59701e-008,0.7372
1.60086e-008,0.6000
1.60472e-008,0.4938
1.60858e-008,0.4222
1.61243e-008,0.3753
1.61629e-008,0.3456
1.62015e-008,0.3275
1.62401e-008,0.3126
1.62786e-008,0.2991
1.63172e-008,0.2919
1.63558e-008,0.2959
1.63944e-008,0.3091
1.64329e-008,0.3283
1.64715e-008,0.3502
1.65101e-008,0.3677
1.65487e-008,0.3749
1.65873e-008,0.3725
1.66258e-008,0.3645
1.66644e-008,0.3536
1.67030e-008,0.3498
1.67416e-008,0.3700
1.67801e-008,0.4348
1.68187e-008,0.5496
1.68573e-008,0.7020
1.68959e-008,0.8495
1.69344e-008,0.9530
1.69730e-008,1.0183
1.70116e-008,1.0600
1.70501e-008,1.0908
1.70887e-008,1.1206
1.71273e-008,1.1682
1.71659e-008,1.2123
1.72044e-008,1.2230
1.72430e-008,1.2027
1.72816e-008,1.1250
1.73202e-008,0.9676
1.73588e-008,0.7868
1.73973e-008,0.6204
1.74359e-008,0.4838
1.74745e-008,0.3938
1.75131e-008,0.3498
1.75516e-008,0.3274
1.75902e-008,0.3085
1.76288e-008,0.2884
1.76674e-008,0.2973
1.77059e-008,0.3368
1.77445e-008,0.4271
1.77831e-008,0.5831
1.78216e-008,0.7714
1.78602e-008,0.9269
1.78988e-008,1.0423
1.79374e-008,1.1182
1.79759e-008,1.1551
1.80145e-008,1.1729
1.80531e-008,1.1884
1.80917e-008,1.2335
1.81302e-008,1.2401
1.81688e-008,1.2260
1.82074e-008,1.1718
1.82460e-008,1.0388
1.82846e-008,0.8557
1.83231e-008,0.6819
1.83617e-008,0.5292
1.84003e-008,0.4168
1.84389e-008,0.3548
1.84774e-008,0.3285
1.85160e-008,0.3118
1.85546e-008,0.3014
1.85932e-008,0.2941
1.86317e-008,0.2861
1.86703e-008,0.2802
1.87089e-008,0.2885
1.87474e-008,0.3075
1.87860e-008,0.3297
1.88246e-008,0.3519
1.88632e-008,0.3711
1.89017e-008,0.3789
1.89403e-008,0.3744
1.89789e-008,0.3641
1.90175e-008,0.3515
1.90560e-008,0.3374
1.90946e-008,0.3259
1.91332e-008,0.3206
1.91718e-008,0.3188
1.92104e-008,0.3181
1.92489e-008,0.3189
1.92875e-008,0.3202
1.93261e-008,0.3194
1.93647e-008,0.3176
1.94032e-008,0.3159
1.94418e-008,0.3144
1.94804e-008,0.3128
1.95190e-008,0.3123
1.95575e-008,0.3129
1.95961e-008,0.3137
1.96347e-008,0.3143
1.96732e-008,0.3151
1.97118e-008,0.3157
1.97504e-008,0.3156
1.97890e-008,0.3153
1.98275e-008,0.3151
1.98661e-008,0.3149
1.99047e-008,0.3145
1.99433e-008,0.3158
1.99819e-008,0.3240
2.00204e-008,0.3506
2.00590e-008,0.4153
2.00976e-008,0.5284
2.01362e-008,0.6791
2.01747e-008,0.8300
2.02133e-008,0.9375
2.02519e-008,1.0066
2.02905e-008,1.0515
2.03290e-008,1.0850
2.03676e-008,1.1173
2.04062e-008,1.1466
2.04447e-008,1.1672
2.04833e-008,1.1791
2.05219e-008,1.1829
2.05605e-008,1.1775
2.05990e-008,1.1638
2.06376e-008,1.1482
2.06762e-008,1.1350
2.07148e-008,1.1278
2.07533e-008,1.1288
2.07919e-008,1.1378
2.08305e-008,1.1493
2.08691e-008,1.1593
2.09077e-008,1.1754
2.09462e-008,1.1846
2.09848e-008,1.1738
2.10234e-008,1.1186
2.10620e-008,0.9997
2.11005e-008,0.8464
2.11391e-008,0.6988
2.11777e-008,0.5692
2.12163e-008,0.4726
2.12548e-008,0.4082
2.12934e-008,0.3668
2.13320e-008,0.3407
2.13705e-008,0.3084
2.14091e-008,0.3067
2.14477e-008,0.3359
2.14863e-008,0.4147
2.15248e-008,0.5539
2.15634e-008,0.7362
2.16020e-008,0.8976
2.16406e-008,1.0200
2.16791e-008,1.1005
2.17177e-008,1.1439
2.17563e-008,1.1654
2.17949e-008,1.1840
2.18335e-008,1.1944
2.18720e-008,1.1970
2.19106e-008,1.1964
2.19492e-008,1.1931
2.19878e-008,1.1801
2.20263e-008,1.1620
2.20649e-008,1.1462
2.21035e-008,1.1344
2.21420e-008,1.1276
2.21806e-008,1.1300
2.22192e-008,1.1402
2.22578e-008,1.1512
2.22963e-008,1.1653
2.23349e-008,1.1798
2.23735e-008,1.1825
2.24121e-008,1.1528
2.24506e-008,1.0642
2.24892e-008,0.9211
2.25278e-008,0.7691
2.25664e-008,0.6278
2.26050e-008,0.5140
2.26435e-008,0.4349
2.26821e-008,0.3839
2.27207e-008,0.3509
2.27593e-008,0.3310
2.27978e-008,0.3160
2.28364e-008,0.3019
2.28750e-008,0.2928
2.29136e-008,0.2943
2.29521e-008,0.3058
2.29907e-008,0.3240
2.30293e-008,0.3457
2.30678e-008,0.3648
2.31064e-008,0.3744
2.31450e-008,0.3738
2.31836e-008,0.3668
2.32221e-008,0.3561
2.32607e-008,0.3494
2.32993e-008,0.3628
2.33379e-008,0.4166
2.33764e-008,0.5217
2.34150e-008,0.6675
2.34536e-008,0.8220
2.34922e-008,0.9347
2.35308e-008,1.0072
2.35693e-008,1.0526
2.36079e-008,1.0848
2.36465e-008,1.1147
2.36851e-008,1.1423
2.37236e-008,1.1632
2.37622e-008,1.1762
2.38008e-008,1.1811
2.38394e-008,1.1774
2.38779e-008,1.1651
2.39165e-008,1.1500
2.39551e-008,1.1364
2.39936e-008,1.1285
2.40322e-008,1.1285
2.40708e-008,1.1366
2.41094e-008,1.1480
2.41479e-008,1.1582
2.41865e-008,1.1739
2.42251e-008,1.1842
2.42637e-008,1.1766
2.43023e-008,1.1276
2.43408e-008,1.0151
2.43794e-008,0.8627
2.44180e-008,0.7141
2.44566e-008,0.5815
2.44951e-008,0.4811
2.45337e-008,0.4136
2.45723e-008,0.3704
2.46109e-008,0.3428
2.46494e-008,0.3250
2.46880e-008,0.3102
2.47266e-008,0.2975
2.47651e-008,0.2918
2.48037e-008,0.2974
2.48423e-008,0.3119
2.48809e-008,0.3320
2.49194e-008,0.3536
2.49580e-008,0.3698
2.49966e-008,0.3753
2.50352e-008,0.3718
2.50737e-008,0.3629
2.51123e-008,0.3505
2.51509e-008,0.3373
2.51895e-008,0.3275
2.52281e-008,0.3219
2.52666e-008,0.3192
2.53052e-008,0.3186
2.53438e-008,0.3193
2.53824e-008,0.3200
2.54209e-008,0.3191
2.54595e-008,0.3177
2.54981e-008,0.3160
2.55367e-008,0.3143
2.55752e-008,0.3147
2.56138e-008,0.3236
2.56524e-008,0.3531
2.56909e-008,0.4230
2.57295e-008,0.5410
2.57681e-008,0.6955
2.58067e-008,0.8437
2.58452e-008,0.9470
2.58838e-008,1.0129
2.59224e-008,1.0559
2.59610e-008,1.0884
2.59995e-008,1.1203
2.60381e-008,1.1489
2.60767e-008,1.1687
2.61153e-008,1.1797
2.61539e-008,1.1829
2.61924e-008,1.1766
2.62310e-008,1.1624
2.62696e-008,1.1468
2.63082e-008,1.1340
2.63467e-008,1.1274
2.63853e-008,1.1292
2.64239e-008,1.1388
2.64625e-008,1.1504
2.65010e-008,1.1602
2.65396e-008,1.1680
2.65782e-008,1.1737
2.66167e-008,1.1766
2.66553e-008,1.1776
2.66939e-008,1.1781
2.67325e-008,1.1784
2.67710e-008,1.1787
2.68096e-008,1.1799
2.68482e-008,1.1815
2.68868e-008,1.1831
2.69254e-008,1.1843
2.69639e-008,1.1850
2.70025e-008,1.1900
2.70411e-008,1.1932
2.70797e-008,1.1810
2.71182e-008,1.1288
2.71568e-008,1.0145
2.71954e-008,0.8623
2.72340e-008,0.7139
2.72725e-008,0.5817
2.73111e-008,0.4810
2.73497e-008,0.4126
2.73882e-008,0.3684
2.74268e-008,0.3410
2.74654e-008,0.3235
2.75040e-008,0.3093
2.75425e-008,0.2973
2.75811e-008,0.2924
2.76197e-008,0.2983
2.76583e-008,0.3129
2.76968e-008,0.3331
2.77354e-008,0.3544
2.77740e-008,0.3701
2.78126e-008,0.3752
2.78512e-008,0.3715
2.78897e-008,0.3624
2.79283e-008,0.3521
2.79669e-008,0.3518
2.80055e-008,0.3793
2.80440e-008,0.4549
2.80826e-008,0.5791
2.81212e-008,0.7355
2.81598e-008,0.8744
2.81983e-008,0.9694
2.82369e-008,1.0285
2.82755e-008,1.0671
2.83140e-008,1.0971
2.83526e-008,1.1268
2.83912e-008,1.1814
2.84298e-008,1.2167
2.84683e-008,1.2219
2.85069e-008,1.1929
2.85455e-008,1.0988
2.85841e-008,0.9300
2.86226e-008,0.7517
2.86612e-008,0.5894
2.86998e-008,0.4617
2.87384e-008,0.3815
2.87770e-008,0.3445
2.88155e-008,0.3239
2.88541e-008,0.3014
2.88927e-008,0.2884
2.89313e-008,0.3026
2.89698e-008,0.3506
2.90084e-008,0.4538
2.90470e-008,0.6218
2.90855e-008,0.8067
2.91241e-008,0.9540
2.91627e-008,1.0612
2.92013e-008,1.1288
2.92398e-008,1.1593
2.92784e-008,1.1765
2.93170e-008,1.2038
2.93556e-008,1.2369
2.93941e-008,1.2390
2.94327e-008,1.2197
2.94713e-008,1.1520
2.95099e-008,1.0027
2.95485e-008,0.8191
2.95870e-008,0.6483
2.96256e-008,0.5026
2.96642e-008,0.3999
2.97028e-008,0.3480
2.97413e-008,0.3245
2.97799e-008,0.3094
2.98185e-008,0.2861
2.98570e-008,0.2944
2.98956e-008,0.3313
2.99342e-008,0.4149
2.99728e-008,0.5633
3.00113e-008,0.7516
3.00499e-008,0.9113
3.00885e-008,1.0305
3.01271e-008,1.1109
3.01657e-008,1.1526
3.02042e-008,1.1714
3.02428e-008,1.1876
3.02814e-008,1.2323
3.03199e-008,1.2413
3.03585e-008,1.2291
3.03971e-008,1.1814
3.04357e-008,1.0576
3.04743e-008,0.8760
3.05128e-008,0.7004
3.05514e-008,0.5445
3.05900e-008,0.4271
3.06285e-008,0.3596
3.06671e-008,0.3310
3.07057e-008,0.3136
3.07443e-008,0.3025
3.07829e-008,0.2949
3.08214e-008,0.2872
3.08600e-008,0.2803
3.08986e-008,0.2869
3.09372e-008,0.3052
3.09757e-008,0.3274
3.10143e-008,0.3495
3.10529e-008,0.3695
3.10914e-008,0.3788
3.11300e-008,0.3754
3.11686e-008,0.3655
3.12072e-008,0.3547
3.12458e-008,0.3516
3.12843e-008,0.3733
3.13229e-008,0.4426
3.13615e-008,0.5627
3.14000e-008,0.7175
3.14386e-008,0.8609
3.14772e-008,0.9613
3.15158e-008,1.0242
3.15544e-008,1.0638
3.15929e-008,1.0939
3.16315e-008,1.1240
3.16701e-008,1.1498
3.17087e-008,1.1677
3.17472e-008,1.1782
3.17858e-008,1.1812
3.18244e-008,1.1743
3.18629e-008,1.1605
3.19015e-008,1.1458
3.19401e-008,1.1336
3.19787e-008,1.1276
3.20173e-008,1.1303
3.20558e-008,1.1402
3.20944e-008,1.1514
3.21330e-008,1.1638
3.21715e-008,1.1781
3.22101e-008,1.1847
3.22487e-008,1.1673
3.22873e-008,1.0996
3.23259e-008,0.9695
3.23644e-008,0.8156
3.24030e-008,0.6701
3.24416e-008,0.5465
3.24801e-008,0.4569
3.25187e-008,0.3982
3.25573e-008,0.3602
3.25959e-008,0.3368
3.26344e-008,0.3205
3.26730e-008,0.3060
3.27116e-008,0.2947
3.27502e-008,0.2924
3.27888e-008,0.3012
3.28273e-008,0.3178
3.28659e-008,0.3390
3.29045e-008,0.3596
3.29430e-008,0.3728
3.29816e-008,0.3750
3.30202e-008,0.3696
3.30588e-008,0.3593
3.30974e-008,0.3502
3.31359e-008,0.3553
3.31745e-008,0.3937
3.32131e-008,0.4828
3.32516e-008,0.6176
3.32902e-008,0.7762
