.HEADER
..NAMES
Time,V U1.AD25
.DATA
9.4895e-009,1.1649
9.5280e-009,1.1534
9.5666e-009,1.1508
9.6052e-009,1.1541
9.6437e-009,1.1656
9.6823e-009,1.1747
9.7209e-009,1.1706
9.7595e-009,1.1305
9.7981e-009,1.0288
9.8366e-009,0.8833
9.8752e-009,0.7363
9.9138e-009,0.5981
9.9524e-009,0.4806
9.9909e-009,0.3927
1.00295e-008,0.3386
1.00681e-008,0.3106
1.01066e-008,0.2966
1.01452e-008,0.2885
1.01838e-008,0.2824
1.02224e-008,0.2765
1.02610e-008,0.2715
1.02995e-008,0.2709
1.03381e-008,0.2771
1.03767e-008,0.2920
1.04152e-008,0.3142
1.04538e-008,0.3354
1.04924e-008,0.3496
1.05310e-008,0.3559
1.05695e-008,0.3558
1.06081e-008,0.3509
1.06467e-008,0.3421
1.06853e-008,0.3322
1.07239e-008,0.3245
1.07624e-008,0.3197
1.08010e-008,0.3168
1.08396e-008,0.3152
1.08781e-008,0.3146
1.09167e-008,0.3156
1.09553e-008,0.3169
1.09939e-008,0.3179
1.10324e-008,0.3190
1.10710e-008,0.3256
1.11096e-008,0.3503
1.11482e-008,0.4132
1.11868e-008,0.5241
1.12253e-008,0.6732
1.12639e-008,0.8253
1.13025e-008,0.9397
1.13410e-008,1.0218
1.13796e-008,1.0799
1.14182e-008,1.1208
1.14568e-008,1.1491
1.14953e-008,1.1696
1.15339e-008,1.1851
1.15725e-008,1.1965
1.16111e-008,1.2043
1.16497e-008,1.2085
1.16882e-008,1.2084
1.17268e-008,1.2024
1.17654e-008,1.1893
1.18039e-008,1.1719
1.18425e-008,1.1552
1.18811e-008,1.1470
1.19197e-008,1.1485
1.19583e-008,1.1545
1.19968e-008,1.1611
1.20354e-008,1.1670
1.20740e-008,1.1726
1.21126e-008,1.1773
1.21511e-008,1.1802
1.21897e-008,1.1817
1.22283e-008,1.1825
1.22668e-008,1.1831
1.23054e-008,1.1825
1.23440e-008,1.1813
1.23826e-008,1.1808
1.24212e-008,1.1811
1.24597e-008,1.1871
1.24983e-008,1.1933
1.25369e-008,1.1851
1.25755e-008,1.1391
1.26140e-008,1.0317
1.26526e-008,0.8837
1.26912e-008,0.7347
1.27297e-008,0.5949
1.27683e-008,0.4780
1.28069e-008,0.3925
1.28455e-008,0.3405
1.28841e-008,0.3130
1.29226e-008,0.2981
1.29612e-008,0.2888
1.29998e-008,0.2819
1.30383e-008,0.2761
1.30769e-008,0.2717
1.31155e-008,0.2711
1.31541e-008,0.2770
1.31926e-008,0.2920
1.32312e-008,0.3148
1.32698e-008,0.3362
1.33084e-008,0.3501
1.33470e-008,0.3564
1.33855e-008,0.3580
1.34241e-008,0.3643
1.34627e-008,0.3907
1.35012e-008,0.4586
1.35398e-008,0.5736
1.35784e-008,0.7228
1.36170e-008,0.8626
1.36555e-008,0.9645
1.36941e-008,1.0379
1.37327e-008,1.0917
1.37713e-008,1.1309
1.38099e-008,1.1581
1.38484e-008,1.2005
1.38870e-008,1.2335
1.39256e-008,1.2408
1.39641e-008,1.2221
1.40027e-008,1.1539
1.40413e-008,1.0242
1.40799e-008,0.8606
1.41185e-008,0.6897
1.41570e-008,0.5307
1.41956e-008,0.4043
1.42342e-008,0.3258
1.42728e-008,0.2909
1.43113e-008,0.2731
1.43499e-008,0.2618
1.43885e-008,0.2779
1.44270e-008,0.3256
1.44656e-008,0.4119
1.45042e-008,0.5434
1.45428e-008,0.7039
1.45814e-008,0.8461
1.46199e-008,0.9667
1.46585e-008,1.0653
1.46971e-008,1.1386
1.47357e-008,1.1860
1.47742e-008,1.2188
1.48128e-008,1.2624
1.48514e-008,1.2715
1.48899e-008,1.2566
1.49285e-008,1.2041
1.49671e-008,1.0923
1.50057e-008,0.9341
1.50443e-008,0.7615
1.50828e-008,0.5937
1.51214e-008,0.4524
1.51600e-008,0.3536
1.51985e-008,0.3014
1.52371e-008,0.2808
1.52757e-008,0.2598
1.53143e-008,0.2670
1.53528e-008,0.3032
1.53914e-008,0.3770
1.54300e-008,0.4947
1.54686e-008,0.6515
1.55071e-008,0.8007
1.55457e-008,0.9281
1.55843e-008,1.0345
1.56229e-008,1.1169
1.56615e-008,1.1730
1.57000e-008,1.2061
1.57386e-008,1.2546
1.57772e-008,1.2712
1.58158e-008,1.2642
1.58543e-008,1.2269
1.58929e-008,1.1348
1.59315e-008,0.9872
1.59701e-008,0.8174
1.60086e-008,0.6454
1.60472e-008,0.4935
1.60858e-008,0.3797
1.61243e-008,0.3137
1.61629e-008,0.2854
1.62015e-008,0.2750
1.62401e-008,0.2698
1.62786e-008,0.2673
1.63172e-008,0.2637
1.63558e-008,0.2597
1.63944e-008,0.2609
1.64329e-008,0.2685
1.64715e-008,0.2834
1.65101e-008,0.3048
1.65487e-008,0.3269
1.65873e-008,0.3447
1.66258e-008,0.3553
1.66644e-008,0.3580
1.67030e-008,0.3544
1.67416e-008,0.3461
1.67801e-008,0.3355
1.68187e-008,0.3263
1.68573e-008,0.3206
1.68959e-008,0.3173
1.69344e-008,0.3153
1.69730e-008,0.3148
1.70116e-008,0.3157
1.70501e-008,0.3169
1.70887e-008,0.3178
1.71273e-008,0.3178
1.71659e-008,0.3169
1.72044e-008,0.3154
1.72430e-008,0.3139
1.72816e-008,0.3129
1.73202e-008,0.3124
1.73588e-008,0.3123
1.73973e-008,0.3128
1.74359e-008,0.3136
1.74745e-008,0.3142
1.75131e-008,0.3144
1.75516e-008,0.3145
1.75902e-008,0.3151
1.76288e-008,0.3213
1.76674e-008,0.3423
1.77059e-008,0.3964
1.77445e-008,0.4985
1.77831e-008,0.6416
1.78216e-008,0.7989
1.78602e-008,0.9208
1.78988e-008,1.0081
1.79374e-008,1.0699
1.79759e-008,1.1138
1.80145e-008,1.1441
1.80531e-008,1.1655
1.80917e-008,1.1821
1.81302e-008,1.1944
1.81688e-008,1.2032
1.82074e-008,1.2084
1.82460e-008,1.2095
1.82846e-008,1.2048
1.83231e-008,1.1928
1.83617e-008,1.1759
1.84003e-008,1.1584
1.84389e-008,1.1479
1.84774e-008,1.1477
1.85160e-008,1.1534
1.85546e-008,1.1601
1.85932e-008,1.1662
1.86317e-008,1.1718
1.86703e-008,1.1767
1.87089e-008,1.1801
1.87474e-008,1.1818
1.87860e-008,1.1827
1.88246e-008,1.1833
1.88632e-008,1.1829
1.89017e-008,1.1818
1.89403e-008,1.1810
1.89789e-008,1.1812
1.90175e-008,1.1858
1.90560e-008,1.1929
1.90946e-008,1.1893
1.91332e-008,1.1541
1.91718e-008,1.0600
1.92104e-008,0.9165
1.92489e-008,0.7666
1.92875e-008,0.6237
1.93261e-008,0.5010
1.93647e-008,0.4082
1.94032e-008,0.3492
1.94418e-008,0.3176
1.94804e-008,0.3010
1.95190e-008,0.2908
1.95575e-008,0.2834
1.95961e-008,0.2775
