.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
9.0651e-009,-0.6494
9.1037e-009,-0.4756
9.1423e-009,-0.2625
9.1808e-009,-0.0238
9.2194e-009,0.2114
9.2580e-009,0.4009
9.2966e-009,0.5679
9.3352e-009,0.6890
9.3737e-009,0.7712
9.4123e-009,0.8618
9.4509e-009,0.8860
9.4895e-009,0.8747
9.5280e-009,0.7897
9.5666e-009,0.5973
9.6052e-009,0.3320
9.6437e-009,0.0327
9.6823e-009,-0.2662
9.7209e-009,-0.4957
9.7595e-009,-0.6516
9.7981e-009,-0.7451
9.8366e-009,-0.7900
9.8752e-009,-0.8222
9.9138e-009,-0.8119
9.9524e-009,-0.7787
9.9909e-009,-0.6935
1.00295e-008,-0.5349
1.00681e-008,-0.3333
1.01066e-008,-0.1014
1.01452e-008,0.1411
1.01838e-008,0.3440
1.02224e-008,0.5187
1.02610e-008,0.6561
1.02995e-008,0.7483
1.03381e-008,0.8411
1.03767e-008,0.8845
1.04152e-008,0.8827
1.04538e-008,0.8286
1.04924e-008,0.6680
1.05310e-008,0.4209
1.05695e-008,0.1296
1.06081e-008,-0.1753
1.06467e-008,-0.4328
1.06853e-008,-0.6090
1.07239e-008,-0.7223
1.07624e-008,-0.7793
1.08010e-008,-0.8155
1.08396e-008,-0.8204
1.08781e-008,-0.7874
1.09167e-008,-0.7299
1.09553e-008,-0.5904
1.09939e-008,-0.4015
1.10324e-008,-0.1772
1.10710e-008,0.0663
1.11096e-008,0.2849
1.11482e-008,0.4658
1.11868e-008,0.6184
1.12253e-008,0.7224
1.12639e-008,0.8130
1.13025e-008,0.8781
1.13410e-008,0.8832
1.13796e-008,0.8561
1.14182e-008,0.7299
1.14568e-008,0.5058
1.14953e-008,0.2248
1.15339e-008,-0.0802
1.15725e-008,-0.3613
1.16111e-008,-0.5603
1.16497e-008,-0.6934
1.16882e-008,-0.7657
1.17268e-008,-0.8031
1.17654e-008,-0.8242
1.18039e-008,-0.7964
1.18425e-008,-0.7581
1.18811e-008,-0.6413
1.19197e-008,-0.4659
1.19583e-008,-0.2507
1.19968e-008,-0.0111
1.20354e-008,0.2217
1.20740e-008,0.4102
1.21126e-008,0.5757
1.21511e-008,0.6938
1.21897e-008,0.7750
1.22283e-008,0.8635
1.22668e-008,0.8852
1.23054e-008,0.8720
1.23440e-008,0.7821
1.23826e-008,0.5847
1.24212e-008,0.3173
1.24597e-008,0.0170
1.24983e-008,-0.2805
1.25369e-008,-0.5053
1.25755e-008,-0.6579
1.26140e-008,-0.7483
1.26526e-008,-0.7913
1.26912e-008,-0.8237
1.27297e-008,-0.8105
1.27683e-008,-0.7781
1.28069e-008,-0.6869
1.28455e-008,-0.5259
1.28841e-008,-0.3223
1.29226e-008,-0.0892
1.29612e-008,0.1525
1.29998e-008,0.3531
1.30383e-008,0.5274
1.30769e-008,0.6616
1.31155e-008,0.7523
1.31541e-008,0.8436
1.31926e-008,0.8847
1.32312e-008,0.8807
1.32698e-008,0.8228
1.33084e-008,0.6567
1.33470e-008,0.4064
1.33855e-008,0.1142
1.34241e-008,-0.1906
1.34627e-008,-0.4438
1.35012e-008,-0.6162
1.35398e-008,-0.7264
1.35784e-008,-0.7810
1.36170e-008,-0.8180
1.36555e-008,-0.8199
1.36941e-008,-0.7896
1.37327e-008,-0.7249
1.37713e-008,-0.5818
1.38099e-008,-0.3911
1.38484e-008,-0.1653
1.38870e-008,0.0783
1.39256e-008,0.2943
1.39641e-008,0.4751
1.40027e-008,0.6249
1.40413e-008,0.7266
1.40799e-008,0.8160
1.41185e-008,0.8788
1.41570e-008,0.8818
1.41956e-008,0.8519
1.42342e-008,0.7202
1.42728e-008,0.4920
1.43113e-008,0.2096
1.43499e-008,-0.0958
1.43885e-008,-0.3739
1.44270e-008,-0.5685
1.44656e-008,-0.6987
1.45042e-008,-0.7679
1.45428e-008,-0.8039
1.45814e-008,-0.8237
1.46199e-008,-0.7937
1.46585e-008,-0.7532
1.46971e-008,-0.6337
1.47357e-008,-0.4557
1.47742e-008,-0.2390
1.48128e-008,0.0012
1.48514e-008,0.2326
1.48899e-008,0.4189
1.49285e-008,0.5826
1.49671e-008,0.6986
1.50057e-008,0.7782
1.50443e-008,0.8669
1.50828e-008,0.8853
1.51214e-008,0.8705
1.51600e-008,0.7745
1.51985e-008,0.5726
1.52371e-008,0.3024
1.52757e-008,0.0010
1.53143e-008,-0.2943
1.53528e-008,-0.5147
1.53914e-008,-0.6643
1.54300e-008,-0.7516
1.54686e-008,-0.7931
1.55071e-008,-0.8235
1.55457e-008,-0.8084
1.55843e-008,-0.7739
1.56229e-008,-0.6801
1.56615e-008,-0.5164
1.57000e-008,-0.3107
1.57386e-008,-0.0766
1.57772e-008,0.1643
1.58158e-008,0.3623
1.58543e-008,0.5349
1.58929e-008,0.6670
1.59315e-008,0.7560
1.59701e-008,0.8486
1.60086e-008,0.8855
1.60472e-008,0.8808
1.60858e-008,0.8172
1.61243e-008,0.6458
1.61629e-008,0.3923
1.62015e-008,0.0982
1.62401e-008,-0.2057
1.62786e-008,-0.4542
1.63172e-008,-0.6234
1.63558e-008,-0.7304
1.63944e-008,-0.7832
1.64329e-008,-0.8184
1.64715e-008,-0.8183
1.65101e-008,-0.7861
1.65487e-008,-0.7192
1.65873e-008,-0.5729
1.66258e-008,-0.3800
1.66644e-008,-0.1531
1.67030e-008,0.0907
1.67416e-008,0.3042
1.67801e-008,0.4832
1.68187e-008,0.6310
1.68573e-008,0.7308
1.68959e-008,0.8229
1.69344e-008,0.8806
1.69730e-008,0.8840
1.70116e-008,0.8483
1.70501e-008,0.7106
1.70887e-008,0.4788
1.71273e-008,0.1941
1.71659e-008,-0.1114
1.72044e-008,-0.3858
1.72430e-008,-0.5769
1.72816e-008,-0.7036
1.73202e-008,-0.7705
1.73588e-008,-0.8080
1.73973e-008,-0.8237
1.74359e-008,-0.7910
1.74745e-008,-0.7500
1.75131e-008,-0.6254
1.75516e-008,-0.4458
1.75902e-008,-0.2272
1.76288e-008,0.0138
1.76674e-008,0.2427
1.77059e-008,0.4283
1.77445e-008,0.5901
1.77831e-008,0.7034
1.78216e-008,0.7820
1.78602e-008,0.8684
1.78988e-008,0.8844
1.79374e-008,0.8674
1.79759e-008,0.7663
1.80145e-008,0.5597
1.80531e-008,0.2877
1.80917e-008,-0.0146
1.81302e-008,-0.3081
1.81688e-008,-0.5239
1.82074e-008,-0.6702
1.82460e-008,-0.7546
1.82846e-008,-0.7943
1.83231e-008,-0.8246
1.83617e-008,-0.8067
1.84003e-008,-0.7726
1.84389e-008,-0.6730
1.84774e-008,-0.5071
1.85160e-008,-0.2996
1.85546e-008,-0.0643
1.85932e-008,0.1755
1.86317e-008,0.3716
1.86703e-008,0.5433
1.87089e-008,0.6723
1.87474e-008,0.7598
1.87860e-008,0.8508
1.88246e-008,0.8854
1.88632e-008,0.8787
1.89017e-008,0.8109
1.89403e-008,0.6340
1.89789e-008,0.3778
1.90175e-008,0.0827
1.90560e-008,-0.2206
1.90946e-008,-0.4648
1.91332e-008,-0.6303
1.91718e-008,-0.7342
1.92104e-008,-0.7847
1.92489e-008,-0.8205
1.92875e-008,-0.8174
1.93261e-008,-0.7872
1.93647e-008,-0.7136
1.94032e-008,-0.5641
1.94418e-008,-0.3694
1.94804e-008,-0.1410
1.95190e-008,0.1027
1.95575e-008,0.3135
1.95961e-008,0.4923
1.96347e-008,0.6373
1.96732e-008,0.7350
1.97118e-008,0.8258
1.97504e-008,0.8812
1.97890e-008,0.8824
1.98275e-008,0.8436
1.98661e-008,0.7004
1.99047e-008,0.4648
1.99433e-008,0.1788
1.99819e-008,-0.1269
2.00204e-008,-0.3977
2.00590e-008,-0.5848
2.00976e-008,-0.7085
2.01362e-008,-0.7725
2.01747e-008,-0.8114
2.02133e-008,-0.8237
2.02519e-008,-0.7911
2.02905e-008,-0.7463
2.03290e-008,-0.6171
2.03676e-008,-0.4359
2.04062e-008,-0.2156
2.04447e-008,0.0263
2.04833e-008,0.2526
2.05219e-008,0.4378
2.05605e-008,0.5972
2.05990e-008,0.7080
2.06376e-008,0.7920
2.06762e-008,0.8714
2.07148e-008,0.8839
2.07533e-008,0.8656
2.07919e-008,0.7577
2.08305e-008,0.5469
2.08691e-008,0.2726
2.09077e-008,-0.0307
2.09462e-008,-0.3213
2.09848e-008,-0.5330
2.10234e-008,-0.6763
2.10620e-008,-0.7575
2.11005e-008,-0.7959
2.11391e-008,-0.8243
2.11777e-008,-0.8043
2.12163e-008,-0.7683
2.12548e-008,-0.6660
2.12934e-008,-0.4973
2.13320e-008,-0.2880
2.13705e-008,-0.0516
2.14091e-008,0.1872
2.14477e-008,0.3807
2.14863e-008,0.5508
2.15248e-008,0.6776
2.15634e-008,0.7632
2.16020e-008,0.8553
2.16406e-008,0.8859
2.16791e-008,0.8783
2.17177e-008,0.8046
2.17563e-008,0.6228
2.17949e-008,0.3635
2.18335e-008,0.0667
2.18720e-008,-0.2353
2.19106e-008,-0.4747
2.19492e-008,-0.6373
2.19878e-008,-0.7379
2.20263e-008,-0.7867
2.20649e-008,-0.8207
2.21035e-008,-0.8156
2.21420e-008,-0.7834
2.21806e-008,-0.7075
2.22192e-008,-0.5550
2.22578e-008,-0.3580
2.22963e-008,-0.1286
2.23349e-008,0.1149
2.23735e-008,0.3232
2.24121e-008,0.5002
2.24506e-008,0.6432
2.24892e-008,0.7391
2.25278e-008,0.8321
