.HEADER
..NAMES
Time,V U1.AE13
.DATA
9.0220e-009,0.2467
9.0587e-009,0.2327
9.0954e-009,0.2266
9.1321e-009,0.2246
9.1688e-009,0.2235
9.2054e-009,0.2211
9.2421e-009,0.2166
9.2788e-009,0.2107
9.3154e-009,0.2049
9.3521e-009,0.2013
9.3888e-009,0.2016
9.4255e-009,0.2063
9.4622e-009,0.2131
9.4988e-009,0.2205
9.5355e-009,0.2302
9.5722e-009,0.2474
9.6088e-009,0.2763
9.6455e-009,0.3130
9.6822e-009,0.3475
9.7189e-009,0.3703
9.7556e-009,0.3780
9.7922e-009,0.3742
9.8289e-009,0.3695
9.8656e-009,0.3716
9.9022e-009,0.3816
9.9389e-009,0.3953
9.9756e-009,0.4062
1.00123e-008,0.4099
1.00490e-008,0.4062
1.00856e-008,0.3989
1.01223e-008,0.3924
1.01590e-008,0.3902
1.01956e-008,0.3930
1.02323e-008,0.3999
1.02690e-008,0.4080
1.03057e-008,0.4145
1.03424e-008,0.4171
1.03790e-008,0.4156
1.04157e-008,0.4130
1.04524e-008,0.4170
1.04890e-008,0.4384
1.05257e-008,0.4934
1.05624e-008,0.5924
1.05991e-008,0.7131
1.06358e-008,0.8324
1.06724e-008,0.9130
1.07091e-008,0.9619
1.07458e-008,0.9951
1.07824e-008,1.0218
1.08191e-008,1.0450
1.08558e-008,1.0640
1.08925e-008,1.0787
1.09292e-008,1.0911
1.09658e-008,1.1032
1.10025e-008,1.1151
1.10392e-008,1.1253
1.10758e-008,1.1319
1.11125e-008,1.1340
1.11492e-008,1.1319
1.11859e-008,1.1269
1.12226e-008,1.1205
1.12592e-008,1.1147
1.12959e-008,1.1105
1.13326e-008,1.1076
1.13693e-008,1.1030
1.14059e-008,1.0917
1.14426e-008,1.0707
1.14793e-008,1.0436
1.15159e-008,1.0188
1.15526e-008,1.0061
1.15893e-008,1.0076
1.16260e-008,1.0183
1.16627e-008,1.0292
1.16993e-008,1.0329
1.17360e-008,1.0277
1.17727e-008,1.0177
1.18093e-008,1.0089
1.18460e-008,1.0051
1.18827e-008,1.0064
1.19194e-008,1.0104
1.19561e-008,1.0139
1.19927e-008,1.0149
1.20294e-008,1.0134
1.20661e-008,1.0104
1.21027e-008,1.0073
1.21394e-008,1.0053
1.21761e-008,1.0049
1.22128e-008,1.0058
1.22495e-008,1.0071
1.22861e-008,1.0082
1.23228e-008,1.0093
1.23595e-008,1.0117
1.23961e-008,1.0171
1.24328e-008,1.0262
1.24695e-008,1.0382
1.25062e-008,1.0506
1.25429e-008,1.0610
1.25795e-008,1.0685
1.26162e-008,1.0738
1.26529e-008,1.0785
1.26895e-008,1.0835
1.27262e-008,1.0882
1.27629e-008,1.0912
1.27996e-008,1.0912
1.28363e-008,1.0887
1.28729e-008,1.0858
1.29096e-008,1.0842
1.29463e-008,1.0850
1.29829e-008,1.0880
1.30196e-008,1.0920
1.30563e-008,1.0955
1.30930e-008,1.0973
1.31297e-008,1.0972
1.31663e-008,1.0957
1.32030e-008,1.0949
1.32397e-008,1.0955
1.32763e-008,1.1006
1.33130e-008,1.1042
1.33497e-008,1.0948
1.33864e-008,1.0537
1.34231e-008,0.9622
1.34597e-008,0.8362
1.34964e-008,0.7047
1.35331e-008,0.5872
1.35697e-008,0.4965
1.36064e-008,0.4345
1.36431e-008,0.3938
1.36798e-008,0.3668
1.37165e-008,0.3472
1.37531e-008,0.3330
1.37898e-008,0.3227
1.38265e-008,0.3154
1.38631e-008,0.3099
1.38998e-008,0.3054
1.39365e-008,0.3011
1.39732e-008,0.2972
1.40099e-008,0.2945
1.40465e-008,0.2937
1.40832e-008,0.2952
1.41199e-008,0.2990
1.41565e-008,0.3035
1.41932e-008,0.3083
1.42299e-008,0.3147
1.42666e-008,0.3263
1.43033e-008,0.3458
1.43399e-008,0.3706
1.43766e-008,0.3945
1.44133e-008,0.4104
1.44499e-008,0.4144
1.44866e-008,0.4078
1.45233e-008,0.3978
1.45600e-008,0.3913
1.45967e-008,0.3917
1.46333e-008,0.3983
1.46700e-008,0.4072
1.47067e-008,0.4138
1.47433e-008,0.4154
1.47800e-008,0.4124
1.48167e-008,0.4070
1.48534e-008,0.4025
1.48901e-008,0.4010
1.49267e-008,0.4031
1.49634e-008,0.4075
1.50001e-008,0.4123
1.50368e-008,0.4156
1.50734e-008,0.4163
1.51101e-008,0.4164
1.51468e-008,0.4229
1.51834e-008,0.4466
1.52201e-008,0.5055
1.52568e-008,0.6071
1.52935e-008,0.7287
1.53301e-008,0.8461
1.53668e-008,0.9235
