.HEADER
..NAMES
Time,V U1.AE10
.DATA
9.4895e-009,0.3638
9.5280e-009,0.3613
9.5666e-009,0.3527
9.6052e-009,0.3419
9.6437e-009,0.3317
9.6823e-009,0.3242
9.7209e-009,0.3208
9.7595e-009,0.3199
9.7981e-009,0.3199
9.8366e-009,0.3204
9.8752e-009,0.3205
9.9138e-009,0.3188
9.9524e-009,0.3161
9.9909e-009,0.3143
1.00295e-008,0.3134
1.00681e-008,0.3132
1.01066e-008,0.3164
1.01452e-008,0.3292
1.01838e-008,0.3658
1.02224e-008,0.4457
1.02610e-008,0.5704
1.02995e-008,0.7250
1.03381e-008,0.8628
1.03767e-008,0.9622
1.04152e-008,1.0328
1.04538e-008,1.0849
1.04924e-008,1.1239
1.05310e-008,1.1523
1.05695e-008,1.1995
1.06081e-008,1.2280
1.06467e-008,1.2284
1.06853e-008,1.1948
1.07239e-008,1.0994
1.07624e-008,0.9381
1.08010e-008,0.7620
1.08396e-008,0.6052
1.08781e-008,0.4829
1.09167e-008,0.3964
1.09553e-008,0.3411
1.09939e-008,0.3114
1.10324e-008,0.2877
1.10710e-008,0.2716
1.11096e-008,0.2871
1.11482e-008,0.3442
1.11868e-008,0.4550
1.12253e-008,0.6220
1.12639e-008,0.8102
1.13025e-008,0.9608
1.13410e-008,1.0645
1.13796e-008,1.1285
1.14182e-008,1.1641
1.14568e-008,1.1820
1.14953e-008,1.2038
1.15339e-008,1.2361
1.15725e-008,1.2408
1.16111e-008,1.2193
1.16497e-008,1.1479
1.16882e-008,1.0065
1.17268e-008,0.8287
1.17654e-008,0.6581
1.18039e-008,0.5166
1.18425e-008,0.4149
1.18811e-008,0.3500
1.19197e-008,0.3143
1.19583e-008,0.2980
1.19968e-008,0.2864
1.20354e-008,0.2782
1.20740e-008,0.2770
1.21126e-008,0.2825
1.21511e-008,0.2964
1.21897e-008,0.3187
1.22283e-008,0.3416
1.22668e-008,0.3574
1.23054e-008,0.3638
1.23440e-008,0.3616
1.23826e-008,0.3531
1.24212e-008,0.3421
1.24597e-008,0.3316
1.24983e-008,0.3242
1.25369e-008,0.3207
1.25755e-008,0.3198
1.26140e-008,0.3198
1.26526e-008,0.3204
1.26912e-008,0.3204
1.27297e-008,0.3187
1.27683e-008,0.3162
1.28069e-008,0.3145
1.28455e-008,0.3135
1.28841e-008,0.3132
1.29226e-008,0.3168
1.29612e-008,0.3303
1.29998e-008,0.3687
1.30383e-008,0.4511
1.30769e-008,0.5779
1.31155e-008,0.7333
1.31541e-008,0.8689
1.31926e-008,0.9665
1.32312e-008,1.0359
1.32698e-008,1.0873
1.33084e-008,1.1256
1.33470e-008,1.1537
1.33855e-008,1.1729
1.34241e-008,1.1840
1.34627e-008,1.1877
1.35012e-008,1.1836
1.35398e-008,1.1722
1.35784e-008,1.1566
1.36170e-008,1.1429
1.36555e-008,1.1383
1.36941e-008,1.1428
1.37327e-008,1.1511
1.37713e-008,1.1588
1.38099e-008,1.1655
1.38484e-008,1.1710
1.38870e-008,1.1748
1.39256e-008,1.1771
1.39641e-008,1.1782
1.40027e-008,1.1785
1.40413e-008,1.1785
1.40799e-008,1.1791
1.41185e-008,1.1810
1.41570e-008,1.1834
1.41956e-008,1.1846
1.42342e-008,1.1844
1.42728e-008,1.1840
1.43113e-008,1.1837
1.43499e-008,1.1835
1.43885e-008,1.1834
1.44270e-008,1.1833
1.44656e-008,1.1832
1.45042e-008,1.1833
1.45428e-008,1.1834
1.45814e-008,1.1836
1.46199e-008,1.1838
1.46585e-008,1.1837
1.46971e-008,1.1835
1.47357e-008,1.1833
1.47742e-008,1.1836
1.48128e-008,1.1891
1.48514e-008,1.1920
1.48899e-008,1.1774
1.49285e-008,1.1197
