.HEADER
..NAMES
Time,V U1.AA12
.DATA
0.0e+000,0.3245
3.67e-011,0.3245
7.33e-011,0.3245
1.100e-010,0.3258
1.467e-010,0.3337
1.834e-010,0.3583
2.201e-010,0.4159
2.567e-010,0.5118
2.934e-010,0.6325
3.301e-010,0.7536
3.667e-010,0.8448
4.034e-010,0.9120
4.401e-010,0.9639
4.768e-010,1.0063
5.135e-010,1.0405
5.501e-010,1.0664
5.868e-010,1.0841
6.235e-010,1.0965
6.601e-010,1.1053
6.968e-010,1.1117
7.335e-010,1.1164
7.702e-010,1.1200
8.068e-010,1.1225
8.435e-010,1.1242
8.802e-010,1.1249
9.169e-010,1.1238
9.536e-010,1.1207
9.902e-010,1.1148
1.0269e-009,1.1039
1.0636e-009,1.0888
1.1003e-009,1.0706
1.1369e-009,1.0424
1.1736e-009,0.9937
1.2103e-009,0.9044
1.2469e-009,0.7790
1.2836e-009,0.6524
1.3203e-009,0.5405
1.3570e-009,0.4449
1.3936e-009,0.3677
1.4303e-009,0.3110
1.4670e-009,0.2746
1.5037e-009,0.2544
1.5403e-009,0.2446
1.5770e-009,0.2394
1.6137e-009,0.2349
1.6504e-009,0.2292
1.6871e-009,0.2228
1.7237e-009,0.2167
1.7604e-009,0.2117
1.7971e-009,0.2081
1.8338e-009,0.2063
1.8704e-009,0.2067
1.9071e-009,0.2099
1.9438e-009,0.2169
1.9805e-009,0.2295
2.0171e-009,0.2504
2.0538e-009,0.2810
2.0905e-009,0.3167
2.1272e-009,0.3482
2.1638e-009,0.3683
2.2005e-009,0.3756
2.2372e-009,0.3752
2.2738e-009,0.3749
2.3105e-009,0.3804
2.3472e-009,0.3911
2.3839e-009,0.4019
2.4205e-009,0.4078
2.4572e-009,0.4069
2.4939e-009,0.4015
2.5306e-009,0.3959
2.5672e-009,0.3934
2.6039e-009,0.3950
2.6406e-009,0.3997
2.6773e-009,0.4054
2.7139e-009,0.4104
2.7506e-009,0.4138
2.7873e-009,0.4153
2.8240e-009,0.4154
2.8606e-009,0.4146
2.8973e-009,0.4132
2.9340e-009,0.4153
2.9707e-009,0.4268
3.0073e-009,0.4612
3.0440e-009,0.5370
3.0807e-009,0.6455
3.1174e-009,0.7665
3.1540e-009,0.8652
3.1907e-009,0.9267
3.2274e-009,0.9664
3.2641e-009,0.9967
3.3007e-009,1.0248
3.3374e-009,1.0525
3.3741e-009,1.0775
3.4108e-009,1.0989
3.4475e-009,1.1146
3.4841e-009,1.1239
3.5208e-009,1.1273
3.5575e-009,1.1272
3.5942e-009,1.1258
3.6308e-009,1.1248
3.6675e-009,1.1246
3.7042e-009,1.1248
3.7408e-009,1.1237
3.7775e-009,1.1194
3.8142e-009,1.1099
3.8509e-009,1.0936
3.8875e-009,1.0706
3.9242e-009,1.0447
3.9609e-009,1.0225
3.9976e-009,1.0116
