.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
9.4509e-009,1.1884
9.4895e-009,1.1630
9.5280e-009,1.0914
9.5666e-009,0.9435
9.6052e-009,0.7678
9.6437e-009,0.6225
9.6823e-009,0.5150
9.7209e-009,0.4470
9.7595e-009,0.4014
9.7981e-009,0.3712
9.8366e-009,0.3503
9.8752e-009,0.3232
9.9138e-009,0.3327
9.9524e-009,0.3795
9.9909e-009,0.4794
1.00295e-008,0.6433
1.00681e-008,0.8313
1.01066e-008,0.9713
1.01452e-008,1.0503
1.01838e-008,1.0874
1.02224e-008,1.1057
1.02610e-008,1.1236
1.02995e-008,1.1395
1.03381e-008,1.1798
1.03767e-008,1.1913
1.04152e-008,1.1740
1.04538e-008,1.1225
1.04924e-008,0.9965
1.05310e-008,0.8218
1.05695e-008,0.6646
1.06081e-008,0.5444
1.06467e-008,0.4654
1.06853e-008,0.4139
1.07239e-008,0.3793
1.07624e-008,0.3562
1.08010e-008,0.3291
1.08396e-008,0.3254
1.08781e-008,0.3603
1.09167e-008,0.4407
1.09553e-008,0.5863
1.09939e-008,0.7733
1.10324e-008,0.9347
1.10710e-008,1.0307
1.11096e-008,1.0788
1.11482e-008,1.1004
1.11868e-008,1.1176
1.12253e-008,1.1350
1.12639e-008,1.1665
1.13025e-008,1.1916
1.13410e-008,1.1821
1.13796e-008,1.1450
1.14182e-008,1.0443
1.14568e-008,0.8780
1.14953e-008,0.7102
1.15339e-008,0.5780
1.15725e-008,0.4864
1.16111e-008,0.4282
1.16497e-008,0.3888
1.16882e-008,0.3627
1.17268e-008,0.3403
1.17654e-008,0.3217
1.18039e-008,0.3453
1.18425e-008,0.4087
1.18811e-008,0.5336
1.19197e-008,0.7128
1.19583e-008,0.8913
1.19968e-008,1.0063
1.20354e-008,1.0676
1.20740e-008,1.0950
1.21126e-008,1.1119
1.21511e-008,1.1300
1.21897e-008,1.1436
1.22283e-008,1.1871
1.22668e-008,1.1873
1.23054e-008,1.1607
1.23440e-008,1.0858
1.23826e-008,0.9343
1.24212e-008,0.7592
1.24597e-008,0.6159
1.24983e-008,0.5106
1.25369e-008,0.4443
1.25755e-008,0.3995
1.26140e-008,0.3699
1.26526e-008,0.3496
1.26912e-008,0.3220
1.27297e-008,0.3338
1.27683e-008,0.3830
1.28069e-008,0.4864
1.28455e-008,0.6526
1.28841e-008,0.8401
1.29226e-008,0.9766
1.29612e-008,1.0530
1.29998e-008,1.0886
1.30383e-008,1.1065
1.30769e-008,1.1244
1.31155e-008,1.1403
1.31541e-008,1.1797
1.31926e-008,1.1905
1.32312e-008,1.1722
1.32698e-008,1.1181
1.33084e-008,0.9883
1.33470e-008,0.8125
1.33855e-008,0.6574
1.34241e-008,0.5393
1.34627e-008,0.4623
1.35012e-008,0.4119
1.35398e-008,0.3777
1.35784e-008,0.3552
1.36170e-008,0.3268
1.36555e-008,0.3259
1.36941e-008,0.3629
1.37327e-008,0.4464
1.37713e-008,0.5951
1.38099e-008,0.7827
1.38484e-008,0.9410
1.38870e-008,1.0341
1.39256e-008,1.0803
1.39641e-008,1.1012
1.40027e-008,1.1185
1.40413e-008,1.1358
1.40799e-008,1.1668
1.41185e-008,1.1911
1.41570e-008,1.1807
1.41956e-008,1.1418
1.42342e-008,1.0371
1.42728e-008,0.8686
1.43113e-008,0.7023
1.43499e-008,0.5723
1.43885e-008,0.4827
1.44270e-008,0.4258
1.44656e-008,0.3869
1.45042e-008,0.3617
1.45428e-008,0.3401
1.45814e-008,0.3225
1.46199e-008,0.3475
1.46585e-008,0.4134
1.46971e-008,0.5413
1.47357e-008,0.7222
1.47742e-008,0.8989
1.48128e-008,1.0106
1.48514e-008,1.0697
1.48899e-008,1.0958
1.49285e-008,1.1129
1.49671e-008,1.1309
1.50057e-008,1.1438
1.50443e-008,1.1889
1.50828e-008,1.1869
1.51214e-008,1.1585
1.51600e-008,1.0794
1.51985e-008,0.9254
1.52371e-008,0.7511
1.52757e-008,0.6095
1.53143e-008,0.5063
