.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
0.0e+000,1.1787
3.86e-011,1.1787
7.72e-011,1.1787
1.157e-010,1.1787
1.543e-010,1.1787
1.929e-010,1.1787
2.314e-010,1.1787
2.700e-010,1.1787
3.086e-010,1.1787
3.472e-010,1.1787
3.857e-010,1.1787
4.243e-010,1.1787
4.629e-010,1.1787
5.015e-010,1.1787
5.401e-010,1.1802
5.786e-010,1.1838
6.172e-010,1.1853
6.558e-010,1.1713
6.944e-010,1.1186
7.329e-010,1.0134
7.715e-010,0.8763
8.101e-010,0.7319
8.486e-010,0.6004
8.872e-010,0.5004
9.258e-010,0.4367
9.644e-010,0.3995
1.0029e-009,0.3820
1.0415e-009,0.3769
1.0801e-009,0.3957
1.1187e-009,0.4419
1.1572e-009,0.5251
1.1958e-009,0.6553
1.2344e-009,0.8042
1.2730e-009,0.9225
1.3115e-009,1.0048
1.3501e-009,1.0518
1.3887e-009,1.0674
1.4273e-009,1.0727
1.4658e-009,1.0785
1.5044e-009,1.1090
1.5430e-009,1.1194
1.5816e-009,1.1175
1.6202e-009,1.0938
1.6587e-009,1.0062
1.6973e-009,0.8719
1.7359e-009,0.7344
1.7745e-009,0.6010
1.8130e-009,0.4902
1.8516e-009,0.4235
1.8902e-009,0.3918
1.9288e-009,0.3802
1.9673e-009,0.3747
2.0059e-009,0.3924
2.0445e-009,0.4292
2.0830e-009,0.4940
2.1216e-009,0.6043
2.1602e-009,0.7541
2.1988e-009,0.8861
2.2374e-009,0.9806
2.2759e-009,1.0415
2.3145e-009,1.0672
2.3531e-009,1.0712
2.3916e-009,1.0761
2.4302e-009,1.1047
2.4688e-009,1.1170
2.5074e-009,1.1191
2.5459e-009,1.1059
2.5845e-009,1.0410
2.6231e-009,0.9161
2.6617e-009,0.7772
2.7003e-009,0.6428
2.7388e-009,0.5219
2.7774e-009,0.4398
2.8160e-009,0.3993
2.8545e-009,0.3818
2.8931e-009,0.3728
2.9317e-009,0.3849
2.9703e-009,0.4151
3.0089e-009,0.4706
3.0474e-009,0.5639
3.0860e-009,0.7056
3.1246e-009,0.8485
3.1631e-009,0.9545
3.2017e-009,1.0260
3.2403e-009,1.0629
3.2789e-009,1.0706
3.3175e-009,1.0741
3.3560e-009,1.0948
3.3946e-009,1.1123
3.4332e-009,1.1193
3.4717e-009,1.1111
3.5103e-009,1.0699
3.5489e-009,0.9604
3.5875e-009,0.8207
3.6260e-009,0.6848
3.6646e-009,0.5573
3.7032e-009,0.4609
3.7418e-009,0.4090
3.7803e-009,0.3854
3.8189e-009,0.3752
3.8575e-009,0.3789
3.8961e-009,0.4031
3.9346e-009,0.4503
3.9732e-009,0.5289
4.0118e-009,0.6571
4.0504e-009,0.8070
4.0890e-009,0.9250
4.1275e-009,1.0070
4.1661e-009,1.0553
4.2047e-009,1.0700
4.2433e-009,1.0729
4.2818e-009,1.0779
4.3204e-009,1.1087
4.3590e-009,1.1188
4.3975e-009,1.1161
4.4361e-009,1.0907
4.4747e-009,1.0008
4.5133e-009,0.8650
