.HEADER
..NAMES
Time,V U1.Y11
.DATA
9.0220e-009,1.0755
9.0587e-009,1.0893
9.0954e-009,1.0989
9.1321e-009,1.1055
9.1688e-009,1.1103
9.2054e-009,1.1133
9.2421e-009,1.1147
9.2788e-009,1.1144
9.3154e-009,1.1125
9.3521e-009,1.1093
9.3888e-009,1.1063
9.4255e-009,1.1035
9.4622e-009,1.0994
9.4988e-009,1.0908
9.5355e-009,1.0753
9.5722e-009,1.0540
9.6088e-009,1.0320
9.6455e-009,1.0169
9.6822e-009,1.0130
9.7189e-009,1.0181
9.7556e-009,1.0262
9.7922e-009,1.0308
9.8289e-009,1.0285
9.8656e-009,1.0211
9.9022e-009,1.0129
9.9389e-009,1.0078
9.9756e-009,1.0074
1.00123e-008,1.0107
1.00490e-008,1.0152
1.00856e-008,1.0182
1.01223e-008,1.0187
1.01590e-008,1.0167
1.01956e-008,1.0136
1.02323e-008,1.0109
1.02690e-008,1.0095
1.03057e-008,1.0096
1.03424e-008,1.0113
1.03790e-008,1.0144
1.04157e-008,1.0185
1.04524e-008,1.0261
1.04890e-008,1.0340
1.05257e-008,1.0304
1.05624e-008,0.9978
1.05991e-008,0.9146
1.06358e-008,0.7936
1.06724e-008,0.6702
1.07091e-008,0.5636
1.07458e-008,0.4821
1.07824e-008,0.4251
1.08191e-008,0.3875
1.08558e-008,0.3603
1.08925e-008,0.3396
1.09292e-008,0.3220
1.09658e-008,0.3083
1.10025e-008,0.2990
1.10392e-008,0.2943
1.10758e-008,0.2933
1.11125e-008,0.2942
1.11492e-008,0.2960
1.11859e-008,0.2984
1.12226e-008,0.3009
1.12592e-008,0.3035
1.12959e-008,0.3054
1.13326e-008,0.3071
1.13693e-008,0.3108
1.14059e-008,0.3275
1.14426e-008,0.3721
1.14793e-008,0.4651
1.15159e-008,0.6068
1.15526e-008,0.7695
1.15893e-008,0.9083
1.16260e-008,0.9899
1.16627e-008,1.0331
1.16993e-008,1.0619
1.17360e-008,1.0912
