.HEADER
..NAMES
Time,V U1.AD15&AE15
.DATA
8.9854e-009,0.2811
9.0220e-009,0.2454
9.0587e-009,0.2274
9.0954e-009,0.2239
9.1321e-009,0.2424
9.1688e-009,0.2982
9.2054e-009,0.4037
9.2421e-009,0.5455
9.2788e-009,0.6830
9.3154e-009,0.7995
9.3521e-009,0.8922
9.3888e-009,0.9894
9.4255e-009,1.0694
9.4622e-009,1.1029
9.4988e-009,1.1228
9.5355e-009,1.1430
9.5722e-009,1.1600
9.6088e-009,1.1609
9.6455e-009,1.1244
9.6822e-009,1.0331
9.7189e-009,0.8957
9.7556e-009,0.7324
9.7922e-009,0.5733
9.8289e-009,0.4442
9.8656e-009,0.3554
9.9022e-009,0.3013
9.9389e-009,0.2668
9.9756e-009,0.2358
1.00123e-008,0.2244
1.00490e-008,0.2283
1.00856e-008,0.2611
1.01223e-008,0.3367
1.01590e-008,0.4621
1.01956e-008,0.6058
1.02323e-008,0.7353
1.02690e-008,0.8415
1.03057e-008,0.9250
1.03424e-008,1.0317
1.03790e-008,1.0864
1.04157e-008,1.1119
1.04524e-008,1.1312
1.04890e-008,1.1513
1.05257e-008,1.1632
1.05624e-008,1.1514
1.05991e-008,1.0921
1.06358e-008,0.9790
1.06724e-008,0.8277
1.07091e-008,0.6625
1.07458e-008,0.5139
1.07824e-008,0.4018
1.08191e-008,0.3291
1.08558e-008,0.2853
1.08925e-008,0.2489
1.09292e-008,0.2288
1.09658e-008,0.2234
1.10025e-008,0.2378
1.10392e-008,0.2868
1.10758e-008,0.3844
1.11125e-008,0.5237
1.11492e-008,0.6633
1.11859e-008,0.7833
1.12226e-008,0.8793
1.12592e-008,0.9640
1.12959e-008,1.0600
1.13326e-008,1.0987
1.13693e-008,1.1199
1.14059e-008,1.1398
1.14426e-008,1.1580
1.14793e-008,1.1625
1.15159e-008,1.1332
1.15526e-008,1.0502
1.15893e-008,0.9182
1.16260e-008,0.7573
1.16627e-008,0.5958
1.16993e-008,0.4615
1.17360e-008,0.3668
1.17727e-008,0.3076
1.18093e-008,0.2731
1.18460e-008,0.2382
1.18827e-008,0.2248
1.19194e-008,0.2261
1.19561e-008,0.2536
1.19927e-008,0.3217
1.20294e-008,0.4404
1.20661e-008,0.5843
1.21027e-008,0.7171
1.21394e-008,0.8269
1.21761e-008,0.9134
1.22128e-008,1.0202
1.22495e-008,1.0811
1.22861e-008,1.1088
1.23228e-008,1.1282
1.23595e-008,1.1485
1.23961e-008,1.1625
1.24328e-008,1.1558
1.24695e-008,1.1049
1.25062e-008,0.9991
1.25429e-008,0.8519
1.25795e-008,0.6866
1.26162e-008,0.5341
1.26529e-008,0.4163
1.26895e-008,0.3379
1.27262e-008,0.2906
1.27629e-008,0.2545
1.27996e-008,0.2308
1.28363e-008,0.2230
1.28729e-008,0.2331
1.29096e-008,0.2762
1.29463e-008,0.3660
1.29829e-008,0.5013
1.30196e-008,0.6426
1.30563e-008,0.7661
1.30930e-008,0.8658
1.31297e-008,0.9441
1.31663e-008,1.0523
1.32030e-008,1.0950
1.32397e-008,1.1170
1.32763e-008,1.1366
1.33130e-008,1.1557
1.33497e-008,1.1630
1.33864e-008,1.1407
1.34231e-008,1.0663
1.34597e-008,0.9408
1.34964e-008,0.7827
1.35331e-008,0.6189
1.35697e-008,0.4790
1.36064e-008,0.3781
1.36431e-008,0.3143
1.36798e-008,0.2773
1.37165e-008,0.2422
1.37531e-008,0.2262
1.37898e-008,0.2245
1.38265e-008,0.2469
1.38631e-008,0.3078
1.38998e-008,0.4193
1.39365e-008,0.5623
1.39732e-008,0.6979
1.40099e-008,0.8114
1.40465e-008,0.9017
1.40832e-008,1.0020
1.41199e-008,1.0743
1.41565e-008,1.1053
1.41932e-008,1.1250
1.42299e-008,1.1453
1.42666e-008,1.1611
1.43033e-008,1.1587
1.43399e-008,1.1159
1.43766e-008,1.0180
1.44133e-008,0.8762
1.44499e-008,0.7119
1.44866e-008,0.5553
1.45233e-008,0.4312
1.45600e-008,0.3470
1.45967e-008,0.2962
1.46333e-008,0.2594
1.46700e-008,0.2329
1.47067e-008,0.2235
1.47433e-008,0.2301
1.47800e-008,0.2670
1.48167e-008,0.3487
1.48534e-008,0.4790
1.48901e-008,0.6219
1.49267e-008,0.7491
1.49634e-008,0.8523
1.50001e-008,0.9333
1.50368e-008,1.0400
1.50734e-008,1.0898
1.51101e-008,1.1139
1.51468e-008,1.1334
1.51834e-008,1.1531
1.52201e-008,1.1633
1.52568e-008,1.1471
1.52935e-008,1.0811
1.53301e-008,0.9622
1.53668e-008,0.8075
1.54035e-008,0.6427
1.54402e-008,0.4980
1.54769e-008,0.3908
1.55135e-008,0.3223
1.55502e-008,0.2815
1.55869e-008,0.2454
1.56236e-008,0.2272
1.56602e-008,0.2236
1.56969e-008,0.2413
1.57336e-008,0.2956
1.57703e-008,0.3992
1.58069e-008,0.5404
1.58436e-008,0.6785
1.58803e-008,0.7958
1.59169e-008,0.8890
1.59536e-008,0.9868
1.59903e-008,1.0679
1.60270e-008,1.1020
1.60636e-008,1.1222
1.61003e-008,1.1423
1.61370e-008,1.1596
1.61737e-008,1.1612
1.62104e-008,1.1260
1.62470e-008,1.0362
1.62837e-008,0.8996
1.63204e-008,0.7367
1.63571e-008,0.5773
1.63937e-008,0.4475
1.64304e-008,0.3576
1.64671e-008,0.3023
1.65037e-008,0.2671
1.65404e-008,0.2356
