.HEADER
..NAMES
Time,V U1.AA9
.DATA
9.4895e-009,0.5008
9.5280e-009,0.4237
9.5666e-009,0.3695
9.6052e-009,0.3362
9.6437e-009,0.3004
9.6823e-009,0.3010
9.7209e-009,0.3431
9.7595e-009,0.4451
9.7981e-009,0.6095
9.8366e-009,0.8034
9.8752e-009,0.9589
9.9138e-009,1.0519
9.9524e-009,1.0962
9.9909e-009,1.1236
1.00295e-008,1.1506
1.00681e-008,1.1714
1.01066e-008,1.2162
1.01452e-008,1.2306
1.01838e-008,1.2124
1.02224e-008,1.1499
1.02610e-008,1.0151
1.02995e-008,0.8359
1.03381e-008,0.6692
1.03767e-008,0.5419
1.04152e-008,0.4640
1.04538e-008,0.4067
1.04924e-008,0.3599
1.05310e-008,0.3283
1.05695e-008,0.3034
1.06081e-008,0.2890
1.06467e-008,0.2906
1.06853e-008,0.3046
1.07239e-008,0.3296
1.07624e-008,0.3586
1.08010e-008,0.3800
1.08396e-008,0.3892
1.08781e-008,0.3856
1.09167e-008,0.3722
1.09553e-008,0.3564
1.09939e-008,0.3429
1.10324e-008,0.3331
1.10710e-008,0.3277
1.11096e-008,0.3255
1.11482e-008,0.3246
1.11868e-008,0.3233
1.12253e-008,0.3213
1.12639e-008,0.3186
1.13025e-008,0.3158
1.13410e-008,0.3136
1.13796e-008,0.3129
1.14182e-008,0.3135
1.14568e-008,0.3147
1.14953e-008,0.3167
1.15339e-008,0.3238
1.15725e-008,0.3467
1.16111e-008,0.4043
1.16497e-008,0.5098
1.16882e-008,0.6538
1.17268e-008,0.8046
1.17654e-008,0.9110
1.18039e-008,0.9807
1.18425e-008,1.0308
1.18811e-008,1.0772
1.19197e-008,1.1201
1.19583e-008,1.1492
1.19968e-008,1.1643
1.20354e-008,1.1656
1.20740e-008,1.1544
1.21126e-008,1.1381
1.21511e-008,1.1230
1.21897e-008,1.1142
1.22283e-008,1.1156
1.22668e-008,1.1255
1.23054e-008,1.1390
1.23440e-008,1.1514
1.23826e-008,1.1601
1.24212e-008,1.1654
1.24597e-008,1.1688
1.24983e-008,1.1715
1.25369e-008,1.1736
1.25755e-008,1.1757
1.26140e-008,1.1779
1.26526e-008,1.1800
1.26912e-008,1.1819
1.27297e-008,1.1834
1.27683e-008,1.1837
1.28069e-008,1.1832
1.28455e-008,1.1825
1.28841e-008,1.1821
1.29226e-008,1.1821
1.29612e-008,1.1824
1.29998e-008,1.1827
1.30383e-008,1.1829
1.30769e-008,1.1829
1.31155e-008,1.1829
1.31541e-008,1.1828
1.31926e-008,1.1827
1.32312e-008,1.1826
1.32698e-008,1.1826
1.33084e-008,1.1827
1.33470e-008,1.1828
1.33855e-008,1.1856
1.34241e-008,1.1910
1.34627e-008,1.1879
1.35012e-008,1.1563
1.35398e-008,1.0665
1.35784e-008,0.9239
1.36170e-008,0.7757
1.36555e-008,0.6428
1.36941e-008,0.5368
1.37327e-008,0.4530
1.37713e-008,0.3897
1.38099e-008,0.3497
1.38484e-008,0.3240
1.38870e-008,0.3082
1.39256e-008,0.3041
1.39641e-008,0.3110
1.40027e-008,0.3282
1.40413e-008,0.3513
1.40799e-008,0.3713
1.41185e-008,0.3824
1.41570e-008,0.3828
1.41956e-008,0.3740
1.42342e-008,0.3610
1.42728e-008,0.3478
1.43113e-008,0.3374
1.43499e-008,0.3362
1.43885e-008,0.3570
1.44270e-008,0.4168
1.44656e-008,0.5260
1.45042e-008,0.6712
1.45428e-008,0.8178
1.45814e-008,0.9177
1.46199e-008,0.9820
1.46585e-008,1.0297
1.46971e-008,1.0764
1.47357e-008,1.1202
1.47742e-008,1.1573
1.48128e-008,1.2082
1.48514e-008,1.2131
1.48899e-008,1.1832
1.49285e-008,1.0937
1.49671e-008,0.9390
1.50057e-008,0.7661
1.50443e-008,0.6184
1.50828e-008,0.5142
1.51214e-008,0.4458
1.51600e-008,0.3869
1.51985e-008,0.3435
1.52371e-008,0.3145
1.52757e-008,0.2931
1.53143e-008,0.2868
1.53528e-008,0.2951
1.53914e-008,0.3144
1.54300e-008,0.3424
1.54686e-008,0.3688
1.55071e-008,0.3846
1.55457e-008,0.3881
1.55843e-008,0.3799
1.56229e-008,0.3651
1.56615e-008,0.3504
1.57000e-008,0.3387
1.57386e-008,0.3309
1.57772e-008,0.3269
1.58158e-008,0.3252
1.58543e-008,0.3241
1.58929e-008,0.3225
1.59315e-008,0.3201
1.59701e-008,0.3173
1.60086e-008,0.3148
1.60472e-008,0.3132
1.60858e-008,0.3131
1.61243e-008,0.3140
1.61629e-008,0.3154
1.62015e-008,0.3187
1.62401e-008,0.3304
1.62786e-008,0.3652
1.63172e-008,0.4429
1.63558e-008,0.5666
1.63944e-008,0.7202
1.64329e-008,0.8546
1.64715e-008,0.9438
1.65101e-008,1.0032
1.65487e-008,1.0501
1.65873e-008,1.0962
1.66258e-008,1.1340
1.66644e-008,1.1573
1.67030e-008,1.1666
1.67416e-008,1.1621
1.67801e-008,1.1479
1.68187e-008,1.1314
1.68573e-008,1.1183
1.68959e-008,1.1135
1.69344e-008,1.1191
1.69730e-008,1.1311
1.70116e-008,1.1446
1.70501e-008,1.1556
1.70887e-008,1.1627
1.71273e-008,1.1705
1.71659e-008,1.1798
1.72044e-008,1.1824
1.72430e-008,1.1622
1.72816e-008,1.0899
1.73202e-008,0.9590
1.73588e-008,0.8110
1.73973e-008,0.6755
1.74359e-008,0.5638
1.74745e-008,0.4751
1.75131e-008,0.4041
1.75516e-008,0.3575
1.75902e-008,0.3285
1.76288e-008,0.3101
1.76674e-008,0.3037
1.77059e-008,0.3083
1.77445e-008,0.3233
1.77831e-008,0.3457
1.78216e-008,0.3672
1.78602e-008,0.3805
1.78988e-008,0.3834
1.79374e-008,0.3767
1.79759e-008,0.3644
1.80145e-008,0.3512
1.80531e-008,0.3396
1.80917e-008,0.3313
1.81302e-008,0.3266
1.81688e-008,0.3243
1.82074e-008,0.3232
1.82460e-008,0.3218
1.82846e-008,0.3199
1.83231e-008,0.3175
1.83617e-008,0.3151
1.84003e-008,0.3137
1.84389e-008,0.3136
1.84774e-008,0.3143
1.85160e-008,0.3152
1.85546e-008,0.3159
1.85932e-008,0.3163
1.86317e-008,0.3164
1.86703e-008,0.3162
1.87089e-008,0.3159
1.87474e-008,0.3157
1.87860e-008,0.3156
1.88246e-008,0.3158
1.88632e-008,0.3159
1.89017e-008,0.3161
1.89403e-008,0.3161
1.89789e-008,0.3160
1.90175e-008,0.3187
1.90560e-008,0.3308
1.90946e-008,0.3671
1.91332e-008,0.4476
1.91718e-008,0.5737
1.92104e-008,0.7284
1.92489e-008,0.8607
1.92875e-008,0.9477
1.93261e-008,1.0057
1.93647e-008,1.0522
1.94032e-008,1.0982
1.94418e-008,1.1353
1.94804e-008,1.1580
1.95190e-008,1.1668
1.95575e-008,1.1618
1.95961e-008,1.1473
1.96347e-008,1.1308
1.96732e-008,1.1178
1.97118e-008,1.1136
1.97504e-008,1.1196
1.97890e-008,1.1318
1.98275e-008,1.1453
1.98661e-008,1.1562
1.99047e-008,1.1631
1.99433e-008,1.1673
