.HEADER
..NAMES
Time,V U1.AC6
.DATA
9.4895e-009,0.3801
9.5280e-009,0.3742
9.5666e-009,0.3612
9.6052e-009,0.3463
9.6437e-009,0.3355
9.6823e-009,0.3281
9.7209e-009,0.3233
9.7595e-009,0.3224
9.7981e-009,0.3226
9.8366e-009,0.3210
9.8752e-009,0.3196
9.9138e-009,0.3179
9.9524e-009,0.3150
9.9909e-009,0.3132
1.00295e-008,0.3128
1.00681e-008,0.3128
1.01066e-008,0.3135
1.01452e-008,0.3148
1.01838e-008,0.3154
1.02224e-008,0.3154
1.02610e-008,0.3156
1.02995e-008,0.3154
1.03381e-008,0.3149
1.03767e-008,0.3148
1.04152e-008,0.3149
1.04538e-008,0.3149
1.04924e-008,0.3150
1.05310e-008,0.3152
1.05695e-008,0.3172
1.06081e-008,0.3270
1.06467e-008,0.3579
1.06853e-008,0.4288
1.07239e-008,0.5448
1.07624e-008,0.6928
1.08010e-008,0.8294
1.08396e-008,0.9229
1.08781e-008,0.9862
1.09167e-008,1.0351
1.09553e-008,1.0807
1.09939e-008,1.1226
1.10324e-008,1.1522
1.10710e-008,1.1682
1.11096e-008,1.1729
1.11482e-008,1.1667
1.11868e-008,1.1537
1.12253e-008,1.1401
1.12639e-008,1.1292
1.13025e-008,1.1239
1.13410e-008,1.1273
1.13796e-008,1.1376
1.14182e-008,1.1494
1.14568e-008,1.1593
1.14953e-008,1.1661
1.15339e-008,1.1699
1.15725e-008,1.1723
1.16111e-008,1.1746
1.16497e-008,1.1763
1.16882e-008,1.1778
1.17268e-008,1.1798
1.17654e-008,1.1816
1.18039e-008,1.1831
1.18425e-008,1.1841
1.18811e-008,1.1848
1.19197e-008,1.1846
1.19583e-008,1.1840
1.19968e-008,1.1836
1.20354e-008,1.1832
1.20740e-008,1.1833
1.21126e-008,1.1837
1.21511e-008,1.1838
1.21897e-008,1.1838
1.22283e-008,1.1839
1.22668e-008,1.1839
1.23054e-008,1.1837
1.23440e-008,1.1837
1.23826e-008,1.1837
1.24212e-008,1.1837
1.24597e-008,1.1837
1.24983e-008,1.1838
1.25369e-008,1.1838
1.25755e-008,1.1838
1.26140e-008,1.1839
1.26526e-008,1.1838
1.26912e-008,1.1837
1.27297e-008,1.1837
