.HEADER
..NAMES
Time,V U1.AB7
.DATA
0.0e+000,1.1825
3.86e-011,1.1825
7.72e-011,1.1825
1.157e-010,1.1825
1.543e-010,1.1825
1.929e-010,1.1825
2.314e-010,1.1825
2.700e-010,1.1876
3.086e-010,1.1912
3.472e-010,1.1792
3.857e-010,1.1260
4.243e-010,1.0110
4.629e-010,0.8623
5.015e-010,0.7213
5.401e-010,0.5996
5.786e-010,0.5044
6.172e-010,0.4281
6.558e-010,0.3738
6.944e-010,0.3401
7.329e-010,0.3175
7.715e-010,0.3049
8.101e-010,0.3043
8.486e-010,0.3143
8.872e-010,0.3335
9.258e-010,0.3561
9.644e-010,0.3734
1.0029e-009,0.3807
1.0415e-009,0.3779
1.0801e-009,0.3676
1.1187e-009,0.3545
1.1572e-009,0.3424
1.1958e-009,0.3347
1.2344e-009,0.3409
1.2730e-009,0.3752
1.3115e-009,0.4556
1.3501e-009,0.5806
1.3887e-009,0.7316
1.4273e-009,0.8583
1.4658e-009,0.9408
1.5044e-009,0.9969
1.5430e-009,1.0439
1.5816e-009,1.0918
1.6202e-009,1.1316
1.6587e-009,1.1564
1.6973e-009,1.1665
1.7359e-009,1.1629
1.7745e-009,1.1491
1.8130e-009,1.1329
1.8516e-009,1.1202
1.8902e-009,1.1153
1.9288e-009,1.1206
1.9673e-009,1.1326
2.0059e-009,1.1457
2.0445e-009,1.1562
2.0830e-009,1.1630
2.1216e-009,1.1702
2.1602e-009,1.1795
2.1988e-009,1.1815
2.2374e-009,1.1593
2.2759e-009,1.0837
2.3145e-009,0.9520
2.3531e-009,0.8065
2.3916e-009,0.6735
2.4302e-009,0.5636
2.4688e-009,0.4760
2.5074e-009,0.4055
2.5459e-009,0.3590
2.5845e-009,0.3233
2.6231e-009,0.2973
2.6617e-009,0.3108
2.7003e-009,0.3704
2.7388e-009,0.4937
2.7774e-009,0.6695
2.8160e-009,0.8549
2.8545e-009,0.9867
2.8931e-009,1.0616
2.9317e-009,1.0993
2.9703e-009,1.1285
3.0089e-009,1.1562
3.0474e-009,1.1748
3.0860e-009,1.2235
3.1246e-009,1.2279
3.1631e-009,1.1984
3.2017e-009,1.1132
3.2403e-009,0.9581
3.2789e-009,0.7805
3.3175e-009,0.6270
3.3560e-009,0.5161
3.3946e-009,0.4478
3.4332e-009,0.3926
3.4717e-009,0.3502
3.5103e-009,0.3216
3.5489e-009,0.2986
3.5875e-009,0.2875
3.6260e-009,0.2926
3.6646e-009,0.3094
3.7032e-009,0.3351
3.7418e-009,0.3628
3.7803e-009,0.3810
3.8189e-009,0.3863
3.8575e-009,0.3803
3.8961e-009,0.3662
3.9346e-009,0.3508
3.9732e-009,0.3389
4.0118e-009,0.3328
4.0504e-009,0.3413
4.0890e-009,0.3789
4.1275e-009,0.4626
4.1661e-009,0.5893
4.2047e-009,0.7402
4.2433e-009,0.8636
4.2818e-009,0.9434
4.3204e-009,0.9988
4.3590e-009,1.0462
4.3975e-009,1.0943
4.4361e-009,1.1340
4.4747e-009,1.1580
4.5133e-009,1.1672
4.5519e-009,1.1627
4.5904e-009,1.1484
4.6290e-009,1.1321
4.6676e-009,1.1198
4.7062e-009,1.1156
4.7447e-009,1.1214
4.7833e-009,1.1337
4.8219e-009,1.1467
4.8604e-009,1.1569
4.8990e-009,1.1635
4.9376e-009,1.1712
4.9762e-009,1.1801
5.0147e-009,1.1814
5.0533e-009,1.1572
5.0919e-009,1.0784
5.1305e-009,0.9449
5.1691e-009,0.7998
5.2076e-009,0.6676
5.2462e-009,0.5590
5.2848e-009,0.4722
5.3234e-009,0.4026
5.3619e-009,0.3573
5.4005e-009,0.3286
5.4391e-009,0.3100
5.4776e-009,0.3033
5.5162e-009,0.3079
5.5548e-009,0.3222
5.5934e-009,0.3440
5.6320e-009,0.3651
5.6705e-009,0.3780
5.7091e-009,0.3807
5.7477e-009,0.3742
5.7863e-009,0.3623
5.8248e-009,0.3496
5.8634e-009,0.3386
5.9020e-009,0.3304
5.9405e-009,0.3258
5.9791e-009,0.3238
6.0177e-009,0.3225
6.0563e-009,0.3211
6.0948e-009,0.3193
6.1334e-009,0.3170
6.1720e-009,0.3146
6.2106e-009,0.3133
6.2492e-009,0.3131
6.2877e-009,0.3138
6.3263e-009,0.3148
6.3649e-009,0.3154
6.4035e-009,0.3157
6.4420e-009,0.3159
6.4806e-009,0.3156
6.5192e-009,0.3154
6.5577e-009,0.3152
6.5963e-009,0.3151
6.6349e-009,0.3152
6.6735e-009,0.3154
6.7121e-009,0.3155
6.7506e-009,0.3156
6.7892e-009,0.3155
6.8278e-009,0.3189
6.8664e-009,0.3327
6.9049e-009,0.3725
6.9435e-009,0.4574
6.9821e-009,0.5859
7.0206e-009,0.7394
7.0592e-009,0.8647
7.0978e-009,0.9478
7.1364e-009,1.0049
7.1749e-009,1.0523
7.2135e-009,1.0990
7.2521e-009,1.1361
7.2907e-009,1.1583
7.3293e-009,1.1668
7.3678e-009,1.1621
7.4064e-009,1.1481
7.4450e-009,1.1323
7.4835e-009,1.1202
7.5221e-009,1.1160
7.5607e-009,1.1218
7.5993e-009,1.1338
7.6379e-009,1.1467
7.6764e-009,1.1570
7.7150e-009,1.1637
7.7536e-009,1.1716
7.7922e-009,1.1809
7.8307e-009,1.1813
7.8693e-009,1.1551
7.9079e-009,1.0730
7.9464e-009,0.9375
7.9850e-009,0.7930
8.0236e-009,0.6617
8.0622e-009,0.5544
8.1008e-009,0.4684
8.1393e-009,0.4002
8.1779e-009,0.3559
8.2165e-009,0.3190
8.2550e-009,0.2974
8.2936e-009,0.3149
8.3322e-009,0.3804
8.3708e-009,0.5104
8.4093e-009,0.6899
