.HEADER
..NAMES
Time,V U1.AE3&AD3
.DATA
9.4509e-009,0.3468
9.4895e-009,0.3407
9.5280e-009,0.3660
9.5666e-009,0.4274
9.6052e-009,0.5107
9.6437e-009,0.6219
9.6823e-009,0.7567
9.7209e-009,0.8688
9.7595e-009,0.9558
9.7981e-009,1.0267
9.8366e-009,1.0766
9.8752e-009,1.1060
9.9138e-009,1.1120
9.9524e-009,1.1195
9.9909e-009,1.1193
1.00295e-008,1.0998
1.00681e-008,1.0788
1.01066e-008,1.0194
1.01452e-008,0.9105
1.01838e-008,0.7960
1.02224e-008,0.6703
1.02610e-008,0.5507
1.02995e-008,0.4556
1.03381e-008,0.3834
1.03767e-008,0.3492
1.04152e-008,0.3413
1.04538e-008,0.3529
1.04924e-008,0.4059
1.05310e-008,0.4815
1.05695e-008,0.5835
1.06081e-008,0.7131
1.06467e-008,0.8378
1.06853e-008,0.9297
1.07239e-008,1.0067
1.07624e-008,1.0629
1.08010e-008,1.0990
1.08396e-008,1.1129
1.08781e-008,1.1117
1.09167e-008,1.1229
1.09553e-008,1.1057
1.09939e-008,1.0876
1.10324e-008,1.0444
1.10710e-008,0.9481
1.11096e-008,0.8317
1.11482e-008,0.7114
1.11868e-008,0.5855
1.12253e-008,0.4836
1.12639e-008,0.4030
1.13025e-008,0.3552
1.13410e-008,0.3463
1.13796e-008,0.3444
1.14182e-008,0.3862
1.14568e-008,0.4550
1.14953e-008,0.5479
1.15339e-008,0.6696
1.15725e-008,0.8030
1.16111e-008,0.9024
1.16497e-008,0.9846
1.16882e-008,1.0474
1.17268e-008,1.0900
1.17654e-008,1.1111
1.18039e-008,1.1078
1.18425e-008,1.1238
1.18811e-008,1.1121
1.19197e-008,1.0938
1.19583e-008,1.0636
1.19968e-008,0.9836
1.20354e-008,0.8674
1.20740e-008,0.7519
1.21126e-008,0.6230
1.21511e-008,0.5135
1.21897e-008,0.4258
1.22283e-008,0.3658
1.22668e-008,0.3470
1.23054e-008,0.3417
1.23440e-008,0.3686
1.23826e-008,0.4313
1.24212e-008,0.5156
1.24597e-008,0.6285
1.24983e-008,0.7637
1.25369e-008,0.8734
1.25755e-008,0.9597
1.26140e-008,1.0297
1.26526e-008,1.0786
1.26912e-008,1.1071
1.27297e-008,1.1119
1.27683e-008,1.1220
1.28069e-008,1.1184
1.28455e-008,1.0991
1.28841e-008,1.0773
1.29226e-008,1.0151
1.29612e-008,0.9046
1.29998e-008,0.7901
1.30383e-008,0.6630
1.30769e-008,0.5454
1.31155e-008,0.4513
1.31541e-008,0.3806
1.31926e-008,0.3488
1.32312e-008,0.3420
1.32698e-008,0.3549
1.33084e-008,0.4095
1.33470e-008,0.4862
1.33855e-008,0.5895
1.34241e-008,0.7204
1.34627e-008,0.8431
1.35012e-008,0.9338
1.35398e-008,1.0101
1.35784e-008,1.0652
1.36170e-008,1.1004
1.36555e-008,1.1131
1.36941e-008,1.1162
1.37327e-008,1.1229
1.37713e-008,1.1046
1.38099e-008,1.0867
1.38484e-008,1.0410
1.38870e-008,0.9423
1.39256e-008,0.8263
1.39641e-008,0.7040
1.40027e-008,0.5795
1.40413e-008,0.4791
1.40799e-008,0.3996
1.41185e-008,0.3541
1.41570e-008,0.3468
1.41956e-008,0.3458
1.42342e-008,0.3894
1.42728e-008,0.4593
1.43113e-008,0.5535
1.43499e-008,0.6767
1.43885e-008,0.8091
1.44270e-008,0.9067
1.44656e-008,0.9882
1.45042e-008,1.0500
1.45428e-008,1.0916
1.45814e-008,1.1118
1.46199e-008,1.1072
1.46585e-008,1.1230
1.46971e-008,1.1113
1.47357e-008,1.0926
1.47742e-008,1.0607
1.48128e-008,0.9781
1.48514e-008,0.8613
1.48899e-008,0.7459
1.49285e-008,0.6171
1.49671e-008,0.5086
1.50057e-008,0.4222
1.50443e-008,0.3638
1.50828e-008,0.3468
1.51214e-008,0.3414
1.51600e-008,0.3712
1.51985e-008,0.4349
1.52371e-008,0.5208
1.52757e-008,0.6349
1.53143e-008,0.7704
1.53528e-008,0.8784
1.53914e-008,0.9641
1.54300e-008,1.0328
1.54686e-008,1.0806
1.55071e-008,1.1078
1.55457e-008,1.1113
1.55843e-008,1.1209
1.56229e-008,1.1176
1.56615e-008,1.0981
1.57000e-008,1.0752
1.57386e-008,1.0102
1.57772e-008,0.8983
1.58158e-008,0.7842
1.58543e-008,0.6570
1.58929e-008,0.5401
1.59315e-008,0.4471
1.59701e-008,0.3779
1.60086e-008,0.3480
1.60472e-008,0.3407
1.60858e-008,0.3567
1.61243e-008,0.4127
1.61629e-008,0.4907
1.62015e-008,0.5956
1.62401e-008,0.7276
1.62786e-008,0.8482
1.63172e-008,0.9384
1.63558e-008,1.0135
1.63944e-008,1.0676
1.64329e-008,1.1015
1.64715e-008,1.1129
1.65101e-008,1.1153
1.65487e-008,1.1221
1.65873e-008,1.1037
1.66258e-008,1.0852
1.66644e-008,1.0370
1.67030e-008,0.9361
1.67416e-008,0.8204
1.67801e-008,0.6981
1.68187e-008,0.5739
1.68573e-008,0.4745
1.68959e-008,0.3963
1.69344e-008,0.3529
1.69730e-008,0.3439
1.70116e-008,0.3467
1.70501e-008,0.3924
1.70887e-008,0.4633
1.71273e-008,0.5592
1.71659e-008,0.6836
1.72044e-008,0.8149
1.72430e-008,0.9115
1.72816e-008,0.9920
1.73202e-008,1.0527
1.73588e-008,1.0933
1.73973e-008,1.1120
1.74359e-008,1.1062
1.74745e-008,1.1239
1.75131e-008,1.1100
1.75516e-008,1.0921
1.75902e-008,1.0580
1.76288e-008,0.9726
1.76674e-008,0.8558
1.77059e-008,0.7390
1.77445e-008,0.6105
1.77831e-008,0.5037
1.78216e-008,0.4180
1.78602e-008,0.3619
1.78988e-008,0.3471
1.79374e-008,0.3424
1.79759e-008,0.3740
1.80145e-008,0.4388
1.80531e-008,0.5259
1.80917e-008,0.6416
