.HEADER
..NAMES
Time,V U1.AA21
.DATA
0.0e+000,0.3151
3.86e-011,0.3151
7.72e-011,0.3151
1.157e-010,0.3151
1.543e-010,0.3151
1.929e-010,0.3151
2.314e-010,0.3151
2.700e-010,0.3202
3.086e-010,0.3381
3.472e-010,0.3860
3.857e-010,0.4806
4.243e-010,0.6163
4.629e-010,0.7697
5.015e-010,0.8875
5.401e-010,0.9654
5.786e-010,1.0181
6.172e-010,1.0606
6.558e-010,1.1021
6.944e-010,1.1374
7.329e-010,1.1984
7.715e-010,1.2201
8.101e-010,1.2126
8.486e-010,1.1617
8.872e-010,1.0375
9.258e-010,0.8722
9.644e-010,0.7118
1.0029e-009,0.5682
1.0415e-009,0.4654
1.0801e-009,0.4037
1.1187e-009,0.3592
1.1572e-009,0.3315
1.1958e-009,0.3159
1.2344e-009,0.3010
1.2730e-009,0.2881
1.3115e-009,0.2888
1.3501e-009,0.2981
1.3887e-009,0.3122
1.4273e-009,0.3331
1.4658e-009,0.3543
1.5044e-009,0.3648
1.5430e-009,0.3668
1.5816e-009,0.3631
1.6202e-009,0.3525
1.6587e-009,0.3411
1.6973e-009,0.3420
1.7359e-009,0.3673
1.7745e-009,0.4355
1.8130e-009,0.5538
1.8516e-009,0.7057
1.8902e-009,0.8437
1.9288e-009,0.9375
1.9673e-009,0.9991
2.0059e-009,1.0425
2.0445e-009,1.0817
2.0830e-009,1.1207
2.1216e-009,1.1499
2.1602e-009,1.1670
2.1988e-009,1.1755
2.2374e-009,1.1749
2.2759e-009,1.1669
2.3145e-009,1.1577
2.3531e-009,1.1483
2.3916e-009,1.1391
2.4302e-009,1.1362
2.4688e-009,1.1420
2.5074e-009,1.1514
2.5459e-009,1.1609
2.5845e-009,1.1716
2.6231e-009,1.1830
2.6617e-009,1.1866
2.7003e-009,1.1696
2.7388e-009,1.1048
2.7774e-009,0.9784
2.8160e-009,0.8306
2.8545e-009,0.6927
2.8931e-009,0.5742
2.9317e-009,0.4842
2.9703e-009,0.4181
3.0089e-009,0.3709
3.0474e-009,0.3419
3.0860e-009,0.3218
3.1246e-009,0.3062
3.1631e-009,0.2986
3.2017e-009,0.3004
3.2403e-009,0.3082
3.2789e-009,0.3223
3.3175e-009,0.3413
3.3560e-009,0.3572
3.3946e-009,0.3644
3.4332e-009,0.3638
3.4717e-009,0.3574
3.5103e-009,0.3470
3.5489e-009,0.3367
3.5875e-009,0.3284
3.6260e-009,0.3226
3.6646e-009,0.3201
3.7032e-009,0.3199
3.7418e-009,0.3193
3.7803e-009,0.3184
3.8189e-009,0.3177
3.8575e-009,0.3168
3.8961e-009,0.3153
3.9346e-009,0.3140
3.9732e-009,0.3134
4.0118e-009,0.3164
4.0504e-009,0.3297
4.0890e-009,0.3679
4.1275e-009,0.4503
4.1661e-009,0.5769
4.2047e-009,0.7308
4.2433e-009,0.8608
4.2818e-009,0.9475
4.3204e-009,1.0051
4.3590e-009,1.0493
4.3975e-009,1.0909
4.4361e-009,1.1287
4.4747e-009,1.1555
4.5133e-009,1.1706
4.5519e-009,1.1765
4.5904e-009,1.1734
4.6290e-009,1.1649
4.6676e-009,1.1552
4.7062e-009,1.1457
4.7447e-009,1.1378
4.7833e-009,1.1368
4.8219e-009,1.1434
4.8604e-009,1.1532
4.8990e-009,1.1626
4.9376e-009,1.1739
4.9762e-009,1.1843
5.0147e-009,1.1851
5.0533e-009,1.1608
5.0919e-009,1.0823
5.1305e-009,0.9472
5.1691e-009,0.8007
5.2076e-009,0.6656
5.2462e-009,0.5529
5.2848e-009,0.4687
5.3234e-009,0.4062
5.3619e-009,0.3637
5.4005e-009,0.3371
5.4391e-009,0.3179
5.4776e-009,0.3036
5.5162e-009,0.2983
5.5548e-009,0.3015
5.5934e-009,0.3105
5.6320e-009,0.3260
5.6705e-009,0.3451
5.7091e-009,0.3593
5.7477e-009,0.3647
5.7863e-009,0.3629
5.8248e-009,0.3554
5.8634e-009,0.3447
5.9020e-009,0.3347
5.9405e-009,0.3269
5.9791e-009,0.3217
6.0177e-009,0.3199
6.0563e-009,0.3197
6.0948e-009,0.3190
6.1334e-009,0.3182
6.1720e-009,0.3175
6.2106e-009,0.3164
6.2492e-009,0.3149
6.2877e-009,0.3137
6.3263e-009,0.3133
6.3649e-009,0.3133
6.4035e-009,0.3137
6.4420e-009,0.3143
6.4806e-009,0.3146
6.5192e-009,0.3149
6.5577e-009,0.3152
6.5963e-009,0.3150
6.6349e-009,0.3147
6.6735e-009,0.3146
6.7121e-009,0.3147
6.7506e-009,0.3146
6.7892e-009,0.3146
6.8278e-009,0.3146
6.8664e-009,0.3147
6.9049e-009,0.3147
6.9435e-009,0.3148
6.9821e-009,0.3147
7.0206e-009,0.3146
7.0592e-009,0.3147
7.0978e-009,0.3147
7.1364e-009,0.3146
7.1749e-009,0.3146
7.2135e-009,0.3147
7.2521e-009,0.3147
7.2907e-009,0.3147
7.3293e-009,0.3147
7.3678e-009,0.3147
7.4064e-009,0.3147
7.4450e-009,0.3147
7.4835e-009,0.3147
7.5221e-009,0.3147
7.5607e-009,0.3147
7.5993e-009,0.3148
7.6379e-009,0.3147
7.6764e-009,0.3147
7.7150e-009,0.3148
7.7536e-009,0.3165
7.7922e-009,0.3257
7.8307e-009,0.3552
7.8693e-009,0.4242
7.9079e-009,0.5396
7.9464e-009,0.6889
7.9850e-009,0.8303
8.0236e-009,0.9277
8.0622e-009,0.9917
8.1008e-009,1.0383
8.1393e-009,1.0798
8.1779e-009,1.1196
8.2165e-009,1.1703
8.2550e-009,1.2128
8.2936e-009,1.2203
8.3322e-009,1.1958
8.3708e-009,1.1120
8.4093e-009,0.9605
8.4479e-009,0.7957
8.4865e-009,0.6402
8.5251e-009,0.5136
8.5637e-009,0.4326
8.6022e-009,0.3808
8.6408e-009,0.3435
8.6794e-009,0.3231
8.7179e-009,0.3090
8.7565e-009,0.2933
8.7951e-009,0.2865
8.8337e-009,0.2924
8.8722e-009,0.3039
8.9108e-009,0.3211
8.9494e-009,0.3438
8.9880e-009,0.3604
9.0266e-009,0.3662
9.0651e-009,0.3656
9.1037e-009,0.3587
9.1423e-009,0.3460
9.1808e-009,0.3390
9.2194e-009,0.3498
9.2580e-009,0.3925
9.2966e-009,0.4850
9.3352e-009,0.6223
9.3737e-009,0.7760
9.4123e-009,0.8923
9.4509e-009,0.9695
9.4895e-009,1.0207
9.5280e-009,1.0604
9.5666e-009,1.1006
9.6052e-009,1.1357
9.6437e-009,1.1590
9.6823e-009,1.1717
9.7209e-009,1.1762
9.7595e-009,1.1713
9.7981e-009,1.1624
9.8366e-009,1.1533
9.8752e-009,1.1435
9.9138e-009,1.1364
9.9524e-009,1.1379
9.9909e-009,1.1461
1.00295e-008,1.1558
1.00681e-008,1.1648
1.01066e-008,1.1716
1.01452e-008,1.1750
1.01838e-008,1.1767
1.02224e-008,1.1781
1.02610e-008,1.1787
1.02995e-008,1.1795
1.03381e-008,1.1813
1.03767e-008,1.1828
1.04152e-008,1.1832
1.04538e-008,1.1839
1.04924e-008,1.1849
1.05310e-008,1.1852
1.05695e-008,1.1851
1.06081e-008,1.1849
1.06467e-008,1.1843
1.06853e-008,1.1841
1.07239e-008,1.1842
1.07624e-008,1.1843
1.08010e-008,1.1843
1.08396e-008,1.1846
1.08781e-008,1.1847
1.09167e-008,1.1845
1.09553e-008,1.1843
1.09939e-008,1.1844
1.10324e-008,1.1864
1.10710e-008,1.1915
1.11096e-008,1.1915
1.11482e-008,1.1686
1.11868e-008,1.0945
1.12253e-008,0.9627
1.12639e-008,0.8141
1.13025e-008,0.6759
1.13410e-008,0.5602
1.13796e-008,0.4735
1.14182e-008,0.4089
1.14568e-008,0.3649
1.14953e-008,0.3378
1.15339e-008,0.3185
1.15725e-008,0.3044
1.16111e-008,0.2989
1.16497e-008,0.3012
1.16882e-008,0.3096
1.17268e-008,0.3247
1.17654e-008,0.3435
1.18039e-008,0.3579
1.18425e-008,0.3643
